ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
ssp534over,glaciers,2100,fixed,1000,12.924316779248873,13.005483239907493,11.235845933233058,15.09722535871767,3.8613794254846123,1.0,1.0
ssp534over,glaciers,2100,joint,1000,13.331120862355231,13.541214307598759,10.74380888961156,16.91370268066413,6.169893791052569,1.5978470673801326,1.0314758675491085
ssp534over,glaciers,2150,fixed,1000,18.213519972623107,18.270950109145172,15.353440714594065,21.33408700183208,5.980646287238017,1.0,1.0
ssp534over,glaciers,2150,joint,1000,18.043362152737025,18.294143058881254,14.228470470531535,23.477445242377183,9.248974771845647,1.5464841636901103,0.9906576092846496
ssp534over,glaciers,2300,fixed,1000,27.827333588865777,27.803754208048577,21.35228366891359,33.91692624199122,12.56464257307763,1.0,1.0
ssp534over,glaciers,2300,joint,1000,25.968117086366913,26.37655258321812,19.859025083428346,34.33862843177629,14.479603348347947,1.1524086948062908,0.9331874002026996
ssp534over,gis,2100,fixed,1000,6.889527539931871,7.148637049273727,4.920562014081911,10.377144047448095,5.456582033366184,1.0,1.0
ssp534over,gis,2100,joint,1000,6.9931576773804665,7.361154968615191,4.94720344080232,11.07408235680635,6.1268789160040305,1.1228418959962632,1.0150416899922314
ssp534over,gis,2150,fixed,1000,10.30619997300753,10.69760039459233,7.3630190597537055,15.396025572750101,8.033006512996396,1.0,1.0
ssp534over,gis,2150,joint,1000,10.215136427202438,10.738279093567948,7.32809383197124,15.818656692411752,8.490562860440512,1.056959538960145,0.9911641976631939
ssp534over,gis,2300,fixed,1000,19.121506105842943,19.890407914461825,13.98368611210316,28.071715229668605,14.088029117565446,1.0,1.0
ssp534over,gis,2300,joint,1000,18.224073611299104,19.07422381719673,13.682695046294587,27.34725357007334,13.664558523778755,0.9699411045893784,0.9530668510327431
ssp534over,ais,2100,fixed,1000,6.442206093701365,21.339464686727304,1.1580397776534141,69.6402565542627,68.48221677660929,1.0,1.0
ssp534over,ais,2100,joint,1000,21.126753105328966,29.192617737796038,1.5661904107291214,81.67238749380115,80.10619708307203,1.169737208484072,3.2794283197466916
ssp534over,ais,2150,fixed,1000,9.668957012519748,27.467016089539253,1.7059214578861794,97.95622526855028,96.25030381066411,1.0,1.0
ssp534over,ais,2150,joint,1000,22.94884421300872,37.7181512006572,2.5126060894649753,118.97110713271528,116.4585010432503,1.2099546332065416,2.3734560183992595
ssp534over,ais,2300,fixed,1000,18.428907376346736,34.618422354746166,3.787466967525879,100.43762283535932,96.65015586783345,1.0,1.0
ssp534over,ais,2300,joint,1000,27.894687682159955,49.86294076824754,6.083505686974914,166.41151779810727,160.32801211113235,1.6588489762021357,1.5136376298663492
ssp534over,te,2100,fixed,1000,17.083264028592353,17.08505825763379,12.48267128323637,22.00186630576902,9.519195022532651,1.0,1.0
ssp534over,te,2100,joint,1000,13.063162180894434,13.659089069120789,6.958661539193601,22.556982335612524,15.598320796418923,1.6386176309547733,0.7646760103356447
ssp534over,te,2150,fixed,1000,20.145155064104593,20.147270878869243,14.719982562709504,25.945335018388555,11.225352455679051,1.0,1.0
ssp534over,te,2150,joint,1000,14.183638743491434,15.257491947486844,7.292444968633569,26.98982922977708,19.69738426114351,1.7547230110515015,0.7040719566743064
ssp534over,te,2300,fixed,1000,24.42677631238191,24.42934181926485,17.848545729099328,31.45971787396397,13.611172144864643,1.0,1.0
ssp534over,te,2300,joint,1000,17.230778319680645,19.50509679811432,8.933120165953481,36.645624508382504,27.71250434242902,2.0360115974938036,0.7054053346755536
ssp534over,lws,2100,fixed,1000,2.342515618878139,2.342515618878143,2.342515618878139,2.342515618878139,0.0,NaN,1.0
ssp534over,lws,2100,joint,1000,2.342515618878139,2.342515618878143,2.342515618878139,2.342515618878139,0.0,NaN,1.0
ssp534over,lws,2150,fixed,1000,4.0429579468315175,4.0429579468315096,4.0429579468315175,4.0429579468315175,0.0,NaN,1.0
ssp534over,lws,2150,joint,1000,4.0429579468315175,4.0429579468315096,4.0429579468315175,4.0429579468315175,0.0,NaN,1.0
ssp534over,lws,2300,fixed,1000,8.89738572754609,8.897385727546085,8.89738572754609,8.89738572754609,0.0,NaN,1.0
ssp534over,lws,2300,joint,1000,8.89738572754609,8.897385727546085,8.89738572754609,8.89738572754609,0.0,NaN,1.0
ssp534over,total,2100,fixed,1000,48.046126097304395,60.92115885242045,38.10481322705296,110.75268229537889,72.64786906832593,1.0,1.0
ssp534over,total,2100,joint,1000,57.243051486028406,66.09659170200891,31.632715123673837,123.9957984099052,92.36308328623137,1.2713804887981384,1.191418666514302
ssp534over,total,2150,fixed,1000,65.2048655280861,80.6257954189775,51.78457150663753,151.91412800765028,100.12955650101274,1.0,1.0
ssp534over,total,2150,joint,1000,69.90865582741188,86.05102324742478,42.009206157089125,178.91842504746324,136.90921889037412,1.3673207360005573,1.0721386396740544
ssp534over,total,2300,fixed,1000,101.9777106374026,115.63931202406751,80.72167795255177,184.57272566112562,103.85104770857384,1.0,1.0
ssp534over,total,2300,joint,1000,100.32804147484498,123.7161996943228,68.24248754728518,255.6064748910123,187.36398734372713,1.8041607810207825,0.9838232379188893
