ssp,arm,G_on,slope_m_yr_K,nfd,ais_2100_p50,ais_2100_p05,ais_2100_p95,ais_2100_mean,fd_cm_2100_p50,tipped15_2100,ais_2300_p50,ais_2300_p05,ais_2300_p95,ais_2300_mean,fd_cm_2300_p50,tipped15_2300,floor_years_mean,provenance
ssp126,stock,NaN,NaN,0.0,5.696687064019215,4.144590508598431,8.180373069928967,6.900124792311128,0.0,0.04067796610169491,17.722336934243916,12.619738436432518,25.632879358858105,19.362161681675705,0.0,0.7762711864406779,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,none,NaN,NaN,0.0,5.637079434363476,4.144590508598431,7.24554959988399,5.636645553331209,0.0,0.0,17.63969742872825,12.619738436432518,23.19628539180092,17.610328718665667,0.0,0.7694915254237288,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.30_s7.50e-05,0.3,7.5e-5,1.0,6.491171422491151,4.929100528634591,8.25599345849508,6.512494220817624,1.03614531264079,0.0,20.371454623758716,15.17689288467675,26.256141712616376,20.429886796274847,3.341159593252516,0.9559322033898305,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.30_s1.50e-04,0.3,0.00015,1.0,7.399135198150647,5.73009351620648,9.178297467255138,7.388348614359521,2.07229062528158,0.0,23.22487226799473,17.632153601101358,29.164142014017827,23.249638451168387,6.682319186505032,0.9932203389830508,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.30_s3.00e-04,0.3,0.0003,1.0,9.032296623177213,7.176546022932023,11.13960344315291,9.140074575881245,4.14458125056316,0.0,28.542506054354284,22.45111111087549,35.38550621827319,28.889722170497365,13.364638373010065,1.0,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.30_s6.00e-04,0.3,0.0006,1.0,12.620784551261977,9.987085955342502,15.475158498168879,12.643595170557704,8.28916250112632,0.09152542372881356,40.157343781996055,31.467154650704913,49.32027540238537,40.17220898637127,26.72927674602013,1.0,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.30_s1.20e-03,0.3,0.0012,1.0,19.739315850415206,15.177998819632673,24.245781434643053,19.650910837386398,16.57832500225264,0.9593220338983051,63.0599433111542,48.25291316565245,77.56944078914185,62.746441967265326,53.45855349204026,1.0,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.45_s7.50e-05,0.45,7.5e-5,1.0,6.402392190775539,4.8581421467783725,8.139210984778366,6.4158287846364495,0.8984519039428661,0.0,20.096357092191802,14.963423134672828,25.946344277387134,20.14135632625949,2.9735097069804963,0.9457627118644067,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.45_s1.50e-04,0.45,0.00015,1.0,7.2150870788561905,5.546773217082011,8.95320454021909,7.195016119012626,1.7969038078857322,0.0,22.64242249263012,17.215067070361158,28.54753801194547,22.672535781926314,5.947019413960993,0.9932203389830508,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.45_s3.00e-04,0.45,0.0003,1.0,8.65769114064199,6.8538447976897645,10.660353769398963,8.753403094642843,3.5938076157714645,0.0,27.4745347746332,21.476215900958387,34.01190411210456,27.73535001149578,11.894038827921985,1.0,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
ssp126,on0.45_s6.00e-04,0.45,0.0006,1.0,11.827962238996776,9.364884985032464,14.529494722762934,11.870226257071261,7.187615231542929,0.03728813559322034,37.80481018631748,29.53168548397934,46.45509146939017,37.862798158688975,23.78807765584397,1.0,0.0,"scope_ais_onset_sweep.jl | tag L29 (295 draws) | projections 1850-2300 fixed FaIR-mean climate, ref (1995, 2014), LWS central | arms as hindcast file | fd_cm = cumulative fast-dynamics (ramp or binary) contribution, cm SLE | tipped15 = share of draws with AIS@h > 15 cm | 2026-09-22T06:30:38.261"
