model,pair,component,horizon,paired_median_cm,diff_of_medians_cm,p05_cm,p95_cm,ref_level_cm,pct_of_ref,n
MAGICC-SLR,ssp534-over - ssp126,te,2100,3.479768878798101,3.438739917848803,2.114362853977838,5.486837273202192,11.090158502953017,31.37708877534555,600
MAGICC-SLR,ssp534-over - ssp126,te,2150,2.198947651544212,2.0836812837882306,0.7766884698271684,4.462313938510936,12.679117862196861,17.34306499429613,600
MAGICC-SLR,ssp534-over - ssp126,te,2300,1.3500735831612278,0.7500181544251845,-3.6305510091376774,3.4045732198951764,16.735522709890873,8.067113328723936,600
MAGICC-SLR,ssp534-over - ssp126,glaciers,2100,1.77647869043677,1.8925630626417114,1.3460367056801217,2.330141224235687,10.44819043611281,17.00274034340533,600
MAGICC-SLR,ssp534-over - ssp126,glaciers,2150,1.515569448234693,1.6190929894504968,0.9444450764066505,2.063825643259862,12.278045232411682,12.34373566432123,600
MAGICC-SLR,ssp534-over - ssp126,glaciers,2300,0.614777424494001,0.34966353764332325,-1.5127706175975775,1.2552729010559494,13.799726083865266,4.45499730036528,600
MAGICC-SLR,ssp534-over - ssp126,gis,2100,2.0893292101478513,2.8745194173957618,-0.39177934443099677,8.873165065210472,6.401275386354422,32.639264584705536,600
MAGICC-SLR,ssp534-over - ssp126,gis,2150,2.7679799811214014,3.727961907342353,-0.4557349215396136,10.644450000347177,9.312194560993639,29.72424988536805,600
MAGICC-SLR,ssp534-over - ssp126,gis,2300,3.5483252806931294,4.916941805431943,-0.781377202717712,12.088291968841311,14.978298514264939,23.689775426186078,600
MAGICC-SLR,ssp534-over - ssp126,ais,2100,6.517811587608774,7.252528557337958,1.2399156092646444,16.548216880038193,3.6585858834954843,178.15111617337595,600
MAGICC-SLR,ssp534-over - ssp126,ais,2150,7.763065756034123,8.800396520432576,1.6914975184856877,20.52844148900695,5.335333641839513,145.50291091744316,600
MAGICC-SLR,ssp534-over - ssp126,ais,2300,7.3662514763569575,7.801463092360109,1.5711402613459904,20.01420818328057,8.707630226188467,84.59536389364271,600
MAGICC-SLR,ssp534-over - ssp126,lws,2100,0.0,0.0,0.0,0.0,3.0076045676447416,0.0,600
MAGICC-SLR,ssp534-over - ssp126,lws,2150,0.0,0.0,0.0,0.0,4.962999145299118,0.0,600
MAGICC-SLR,ssp534-over - ssp126,lws,2300,0.0,0.0,0.0,0.0,10.781041437526657,0.0,600
MAGICC-SLR,ssp534-over - ssp126,total,2100,15.114598666866247,15.21719558577896,7.3605386103617425,25.600420414113742,35.592213393630836,42.46602620552668,600
MAGICC-SLR,ssp534-over - ssp126,total,2150,15.433122638221825,15.47664770384445,6.6738281591665665,29.510741251770128,45.9368640506098,33.596378327477396,600
MAGICC-SLR,ssp534-over - ssp126,total,2300,12.75035135573869,14.281136372857517,-0.19592094321881579,30.864449403516055,66.49419349167921,19.17513497976964,600
