ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp245,ais,2300,fixed,2000,186.39574454832794,176.90011100482235,20.431315341154196,336.0555226564235,315.6242073152693,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,ais,2300,joint,2000,174.8340055518065,162.4506401580446,14.55346998180267,354.54378928305294,339.9903193012503,1.0771997566132254,0.9379720871603711,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2100,fixed,2000,20.67064319274484,20.581417594069638,18.674698199772916,22.23467222307787,3.559974023304953,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2100,joint,2000,15.670386931006455,15.933420003846647,9.491860017592899,23.566914901060795,14.075054883467896,3.953695951523016,0.7580986612214651,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2150,fixed,2000,30.45525613549178,30.32379489182569,27.514514745565023,32.7596307153237,5.245115969758679,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2150,joint,2000,22.64883188855999,23.309635546525055,13.021008267782799,36.34676760813835,23.325759340355553,4.4471389145336175,0.7436756331254629,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2300,fixed,2000,47.66521141156021,47.459462757078605,43.06268699232763,51.27176461309813,8.2090776207705,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,te,2300,joint,2000,36.9624918413021,39.73007423365795,20.066235112130663,68.24418537440009,48.17795026226943,5.868862798954441,0.7754605664528244,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp245,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp245 | forcing raw | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
