block,seed,a,b,r
greenland,2026,gis_c1,gis_alpha_f,-0.8783216717963057
greenland,2028,gis_c1,gis_alpha_f,-0.8953584842090321
greenland,2029,gis_c1,gis_alpha_f,-0.8157127928981323
