ssp,ssp_label,calib,gmst2100,total,ais,gsic,gis,te,lws
ssp119,SSP1-1.9,v2.0.0,1.5144573231754797,35.28151650324231,3.7210645480113547,11.95311991708148,5.552698071314474,11.521435809685878,2.5331981571491053
ssp119,SSP1-1.9,new,1.5144573231754797,37.090938826502885,5.645912684233141,11.005046983241277,5.552698071314474,12.35408293056488,2.5331981571491053
ssp126,SSP1-2.6,v2.0.0,1.8351255000156548,38.13079864173907,3.5723620444340076,12.887856853360718,5.726053939592276,13.41742238872935,2.527103415622712
ssp126,SSP1-2.6,new,1.8351255000156548,40.38883744863442,6.154923206810787,11.593665586283997,5.726053939592276,14.387091300324641,2.527103415622712
ssp245,SSP2-4.5,v2.0.0,2.7414579624535427,43.92527420078181,3.400884928716452,14.533049157101551,6.053990904816139,17.578956169070032,2.3583930410776164
ssp245,SSP2-4.5,new,2.7414579624535427,47.110715183751736,7.2593983245928095,12.589556330974647,6.053990904816139,18.849376582290525,2.3583930410776164
ssp460,SSP4-6.0,v2.0.0,3.1594002916640718,71.94507061487366,28.64815640691194,15.208623981264518,6.197786695099147,19.413505581650046,2.476997949947987
ssp460,SSP4-6.0,new,3.1594002916640718,75.54222585803353,33.0669985412753,12.983934912577238,6.197786695099147,20.81650775913386,2.476997949947987
ssp370,SSP3-7.0,v2.0.0,3.6597880844773636,78.97974432623104,33.712740664444496,15.595354507879689,6.285793074768161,20.962400614956223,2.4234554641824757
ssp370,SSP3-7.0,new,3.6597880844773636,82.87518805153428,38.48250242623979,13.206096596959647,6.285793074768161,22.477340489384197,2.4234554641824757
ssp585,SSP5-8.5,v2.0.0,4.692697276299074,106.12436618504069,52.65052952322179,17.88712698371003,6.812931680150033,26.370263706493503,2.4035142914653327
ssp585,SSP5-8.5,new,4.692697276299074,111.47171070769156,59.51416130073005,14.465076895580339,6.812931680150033,28.276026539765798,2.4035142914653327
