sample,draw_id,rff_idx,fair_cfg_idx
lhs,0,1005,63
lhs,1,5957,730
lhs,2,4653,327
lhs,3,1601,535
lhs,4,2493,423
lhs,5,1772,188
lhs,6,8988,143
lhs,7,3278,298
lhs,8,4854,142
lhs,9,4513,10
lhs,10,9542,364
lhs,11,610,290
lhs,12,2797,754
lhs,13,2444,283
lhs,14,6514,47
lhs,15,3135,510
lhs,16,9347,388
lhs,17,7662,665
lhs,18,8200,673
lhs,19,1416,58
lhs,20,8240,635
lhs,21,3969,125
lhs,22,5214,623
lhs,23,2535,483
lhs,24,3597,599
lhs,25,8625,3
lhs,26,9983,302
lhs,27,9557,14
lhs,28,3603,817
lhs,29,2706,812
lhs,30,951,530
lhs,31,5668,116
lhs,32,7765,207
lhs,33,8069,71
lhs,34,848,377
lhs,35,8897,53
lhs,36,9449,310
lhs,37,2970,212
lhs,38,7126,707
lhs,39,3819,513
lhs,40,3346,504
lhs,41,264,317
lhs,42,9641,385
lhs,43,2931,237
lhs,44,6675,350
lhs,45,377,427
lhs,46,8747,110
lhs,47,4832,479
lhs,48,1672,244
lhs,49,7630,642
lhs,50,6329,493
lhs,51,1939,358
lhs,52,4308,795
lhs,53,2048,799
lhs,54,851,126
lhs,55,2299,261
lhs,56,9918,401
lhs,57,7092,703
lhs,58,8673,149
lhs,59,9478,30
lhs,60,1487,838
lhs,61,6165,97
lhs,62,8504,529
lhs,63,7862,203
lhs,64,8110,182
lhs,65,5764,84
lhs,66,3170,92
lhs,67,4562,119
lhs,68,4767,713
lhs,69,1553,497
lhs,70,6218,331
lhs,71,3861,581
lhs,72,6073,547
lhs,73,3697,173
lhs,74,7476,626
lhs,75,2367,508
lhs,76,4108,656
lhs,77,7518,538
lhs,78,5287,787
lhs,79,6002,469
lhs,80,7849,661
lhs,81,5731,544
lhs,82,4288,27
lhs,83,5100,92
lhs,84,3230,222
lhs,85,1827,668
lhs,86,3794,524
lhs,87,1969,764
lhs,88,6467,757
lhs,89,2311,451
lhs,90,3935,302
lhs,91,224,338
lhs,92,9689,698
lhs,93,4437,241
lhs,94,6122,419
lhs,95,8032,805
lhs,96,943,829
lhs,97,5444,314
lhs,98,8419,650
lhs,99,1112,723
lhs,100,2563,269
lhs,101,5020,216
lhs,102,3038,356
lhs,103,329,609
lhs,104,1081,347
lhs,105,8840,391
lhs,106,7410,436
lhs,107,3386,563
lhs,108,2667,397
lhs,109,6761,415
lhs,110,3100,519
lhs,111,2072,555
lhs,112,5862,404
lhs,113,9858,255
lhs,114,4614,560
lhs,115,6584,552
lhs,116,7567,592
lhs,117,5108,456
lhs,118,5496,678
lhs,119,3487,76
lhs,120,7955,783
lhs,121,8257,604
lhs,122,2851,772
lhs,123,5819,192
lhs,124,5539,341
lhs,125,6716,256
lhs,126,6378,159
lhs,127,2189,807
lhs,128,1288,767
lhs,129,9373,735
lhs,130,5913,443
lhs,131,760,411
lhs,132,6830,576
lhs,133,4090,793
lhs,134,4983,160
lhs,135,4027,827
lhs,136,519,61
lhs,137,9,616
lhs,138,4733,610
lhs,139,8493,835
lhs,140,2141,19
lhs,141,7748,135
lhs,142,6613,693
lhs,143,5598,380
lhs,144,5169,44
lhs,145,198,685
lhs,146,6427,323
lhs,147,8794,82
lhs,148,8563,176
lhs,149,2626,645
lhs,150,9198,573
lhs,151,3401,459
lhs,152,1329,250
lhs,153,6276,485
lhs,154,4398,286
lhs,155,4218,131
lhs,156,3509,333
lhs,157,7320,780
lhs,158,484,718
lhs,159,7033,595
lhs,160,9290,233
lhs,161,1854,726
lhs,162,9772,199
lhs,163,4474,466
lhs,164,706,368
lhs,165,5645,653
lhs,166,1712,432
lhs,167,8939,72
lhs,168,133,685
lhs,169,9142,751
lhs,170,8346,822
lhs,171,6885,195
lhs,172,686,740
lhs,173,9740,372
lhs,174,5397,225
lhs,175,9005,736
lhs,176,8369,275
lhs,177,7247,746
lhs,178,2801,152
lhs,179,562,691
lhs,180,1207,40
lhs,181,57,167
lhs,182,7400,488
lhs,183,4934,281
lhs,184,7275,473
lhs,185,4164,107
lhs,186,6949,104
lhs,187,423,37
lhs,188,2210,585
lhs,189,1380,619
lhs,190,7919,268
lhs,191,9848,7
lhs,192,5347,774
lhs,193,1163,569
lhs,194,7184,230
lhs,195,9238,439
lhs,196,3702,449
lhs,197,1518,23
lhs,198,6989,634
lhs,199,9081,168
random,0,893,308
random,1,7740,764
random,2,6546,416
random,3,4389,588
random,4,4331,384
random,5,8586,223
random,6,860,642
random,7,6974,815
random,8,2015,221
random,9,942,654
random,10,5265,219
random,11,9757,602
random,12,7358,663
random,13,7612,377
random,14,7175,619
random,15,7861,228
random,16,5133,66
random,17,1282,81
random,18,8398,375
random,19,4504,759
random,20,5004,107
random,21,3708,383
random,22,1826,592
random,23,9268,170
random,24,7816,606
random,25,6439,257
random,26,4025,680
random,27,8228,487
random,28,5455,459
random,29,4435,148
random,30,4505,389
random,31,2273,720
random,32,922,16
random,33,5546,637
random,34,8879,414
random,35,639,605
random,36,8583,557
random,37,8277,363
random,38,2768,259
random,39,6317,527
random,40,1653,117
random,41,7581,491
random,42,7006,79
random,43,3546,546
random,44,680,528
random,45,9707,71
random,46,4457,637
random,47,8932,349
random,48,6780,661
random,49,7784,34
random,50,7599,150
random,51,1947,415
random,52,3640,158
random,53,4668,277
random,54,4978,555
random,55,439,121
random,56,5466,569
random,57,1543,86
random,58,7434,147
random,59,6831,494
random,60,9226,667
random,61,7448,143
random,62,3667,252
random,63,9676,778
random,64,4109,832
random,65,3259,488
random,66,9056,375
random,67,3705,291
random,68,764,515
random,69,4696,496
random,70,7957,247
random,71,1895,19
random,72,4630,127
random,73,1300,806
random,74,6865,351
random,75,4758,405
random,76,3302,392
random,77,2270,658
random,78,5645,54
random,79,6699,69
random,80,9404,231
random,81,4372,409
random,82,1607,564
random,83,8327,412
random,84,6298,371
random,85,7003,788
random,86,973,135
random,87,3124,480
random,88,7679,456
random,89,8323,398
random,90,4353,679
random,91,8048,224
random,92,8417,802
random,93,3875,278
random,94,8981,458
random,95,2884,437
random,96,2396,714
random,97,6825,369
random,98,6368,239
random,99,1398,18
random,100,8328,305
random,101,2000,694
random,102,8049,8
random,103,74,753
random,104,7969,456
random,105,7870,117
random,106,7804,254
random,107,6649,465
random,108,4716,265
random,109,7052,91
random,110,2772,560
random,111,7808,565
random,112,5557,99
random,113,4590,236
random,114,5057,205
random,115,5688,554
random,116,373,614
random,117,1398,611
random,118,2455,789
random,119,1146,646
random,120,4397,269
random,121,6685,90
random,122,6545,516
random,123,4711,770
random,124,8551,820
random,125,5653,193
random,126,792,198
random,127,7650,31
random,128,5747,118
random,129,6348,466
random,130,5654,459
random,131,5536,311
random,132,906,260
random,133,5593,697
random,134,7950,386
random,135,3040,679
random,136,6029,810
random,137,309,266
random,138,3475,170
random,139,4368,801
random,140,9828,533
random,141,2146,244
random,142,2766,522
random,143,4086,433
random,144,9927,761
random,145,8535,215
random,146,347,833
random,147,2340,787
random,148,8217,151
random,149,584,138
random,150,8557,448
random,151,2814,37
random,152,9177,251
random,153,2936,365
random,154,4344,815
random,155,6620,834
random,156,1263,127
random,157,5571,749
random,158,5051,76
random,159,7839,629
random,160,9962,711
random,161,6644,749
random,162,4092,187
random,163,4064,751
random,164,4180,97
random,165,8141,436
random,166,3213,394
random,167,1670,265
random,168,3343,18
random,169,228,649
random,170,1062,282
random,171,901,556
random,172,7716,344
random,173,7224,314
random,174,6968,745
random,175,4619,79
random,176,7171,619
random,177,1613,628
random,178,9007,319
random,179,5011,220
random,180,9381,4
random,181,1524,787
random,182,4974,797
random,183,6964,202
random,184,4957,26
random,185,4462,103
random,186,1663,56
random,187,3811,698
random,188,2388,750
random,189,3016,128
random,190,6838,628
random,191,6303,150
random,192,6072,308
random,193,3619,504
random,194,9597,605
random,195,877,735
random,196,3426,37
random,197,1181,165
random,198,3390,235
random,199,9619,260
