scope,basis,level_K,med,p05,p95,gmip3_central,gmip3_sigma,z
R19,data,1.2,74.5969983752085,20.059545799015595,99.88415706288225,32.0701,36.27285,1.172416790387535
R19,data,1.5,79.30801446203698,28.938805432839462,99.93050181979494,45.015,35.28705,0.9718300187189629
R19,data,2.0,85.14082577962603,38.38295855286598,99.97062197914937,60.0169,33.6135,0.747435577361061
R19,data,3.0,92.37147783470684,50.50108636835939,99.99527279972047,69.6644,28.35125,0.8009198125199714
SLOWP,data,1.2,52.510907454772365,33.836796562874994,78.42525826630931,42.887,19.33125,0.497841963389453
SLOWP,data,1.5,59.30725011461847,39.64698005401633,84.2952383168224,50.7768,20.50905,0.41593589730477365
SLOWP,data,2.0,68.54581840826293,48.11814495815841,90.84071484100929,66.1553,13.90245,0.17194943396760534
SLOWP,data,3.0,81.17841306146927,61.416003876640254,96.82770886173508,82.8502,16.60645,-0.10067094041957972
FAST,data,1.2,50.66690106988369,38.682080767727875,62.70694325077164,44.7716,8.6519,0.6813880268939416
FAST,data,1.5,57.73439304140352,46.13318181466161,69.32674833567204,50.6968,10.83685,0.6494131635487728
FAST,data,2.0,67.28481369476518,56.08959089377345,77.9274784242872,63.2624,13.1478,0.3059381565558631
FAST,data,3.0,80.3542864196129,70.38016398379223,88.9305939674113,78.5694,12.473,0.14310000958974606
aggregate,data,1.2,56.28775867533426,41.10147345073095,69.93044408147446,37.4,,
aggregate,data,1.5,62.30585863822415,48.08814624195957,75.28859840453026,46.3,,
aggregate,data,2.0,70.50437850394248,57.05729137235701,82.16851231472803,63.0,,
aggregate,data,3.0,81.6029733845912,69.68299410523213,90.58571770282677,75.5,,
aggregate,model,1.2,56.5903716366687,41.49159734957994,70.15790972513898,37.4,,
aggregate,model,1.5,62.568936257830586,48.42485082130757,75.4594393908699,46.3,,
aggregate,model,2.0,70.71476826191602,57.33795330882232,82.28889811508502,63.0,,
aggregate,model,3.0,81.73449538420147,69.88129343890367,90.65470652081851,75.5,,
