level_K,frame,com_med,com_p05,com_p95,gmip3_central,gmip3_lo,gmip3_hi,inside_likely
1.2,as_fitted,48.93217599381424,38.030075235048095,62.5917029330173,37.4,11.8,54.0,True
1.2,as_run,49.516657267428705,37.67827803775078,63.3085073982226,37.4,11.8,54.0,True
1.5,as_fitted,56.691162289844385,45.803406529233854,70.16803295175579,46.3,17.2,63.2,True
1.5,as_run,57.35018810073527,46.04012200700383,70.55161113355257,46.3,17.2,63.2,True
2.0,as_fitted,67.04574592556284,55.836038466385126,78.5969635144825,63.0,41.5,75.5,True
2.0,as_run,67.31910031934925,56.78809723623062,78.60206059751444,63.0,41.5,75.5,True
3.0,as_fitted,80.01021281335993,69.60601839642344,88.90563979654189,75.5,58.5,83.9,True
3.0,as_run,80.584341858563,69.79780464086059,89.31889403474436,75.5,58.5,83.9,True
