basis,block,a,b,T_off,kappa,nu,amp
reg,R19,0.06899999995585207,0.45903714533999307,0.27170881823436632,0.00092904638536694744,1.544758307331634,1.03
reg,SLOWP,0.14592002456432396,0.39361946585824026,0.23476556077543709,0.00073215177302044855,1.6221153011644229,1.7006846316082171
reg,FAST,0.13993547562837577,0.42103035814019296,-1.0638912635640685,0.0033933499840922638,1.5667602887176184,1.230050135920008
obs,R19,0.068999999932871814,0.76897394798567231,0.1621959209354924,0.0020613978125389332,1.5447583111035175,0.6148560152407081
obs,SLOWP,0.14592002412456667,0.26949308149895695,0.34289672452948539,0.00039601915769377666,1.6221153002663142,2.4840065397681128
obs,FAST,0.13993547561207917,0.36898202572712147,-1.2139629748212177,0.0027595638348375294,1.5667602855948934,1.4035600996145019
