component,window,n,bias_cm,trend_bias_cm_per_dec,obs_trend_cm_per_dec,coverage_p5p95,coverage_full
ais,1900-1950,51,-0.00829505060605556,-0.002424879321258816,0.05426936852985967,1.0,0.8492063492063492
ais,1950-1993,44,0.0042236700531642106,0.008547592846750468,0.05292743225178263,0.9545454545454546,0.8492063492063492
ais,1993-2026,33,-0.006644231095007438,-0.014630249404297191,0.32608285498222617,0.45454545454545453,0.8492063492063492
gis,1900-1950,51,-0.21496503734549768,-0.17725352020198565,0.5753724672136323,0.6274509803921569,0.29365079365079366
gis,1950-1993,44,-0.6779672870140351,0.15818922673945768,0.262971933363522,0.0,0.29365079365079366
gis,1993-2026,33,-0.17220858049380533,-0.13298513896196273,0.6596002331306104,0.15151515151515152,0.29365079365079366
gsic,1900-1950,51,0.06358753541383803,-0.1764119695559464,0.9434185269731293,0.6862745098039216,0.3387096774193548
gsic,1950-1993,44,-0.3537526356702309,0.14929300668507572,0.4468832954207773,0.045454545454545456,0.3387096774193548
gsic,1993-2026,31,0.0739794403281662,0.07461140242882092,0.7120974566105464,0.1935483870967742,0.3387096774193548
te,1900-1950,51,0.5354160357104716,-0.00019469361428875454,0.2972625780752929,0.19607843137254902,0.2619047619047619
te,1950-1993,44,0.15469654643662495,-0.07301146174932144,0.455148768004938,0.38636363636363635,0.2619047619047619
te,1993-2026,33,0.1193018411158167,0.12199336167270247,1.2339511197094264,0.21212121212121213,0.2619047619047619
total,1900-1950,51,0.3543508633934911,-0.14393034305994457,1.63738274680419,0.3333333333333333,0.256
total,1950-1993,44,-0.299242043342702,0.07647937682299266,0.8745665307738799,0.13636363636363635,0.256
total,1993-2026,32,0.02158486100295376,0.034026112903193795,3.2469016393680654,0.28125,0.256
