marker,specie,gate,key,value,verdict
VL,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
VL,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.033477010075911945,PASS
VL,CO2,EXPLAINS-TAIL,fired_median_cm_2100,1.184582046478024,PASS
VL,CO2,MEAN-MEDIAN-SIGN,ratio_2100,1.7510869339360604,PASS
VL,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.07917883962487494,PASS
VL,CO2,EXPLAINS-TAIL,fired_median_cm_2150,1.2949876191718666,PASS
VL,CO2,MEAN-MEDIAN-SIGN,ratio_2150,1.908246143536484,PASS
VL,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.17608896984967048,PASS
VL,CO2,EXPLAINS-TAIL,fired_median_cm_2300,1.7762239769724033,PASS
VL,CO2,MEAN-MEDIAN-SIGN,ratio_2300,2.2920363759796243,PASS
VL,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
VL,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.2222282844174749,PASS
VL,CH4,EXPLAINS-TAIL,fired_median_cm_2100,2.42290549113072,PASS
VL,CH4,MEAN-MEDIAN-SIGN,ratio_2100,1.855834945479173,PASS
VL,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.28329121278304115,PASS
VL,CH4,EXPLAINS-TAIL,fired_median_cm_2150,2.7241234138391874,PASS
VL,CH4,MEAN-MEDIAN-SIGN,ratio_2150,2.2187113704529717,PASS
VL,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,0.3264474683386053,PASS
VL,CH4,EXPLAINS-TAIL,fired_median_cm_2300,3.7479823731484316,PASS
VL,CH4,MEAN-MEDIAN-SIGN,ratio_2300,3.134428504633921,PASS
L,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
L,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.03436707056959495,PASS
L,CO2,EXPLAINS-TAIL,fired_median_cm_2100,1.1581097155594335,PASS
L,CO2,MEAN-MEDIAN-SIGN,ratio_2100,2.1043526354015443,PASS
L,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.07023474704883634,PASS
L,CO2,EXPLAINS-TAIL,fired_median_cm_2150,1.3983688169656006,PASS
L,CO2,MEAN-MEDIAN-SIGN,ratio_2150,2.2347050537436037,PASS
L,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.1738392777963496,PASS
L,CO2,EXPLAINS-TAIL,fired_median_cm_2300,1.751180519790715,PASS
L,CO2,MEAN-MEDIAN-SIGN,ratio_2300,2.4748239128281,PASS
L,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
L,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.18422058180410544,PASS
L,CH4,EXPLAINS-TAIL,fired_median_cm_2100,2.353353646373712,PASS
L,CH4,MEAN-MEDIAN-SIGN,ratio_2100,2.0373540767137714,PASS
L,CH4,EXPLAINS-TAIL,smooth_p999_cm_2150,0.20492964848646206,PASS
L,CH4,EXPLAINS-TAIL,fired_median_cm_2150,2.4680567082202884,PASS
L,CH4,MEAN-MEDIAN-SIGN,ratio_2150,2.5019749631329047,PASS
L,CH4,EXPLAINS-TAIL,smooth_p999_cm_2300,0.282670879966333,PASS
L,CH4,EXPLAINS-TAIL,fired_median_cm_2300,3.0723161755413457,PASS
L,CH4,MEAN-MEDIAN-SIGN,ratio_2300,3.423549295563851,PASS
LN,CO2,CONFIG-IDENTITY,mismatches,0.0,PASS
LN,CO2,EXPLAINS-TAIL,smooth_p999_cm_2100,0.03468452437903026,PASS
LN,CO2,EXPLAINS-TAIL,fired_median_cm_2100,1.1205678336433493,PASS
LN,CO2,MEAN-MEDIAN-SIGN,ratio_2100,1.9553019846935917,PASS
LN,CO2,EXPLAINS-TAIL,smooth_p999_cm_2150,0.06778029421912657,PASS
LN,CO2,EXPLAINS-TAIL,fired_median_cm_2150,1.1329098531286625,PASS
LN,CO2,MEAN-MEDIAN-SIGN,ratio_2150,2.11033673782803,PASS
LN,CO2,EXPLAINS-TAIL,smooth_p999_cm_2300,0.17876749640970852,PASS
LN,CO2,EXPLAINS-TAIL,fired_median_cm_2300,1.111342222848176,PASS
LN,CO2,MEAN-MEDIAN-SIGN,ratio_2300,1.8362000056766545,PASS
LN,CH4,CONFIG-IDENTITY,mismatches,0.0,PASS
LN,CH4,EXPLAINS-TAIL,smooth_p999_cm_2100,0.19342770991306563,PASS
