rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
19,521,1,5001,anova27k_brick
19,521,1,10000,anova27k_brick
19,521,2,1,anova27k_brick
19,521,2,5001,anova27k_brick
19,521,2,10000,anova27k_brick
19,550,0,1,anova27k_brick
19,550,0,5001,anova27k_brick
19,550,0,10000,anova27k_brick
19,550,1,1,anova27k_brick
19,550,1,5001,anova27k_brick
19,550,1,10000,anova27k_brick
19,550,2,1,anova27k_brick
19,550,2,5001,anova27k_brick
19,550,2,10000,anova27k_brick
19,579,0,1,anova27k_brick
19,579,0,5001,anova27k_brick
19,579,0,10000,anova27k_brick
19,579,1,1,anova27k_brick
19,579,1,5001,anova27k_brick
19,579,1,10000,anova27k_brick
19,579,2,1,anova27k_brick
19,579,2,5001,anova27k_brick
19,579,2,10000,anova27k_brick
19,608,0,1,anova27k_brick
19,608,0,5001,anova27k_brick
19,608,0,10000,anova27k_brick
19,608,1,1,anova27k_brick
19,608,1,5001,anova27k_brick
19,608,1,10000,anova27k_brick
19,608,2,1,anova27k_brick
19,608,2,5001,anova27k_brick
19,608,2,10000,anova27k_brick
19,637,0,1,anova27k_brick
19,637,0,5001,anova27k_brick
19,637,0,10000,anova27k_brick
19,637,1,1,anova27k_brick
19,637,1,5001,anova27k_brick
19,637,1,10000,anova27k_brick
19,637,2,1,anova27k_brick
19,637,2,5001,anova27k_brick
19,637,2,10000,anova27k_brick
19,666,0,1,anova27k_brick
19,666,0,5001,anova27k_brick
19,666,0,10000,anova27k_brick
19,666,1,1,anova27k_brick
19,666,1,5001,anova27k_brick
19,666,1,10000,anova27k_brick
19,666,2,1,anova27k_brick
19,666,2,5001,anova27k_brick
19,666,2,10000,anova27k_brick
19,695,0,1,anova27k_brick
19,695,0,5001,anova27k_brick
19,695,0,10000,anova27k_brick
19,695,1,1,anova27k_brick
19,695,1,5001,anova27k_brick
19,695,1,10000,anova27k_brick
19,695,2,1,anova27k_brick
19,695,2,5001,anova27k_brick
19,695,2,10000,anova27k_brick
19,724,0,1,anova27k_brick
19,724,0,5001,anova27k_brick
19,724,0,10000,anova27k_brick
19,724,1,1,anova27k_brick
19,724,1,5001,anova27k_brick
19,724,1,10000,anova27k_brick
19,724,2,1,anova27k_brick
19,724,2,5001,anova27k_brick
19,724,2,10000,anova27k_brick
19,753,0,1,anova27k_brick
19,753,0,5001,anova27k_brick
19,753,0,10000,anova27k_brick
19,753,1,1,anova27k_brick
19,753,1,5001,anova27k_brick
19,753,1,10000,anova27k_brick
19,753,2,1,anova27k_brick
19,753,2,5001,anova27k_brick
19,753,2,10000,anova27k_brick
19,782,0,1,anova27k_brick
19,782,0,5001,anova27k_brick
19,782,0,10000,anova27k_brick
19,782,1,1,anova27k_brick
19,782,1,5001,anova27k_brick
19,782,1,10000,anova27k_brick
19,782,2,1,anova27k_brick
19,782,2,5001,anova27k_brick
19,782,2,10000,anova27k_brick
19,811,0,1,anova27k_brick
19,811,0,5001,anova27k_brick
19,811,0,10000,anova27k_brick
19,811,1,1,anova27k_brick
19,811,1,5001,anova27k_brick
19,811,1,10000,anova27k_brick
19,811,2,1,anova27k_brick
19,811,2,5001,anova27k_brick
19,811,2,10000,anova27k_brick
19,840,0,1,anova27k_brick
19,840,0,5001,anova27k_brick
19,840,0,10000,anova27k_brick
19,840,1,1,anova27k_brick
19,840,1,5001,anova27k_brick
19,840,1,10000,anova27k_brick
19,840,2,1,anova27k_brick
19,840,2,5001,anova27k_brick
19,840,2,10000,anova27k_brick
103,0,0,1,anova27k_brick
103,0,0,5001,anova27k_brick
103,0,0,10000,anova27k_brick
103,0,1,1,anova27k_brick
103,0,1,5001,anova27k_brick
103,0,1,10000,anova27k_brick
103,0,2,1,anova27k_brick
103,0,2,5001,anova27k_brick
103,0,2,10000,anova27k_brick
103,29,0,1,anova27k_brick
103,29,0,5001,anova27k_brick
103,29,0,10000,anova27k_brick
103,29,1,1,anova27k_brick
103,29,1,5001,anova27k_brick
103,29,1,10000,anova27k_brick
103,29,2,1,anova27k_brick
103,29,2,5001,anova27k_brick
103,29,2,10000,anova27k_brick
103,58,0,1,anova27k_brick
103,58,0,5001,anova27k_brick
103,58,0,10000,anova27k_brick
103,58,1,1,anova27k_brick
103,58,1,5001,anova27k_brick
103,58,1,10000,anova27k_brick
103,58,2,1,anova27k_brick
103,58,2,5001,anova27k_brick
103,58,2,10000,anova27k_brick
103,87,0,1,anova27k_brick
103,87,0,5001,anova27k_brick
103,87,0,10000,anova27k_brick
103,87,1,1,anova27k_brick
103,87,1,5001,anova27k_brick
103,87,1,10000,anova27k_brick
103,87,2,1,anova27k_brick
103,87,2,5001,anova27k_brick
103,87,2,10000,anova27k_brick
103,116,0,1,anova27k_brick
103,116,0,5001,anova27k_brick
103,116,0,10000,anova27k_brick
103,116,1,1,anova27k_brick
103,116,1,5001,anova27k_brick
103,116,1,10000,anova27k_brick
103,116,2,1,anova27k_brick
103,116,2,5001,anova27k_brick
103,116,2,10000,anova27k_brick
103,145,0,1,anova27k_brick
103,145,0,5001,anova27k_brick
103,145,0,10000,anova27k_brick
103,145,1,1,anova27k_brick
103,145,1,5001,anova27k_brick
103,145,1,10000,anova27k_brick
103,145,2,1,anova27k_brick
103,145,2,5001,anova27k_brick
103,145,2,10000,anova27k_brick
103,174,0,1,anova27k_brick
103,174,0,5001,anova27k_brick
103,174,0,10000,anova27k_brick
103,174,1,1,anova27k_brick
103,174,1,5001,anova27k_brick
103,174,1,10000,anova27k_brick
103,174,2,1,anova27k_brick
103,174,2,5001,anova27k_brick
103,174,2,10000,anova27k_brick
103,203,0,1,anova27k_brick
103,203,0,5001,anova27k_brick
103,203,0,10000,anova27k_brick
103,203,1,1,anova27k_brick
103,203,1,5001,anova27k_brick
103,203,1,10000,anova27k_brick
103,203,2,1,anova27k_brick
103,203,2,5001,anova27k_brick
103,203,2,10000,anova27k_brick
103,232,0,1,anova27k_brick
103,232,0,5001,anova27k_brick
103,232,0,10000,anova27k_brick
103,232,1,1,anova27k_brick
103,232,1,5001,anova27k_brick
103,232,1,10000,anova27k_brick
103,232,2,1,anova27k_brick
103,232,2,5001,anova27k_brick
103,232,2,10000,anova27k_brick
