component,driver,fitted,ours_rate,obs_rate,rate_ratio,ours_accel,obs_accel,accel_ratio,accel_window
ais,FaIR-mean GMST,true,0.032020985174965565,0.029631390578478804,1.0806440247938387,0.0006006679077708526,0.0008262092819011904,0.7270166541686091,1993-2024
gis,OBSERVED regional T (spliced),true,0.06292087440992347,0.059326755583031215,1.0605817525595527,0.0009173072159163401,0.001458149942450539,0.6290897727395106,1993-2024
gsic_hind,OBSERVED block T (spliced),true,0.06052835366100552,0.07050690729777687,0.858474098223764,0.0013461418118966089,0.0004361960764503015,3.086093352446702,1993-2023
te,FaIR-mean OHC,true,0.14367329573621426,0.13004343280504493,1.1048100825791225,0.0014878802104203775,0.0004105358949039427,3.624239022433135,1993-2024
total,mixed,true,0.3103960577292725,0.32008435697227455,0.9697320439691426,0.0051895142376240325,0.009093335711771254,0.5706942317005019,1993-2024
