name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.5450997491173563,0.9383117835822823,1.6075793897080979,0.9868047379788805,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.1171084075689273,0.3424756592067443,0.6609021794033597,0.3581326716683908,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.00429311944953968,0.008869971322056101,0.013528606153868682,0.008878918567672204,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.14898768623417255,0.38210079835729593,0.7179975564072066,0.4002299514827215,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.22978369825558345,1.0142002105487014,1.7759790350884765,1.0090681407798712,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.018444470594032154,0.045789430275269355,0.08188018108943257,0.04758982142310255,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.0704634036224289,0.1117055964710259,0.18166707566831566,0.1169761644559411,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.3439148485613135,0.5823563381494807,0.7487696235570973,0.5687871432266686,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.00059737534720345,0.0019873036556358496,0.004802813267802635,0.0022547144740987846,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,0.0016453881855770349,0.00477477927528145,0.010566524790442094,0.0052953482179915945,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L27 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L27) | posterior parameters_subsample_brick_mengel_L27.csv n=10000 | quantiles 5/50/95 over all draws | commit 5a27c0b | 2026-09-20 18:18,-6.496962598530956,-5.667445410821408,-4.955185626735974,-5.690160507362247,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
