rff_idx,fair_cfg_idx,seed_idx,axis
70,0,0,anova108k_fair
70,0,1,anova108k_fair
70,0,2,anova108k_fair
70,22,0,anova108k_fair
70,22,1,anova108k_fair
70,22,2,anova108k_fair
70,43,0,anova108k_fair
70,43,1,anova108k_fair
70,43,2,anova108k_fair
70,65,0,anova108k_fair
70,65,1,anova108k_fair
70,65,2,anova108k_fair
70,86,0,anova108k_fair
70,86,1,anova108k_fair
70,86,2,anova108k_fair
70,108,0,anova108k_fair
70,108,1,anova108k_fair
70,108,2,anova108k_fair
70,129,0,anova108k_fair
70,129,1,anova108k_fair
70,129,2,anova108k_fair
70,151,0,anova108k_fair
70,151,1,anova108k_fair
70,151,2,anova108k_fair
70,172,0,anova108k_fair
70,172,1,anova108k_fair
70,172,2,anova108k_fair
70,194,0,anova108k_fair
70,194,1,anova108k_fair
70,194,2,anova108k_fair
70,215,0,anova108k_fair
70,215,1,anova108k_fair
70,215,2,anova108k_fair
70,237,0,anova108k_fair
70,237,1,anova108k_fair
70,237,2,anova108k_fair
70,258,0,anova108k_fair
70,258,1,anova108k_fair
70,258,2,anova108k_fair
70,280,0,anova108k_fair
70,280,1,anova108k_fair
70,280,2,anova108k_fair
70,302,0,anova108k_fair
70,302,1,anova108k_fair
70,302,2,anova108k_fair
70,323,0,anova108k_fair
70,323,1,anova108k_fair
70,323,2,anova108k_fair
70,345,0,anova108k_fair
70,345,1,anova108k_fair
70,345,2,anova108k_fair
70,366,0,anova108k_fair
70,366,1,anova108k_fair
70,366,2,anova108k_fair
70,388,0,anova108k_fair
70,388,1,anova108k_fair
70,388,2,anova108k_fair
70,409,0,anova108k_fair
70,409,1,anova108k_fair
70,409,2,anova108k_fair
70,431,0,anova108k_fair
70,431,1,anova108k_fair
70,431,2,anova108k_fair
70,452,0,anova108k_fair
70,452,1,anova108k_fair
70,452,2,anova108k_fair
70,474,0,anova108k_fair
70,474,1,anova108k_fair
70,474,2,anova108k_fair
70,495,0,anova108k_fair
70,495,1,anova108k_fair
70,495,2,anova108k_fair
70,517,0,anova108k_fair
70,517,1,anova108k_fair
70,517,2,anova108k_fair
70,538,0,anova108k_fair
70,538,1,anova108k_fair
70,538,2,anova108k_fair
70,560,0,anova108k_fair
70,560,1,anova108k_fair
70,560,2,anova108k_fair
70,582,0,anova108k_fair
70,582,1,anova108k_fair
70,582,2,anova108k_fair
70,603,0,anova108k_fair
70,603,1,anova108k_fair
70,603,2,anova108k_fair
70,625,0,anova108k_fair
70,625,1,anova108k_fair
70,625,2,anova108k_fair
70,646,0,anova108k_fair
70,646,1,anova108k_fair
70,646,2,anova108k_fair
70,668,0,anova108k_fair
70,668,1,anova108k_fair
70,668,2,anova108k_fair
70,689,0,anova108k_fair
70,689,1,anova108k_fair
70,689,2,anova108k_fair
70,711,0,anova108k_fair
70,711,1,anova108k_fair
70,711,2,anova108k_fair
70,732,0,anova108k_fair
70,732,1,anova108k_fair
70,732,2,anova108k_fair
70,754,0,anova108k_fair
70,754,1,anova108k_fair
70,754,2,anova108k_fair
70,775,0,anova108k_fair
70,775,1,anova108k_fair
70,775,2,anova108k_fair
70,797,0,anova108k_fair
70,797,1,anova108k_fair
70,797,2,anova108k_fair
70,818,0,anova108k_fair
70,818,1,anova108k_fair
70,818,2,anova108k_fair
70,840,0,anova108k_fair
70,840,1,anova108k_fair
70,840,2,anova108k_fair
182,0,0,anova108k_fair
182,0,1,anova108k_fair
182,0,2,anova108k_fair
182,22,0,anova108k_fair
182,22,1,anova108k_fair
182,22,2,anova108k_fair
182,43,0,anova108k_fair
182,43,1,anova108k_fair
182,43,2,anova108k_fair
182,65,0,anova108k_fair
182,65,1,anova108k_fair
182,65,2,anova108k_fair
182,86,0,anova108k_fair
182,86,1,anova108k_fair
182,86,2,anova108k_fair
182,108,0,anova108k_fair
182,108,1,anova108k_fair
182,108,2,anova108k_fair
182,129,0,anova108k_fair
182,129,1,anova108k_fair
182,129,2,anova108k_fair
182,151,0,anova108k_fair
182,151,1,anova108k_fair
182,151,2,anova108k_fair
182,172,0,anova108k_fair
182,172,1,anova108k_fair
182,172,2,anova108k_fair
182,194,0,anova108k_fair
182,194,1,anova108k_fair
182,194,2,anova108k_fair
182,215,0,anova108k_fair
182,215,1,anova108k_fair
182,215,2,anova108k_fair
182,237,0,anova108k_fair
182,237,1,anova108k_fair
182,237,2,anova108k_fair
182,258,0,anova108k_fair
182,258,1,anova108k_fair
182,258,2,anova108k_fair
182,280,0,anova108k_fair
182,280,1,anova108k_fair
182,280,2,anova108k_fair
182,302,0,anova108k_fair
182,302,1,anova108k_fair
182,302,2,anova108k_fair
182,323,0,anova108k_fair
182,323,1,anova108k_fair
182,323,2,anova108k_fair
182,345,0,anova108k_fair
182,345,1,anova108k_fair
182,345,2,anova108k_fair
182,366,0,anova108k_fair
182,366,1,anova108k_fair
182,366,2,anova108k_fair
182,388,0,anova108k_fair
182,388,1,anova108k_fair
182,388,2,anova108k_fair
182,409,0,anova108k_fair
182,409,1,anova108k_fair
182,409,2,anova108k_fair
182,431,0,anova108k_fair
182,431,1,anova108k_fair
182,431,2,anova108k_fair
182,452,0,anova108k_fair
182,452,1,anova108k_fair
182,452,2,anova108k_fair
182,474,0,anova108k_fair
182,474,1,anova108k_fair
182,474,2,anova108k_fair
182,495,0,anova108k_fair
182,495,1,anova108k_fair
182,495,2,anova108k_fair
182,517,0,anova108k_fair
182,517,1,anova108k_fair
182,517,2,anova108k_fair
182,538,0,anova108k_fair
182,538,1,anova108k_fair
182,538,2,anova108k_fair
182,560,0,anova108k_fair
182,560,1,anova108k_fair
182,560,2,anova108k_fair
182,582,0,anova108k_fair
182,582,1,anova108k_fair
182,582,2,anova108k_fair
182,603,0,anova108k_fair
182,603,1,anova108k_fair
182,603,2,anova108k_fair
182,625,0,anova108k_fair
182,625,1,anova108k_fair
182,625,2,anova108k_fair
182,646,0,anova108k_fair
182,646,1,anova108k_fair
182,646,2,anova108k_fair
182,668,0,anova108k_fair
182,668,1,anova108k_fair
182,668,2,anova108k_fair
182,689,0,anova108k_fair
182,689,1,anova108k_fair
182,689,2,anova108k_fair
182,711,0,anova108k_fair
182,711,1,anova108k_fair
182,711,2,anova108k_fair
182,732,0,anova108k_fair
182,732,1,anova108k_fair
182,732,2,anova108k_fair
182,754,0,anova108k_fair
182,754,1,anova108k_fair
182,754,2,anova108k_fair
182,775,0,anova108k_fair
182,775,1,anova108k_fair
182,775,2,anova108k_fair
182,797,0,anova108k_fair
182,797,1,anova108k_fair
182,797,2,anova108k_fair
182,818,0,anova108k_fair
182,818,1,anova108k_fair
182,818,2,anova108k_fair
182,840,0,anova108k_fair
182,840,1,anova108k_fair
182,840,2,anova108k_fair
239,0,0,anova108k_fair
239,0,1,anova108k_fair
239,0,2,anova108k_fair
