forcing,scenario,component,horizon,ladrillo_our_climate_cm,ladrillo_magicc_climate_cm,magicc_slr_cm,module_plus_climate_cm,climate_cm,module_cm,joint_spread_cm,climate_share_of_gap,verdict
spliced,vvVL,glaciers,2100,7.409042456101242,6.590721998022772,9.500092329422516,2.091049873321275,-0.8183204580784693,2.909370331399744,4.716604777123678,-0.3913443043702766,OPPOSED
spliced,vvVL,glaciers,2150,8.906306159580303,7.575519701826847,10.747015230673869,1.8407090710935652,-1.3307864577534563,3.1714955288470215,5.783865490815493,-0.7229749006250271,OPPOSED
spliced,vvVL,glaciers,2300,10.51459337467503,8.369318088655,10.09458771745926,-0.42000565721576955,-2.1452752860200306,1.725269628804261,6.65882012001786,5.107729501171786,OVERSHOOT
spliced,vvVL,gis,2100,6.001207789052743,5.267895560762913,5.729822317829612,-0.27138547122313117,-0.7333122282898303,0.46192675706669917,3.353320521048399,2.7021056985283725,OVERSHOOT
spliced,vvVL,gis,2150,7.045532225449355,5.642982042177779,8.059905445055609,1.014373219606254,-1.4025501832715754,2.4169234028778295,4.583350787774549,-1.382676667879697,OPPOSED
spliced,vvVL,gis,2300,7.551249319116352,4.749154803841709,12.81088993060298,5.2596406114866285,-2.8020945152746437,8.061735126761272,5.735326995270508,-0.5327539887716085,OPPOSED
spliced,vvVL,ais,2100,4.359189341044765,3.9322673606914735,2.045236940268084,-2.3139524007766807,-0.4269219803532911,-1.8870304204233896,2.27773256400275,0.18449903300084922,MODULE
spliced,vvVL,ais,2150,6.538388579502513,5.648008783529942,2.2950638296406023,-4.243324749861911,-0.8903797959725708,-3.35294495388934,3.6827258746246248,0.2098306984403082,MODULE
spliced,vvVL,ais,2300,12.02784717958478,9.164323689458492,1.660797284223184,-10.367049895361596,-2.8635234901262887,-7.5035264052353075,8.548476340565305,0.27621391997037464,BOTH
spliced,vvVL,te,2100,14.449791884734536,9.306121564203728,9.174805206060809,-5.274986678673727,-5.143670320530807,-0.13131635814291975,10.280188667869153,0.9751058408026281,CLIMATE
spliced,vvVL,te,2150,17.29835920767027,10.517950358738826,9.92478291270846,-7.3735762949618096,-6.780408848931444,-0.5931674460303658,13.498174832058789,0.9195549863048595,CLIMATE
spliced,vvVL,te,2300,18.761945664864335,10.893575435209566,9.406264911189178,-9.355680753675157,-7.868370229654769,-1.4873105240203888,17.45958985802767,0.8410259431483771,CLIMATE
spliced,vvVL,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,vvVL,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,vvVL,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,vvVL,total,2100,34.96970915669765,27.567698814208775,30.590456926399195,-4.379252230298452,-7.402010342488872,3.02275811219042,17.386465503276195,1.6902452640834564,OVERSHOOT
spliced,vvVL,total,2150,44.33596488065439,33.577156106063626,37.40400583444949,-6.931959046204895,-10.758808774590761,3.8268497283858665,24.428505157464716,1.552058906130005,OVERSHOOT
spliced,vvVL,total,2300,57.66616796548851,41.55865669546792,45.65369206822986,-12.012475897258653,-16.107511270020595,4.0950353727619415,35.9413970028601,1.3408985298106997,OVERSHOOT
spliced,vvLN,glaciers,2100,7.9068812497739565,7.323038151848952,10.27827006859437,2.3713888188204137,-0.5838430979250049,2.9552319167454186,4.740207824395127,-0.24620302385309492,MODULE
spliced,vvLN,glaciers,2150,9.224470322992172,8.068634973551532,10.99927430761153,1.7748039846193588,-1.1558353494406397,2.9306393340599985,5.381140657430038,-0.6512467627170282,OPPOSED
spliced,vvLN,glaciers,2300,9.386720159076251,5.880817798078448,2.457669889244852,-6.929050269831399,-3.505902360997803,-3.423147908833596,5.634188195843924,0.5059715580737315,BOTH
spliced,vvLN,gis,2100,6.484305772689921,5.922615499348468,6.373710095648702,-0.11059567704121864,-0.561690273341453,0.4510945963002344,3.1586431000561124,,AGREE
spliced,vvLN,gis,2150,7.210712895171709,5.798091053521942,8.842746795817138,1.6320339006454292,-1.4126218416497673,3.0446557422951965,3.7872897467347073,-0.8655591290665655,OPPOSED
spliced,vvLN,gis,2300,4.30564546604367,3.017661304430777,12.952532416455716,8.646886950412046,-1.2879841616128926,9.93487111202494,5.050925366669276,-0.1489535099740742,MODULE
spliced,vvLN,ais,2100,4.6028389100150315,4.253990189016209,3.3465106257453945,-1.256328284269637,-0.3488487209988227,-0.9074795632708144,3.0466047609780813,0.2776732207391358,BOTH
spliced,vvLN,ais,2150,6.742418019575879,5.871246805698815,3.5402554833639908,-3.2021625362118886,-0.871171213877064,-2.3309913223348246,4.397769442117047,0.27205715013693427,BOTH
spliced,vvLN,ais,2300,8.835573467699824,6.672924208583968,-0.3713218000349522,-9.206895267734776,-2.162649259115856,-7.04424600861892,5.6943473782090495,0.23489452157610397,MODULE
spliced,vvLN,te,2100,15.513171460221988,10.474815933071095,10.371755591142945,-5.141415869079044,-5.038355527150893,-0.10306034192815083,10.700133992765164,0.9799548714687786,CLIMATE
spliced,vvLN,te,2150,17.384506668171955,10.309984311441552,9.430708785718773,-7.953797882453182,-7.074522356730403,-0.8792755257227789,13.026034155921964,0.8894521159932235,CLIMATE
spliced,vvLN,te,2300,8.081432212333006,-3.4425879064687797,-5.29318622691358,-13.374618439246586,-11.524020118801786,-1.8505983204447993,15.124286944505815,0.8616335614469278,CLIMATE
spliced,vvLN,lws,2100,2.596380650083528,2.596380650083528,3.0076045676447416,0.4112239175612138,0.0,0.4112239175612138,0.0,0.0,MODULE
spliced,vvLN,lws,2150,4.2307986469202445,4.2307986469202445,4.962999145299118,0.732200498378873,0.0,0.732200498378873,0.0,0.0,MODULE
spliced,vvLN,lws,2300,8.483616077316128,8.483616077316128,10.781041437526657,2.2974253602105286,0.0,2.2974253602105286,0.0,0.0,MODULE
spliced,vvLN,total,2100,37.180938241227864,30.491299552257686,34.429942826411235,-2.7509954148166287,-6.689638688970177,3.9386432741535486,19.51393045281452,2.4317156811459406,OVERSHOOT
spliced,vvLN,total,2150,44.922830459194,34.24209223972272,39.010991305344504,-5.911839153849499,-10.68073821947128,4.768899065621781,24.83301950552028,1.8066692853976767,OVERSHOOT
spliced,vvLN,total,2300,39.324399516288864,20.432972218219863,26.989542113329637,-12.334857402959226,-18.891427298069,6.556569895109774,25.784203804439255,1.5315480901738519,OVERSHOOT
spliced,vvL,glaciers,2100,7.884204787436821,7.300194227361945,10.326692359844348,2.4424875724075266,-0.5840105600748764,3.026498132482403,4.860868346868489,-0.23910482357100601,MODULE
spliced,vvL,glaciers,2150,9.65391929574414,8.54705938034028,11.912492089593089,2.2585727938489484,-1.1068599154038612,3.3654327092528096,6.163007228274463,-0.49007050754277665,OPPOSED
spliced,vvL,glaciers,2300,11.13913242079732,9.375089768796546,11.169603782203929,0.03047136140660811,-1.764042652000775,1.7945140134073831,7.035405854989616,,AGREE
spliced,vvL,gis,2100,6.473298588370802,5.940681457827386,6.3424087290754025,-0.1308898592953991,-0.5326171305434153,0.4017272712480162,3.3275764135139,,AGREE
spliced,vvL,gis,2150,7.799203806056374,6.645170673089657,9.019836179977858,1.2206323739214842,-1.1540331329667168,2.374665506888201,4.752282998396037,-0.9454387394782868,OPPOSED
