draw,obs_iid_ais,obs_iid_gsic,obs_iid_gis,obs_iid_steric,obs_iid_fit,obs_iid_total,ar1_prof_ais,ar1_prof_ais_sd,ar1_prof_ais_rho,ar1_prof_gsic,ar1_prof_gsic_sd,ar1_prof_gsic_rho,ar1_prof_gis,ar1_prof_gis_sd,ar1_prof_gis_rho,ar1_prof_steric,ar1_prof_steric_sd,ar1_prof_steric_rho,ar1_prof_fit,ar1_prof_total,model
1,-97.80486739178671,-6.442290804000393,-182.3099866916561,-269.10029051513646,-555.6574354025797,-169.80453856243383,116.34735436419403,0.030870968479650283,0.9899999999290092,-0.7863081458062737,0.033584231083040185,0.9899999999995945,97.61973344733401,0.031787028523621294,0.9899999999996938,10.670662404208542,0.07051659481996768,0.9899999999867302,223.85144206993033,-167.91902946001824,ladrillo
6,28.07486228575719,-5.141487679061228,-3.421237208143779,-802.6293629549235,-783.1172255563713,-164.73077061201013,121.18112374048088,0.02441549436446119,0.9856065962995127,2.516284373586487,0.030823751404996352,0.9876618196125704,100.01414542315844,0.027520856193781324,0.9871634633230837,9.051491580653547,0.07616733764578228,0.9896014152399191,232.76304511787936,-164.48381050916532,ladrillo
11,-113.80402017963799,3.4583417158060854,7.986598057980515,-3103.73157464695,-3206.090655052801,-211.08722816023405,115.50854806659125,0.03135930305286466,0.9899999999901312,3.634919699663172,0.010281328399880264,0.9220361002647888,101.33370298501016,0.02598015083606626,0.9835766740901682,1.967554391704354,0.09831622894761173,0.9899999999353101,222.44472514296893,-171.98229313928036,ladrillo
16,69.55325821783013,1.6081529153940153,-21.645333276659542,-564.797893175407,-515.2818153188424,-166.26263171199247,123.743156254922,0.01816505710575786,0.9899999999804467,3.300420745273982,0.026084740387002998,0.9836879230596425,102.91763859847747,0.02438042170143019,0.9878960317126789,9.858702884264773,0.0732915891942084,0.9899999995495975,239.81991848293822,-164.96002643826316,ladrillo
21,99.71479990998527,-1.433599515092169,-105.68949122107985,-375.5628599310111,-382.97115075719785,-163.3156498209378,125.956420143642,0.01839261617475935,0.9741029259463723,2.4782881343886203,0.02984856226460493,0.9851843957483335,100.58413135313462,0.027896834913272762,0.9899999999572143,10.433782637855913,0.07131571777578811,0.9899999999362734,239.45262226902116,-163.3156498209378,ladrillo
26,-178.86224951961077,3.6515264682223147,-26.824668440676376,-215.91046969868654,-417.9458611907514,-167.5853527537661,112.71139404364583,0.03499760208845306,0.9899999999824531,4.410586080010944,0.014634090392299941,0.9588322979698262,101.15628611657367,0.026849452309050077,0.9848373281430163,10.724492215986118,0.07036488691487679,0.9899999999679316,229.00275845621655,-166.08626524696848,ladrillo
31,-131.23952617537856,-2.259873209158883,-97.74225209193234,-1169.1099413182087,-1400.3515927946785,-162.98319540435506,115.9323520328095,0.03134804282237724,0.9899999999665012,2.827553838219771,0.02711990881284798,0.9753825072449575,99.73946754317434,0.028672096789812102,0.9899999999985232,7.786084433517502,0.08020149240504387,0.9899999995939353,226.2854578477211,-162.98319540435506,ladrillo
36,-78.47144027964147,-8.03016350627604,-207.91729164104953,-495.09623484140104,-789.515130268368,-167.20478304578543,116.50996458270161,0.03024227480436741,0.9899999999998587,2.0683816034986933,0.03296063888814119,0.9899999999801334,96.12573434717892,0.033436581707384845,0.9899999998904012,10.082768607625681,0.07252194192532072,0.9899999998990188,224.7868491410049,-166.70186061469647,ladrillo
41,-0.5357842307726486,0.19681271023063118,-185.3711878601901,-1033.0951412857469,-1218.805300666479,-164.0174493330502,120.0485630764188,0.025795527682735096,0.9886581975810804,4.32240433249477,0.02335612574376739,0.9747323834342787,98.98814956652167,0.030052060204258664,0.9892002269269735,8.252986090769397,0.07874642281837557,0.9897929907260273,231.61210306620467,-164.0174493330502,ladrillo
46,43.50662267791803,-38.61961692606303,-62.46791031353406,-716.2333422373722,-773.8142467990513,-168.6455977601796,121.9441705460162,0.022770593655864164,0.9899999993343902,-7.795040294200831,0.05688902017806149,0.9899999999943425,101.90664723476739,0.02570951887730325,0.989999998926478,9.348990565705435,0.0751226015381023,0.9897283771908344,225.4047680522882,-167.5507498088474,ladrillo
