level_K,scope,method,central,lo,hi,sens_mm_1p5_3,sc_b,sc_T_off,committed_1850_m,gap_mm,exc_K,rate_mm_yr,overshoot_x,validation_pass
1.2000,full_rgi,exact,40.0334,39.9357,43.8830,,,,,,,,,True
1.2000,excl_r05,exact,38.3273,37.4999,40.0274,,,,,,,,,True
1.2000,full_rgi,member_bounds,39.7423,13.8437,55.9800,,,,,,,,,True
1.2000,excl_r05,member_bounds,38.0625,11.0613,54.7662,,,,,,,,,True
1.2000,excl_r05,anchor_final,37.4411,11.8310,54.0465,,,,,,,,,True
1.5000,full_rgi,exact,48.6439,46.3210,54.4101,,,,,,,,,True
1.5000,excl_r05,exact,47.9054,44.0010,52.2304,,,,,,,,,True
1.5000,full_rgi,member_bounds,47.4473,22.0647,65.9388,,,,,,,,,True
1.5000,excl_r05,member_bounds,46.1893,19.3516,64.9398,,,,,,,,,True
1.5000,excl_r05,anchor_final,46.3432,17.2269,63.1768,,,,,,,,,True
2.0000,full_rgi,exact,63.3415,56.8837,67.8915,,,,,,,,,True
2.0000,excl_r05,exact,62.8473,56.9408,69.0898,,,,,,,,,True
2.0000,full_rgi,member_bounds,61.9668,44.9886,75.0872,,,,,,,,,True
2.0000,excl_r05,member_bounds,61.7130,43.1835,75.0539,,,,,,,,,True
2.0000,excl_r05,anchor_final,62.9620,41.4744,75.5214,,,,,,,,,True
2.7000,full_rgi,exact,75.3319,69.6637,78.7895,,,,,,,,,True
2.7000,excl_r05,exact,73.8529,67.1903,77.6360,,,,,,,,,True
2.7000,full_rgi,member_bounds,71.4718,54.2834,81.2436,,,,,,,,,True
2.7000,excl_r05,member_bounds,70.2039,52.2795,80.3031,,,,,,,,,True
2.7000,excl_r05,anchor_final,74.1334,51.9970,80.8085,,,,,,,,,True
3.0000,full_rgi,exact,77.4098,70.1053,81.0406,,,,,,,,,True
3.0000,excl_r05,exact,75.4719,69.1288,79.9996,,,,,,,,,True
3.0000,full_rgi,member_bounds,72.6586,61.2465,84.9611,,,,,,,,,True
3.0000,excl_r05,member_bounds,71.1222,59.3744,83.9204,,,,,,,,,True
3.0000,excl_r05,anchor_final,75.4743,58.5044,83.8950,,,,,,,,,True
1.2000,full_rgi,marginal_xcheck,43.3569,13.2190,61.9471,,,,,,,,,True
1.2000,excl_r05,marginal_xcheck,41.7523,10.1308,60.8721,,,,,,,,,True
1.5000,full_rgi,marginal_xcheck,49.9684,19.4951,68.3513,,,,,,,,,True
1.5000,excl_r05,marginal_xcheck,48.5401,16.8217,67.5972,,,,,,,,,True
2.0000,full_rgi,marginal_xcheck,62.6198,31.8016,77.1530,,,,,,,,,True
2.0000,excl_r05,marginal_xcheck,62.0713,29.4717,76.9675,,,,,,,,,True
2.7000,full_rgi,marginal_xcheck,76.3699,47.7900,86.7794,,,,,,,,,True
2.7000,excl_r05,marginal_xcheck,75.3487,45.4274,86.0645,,,,,,,,,True
3.0000,full_rgi,marginal_xcheck,78.6580,51.6382,88.7880,,,,,,,,,True
3.0000,excl_r05,marginal_xcheck,77.5201,49.3329,87.9975,,,,,,,,,True
,full_rgi,exact,,,,109.3156,,,,,,,,True
,excl_r05,exact,,,,94.5407,,,,,,,,True
1.2000,pub_39,sc_solve,39.0000,,,,0.2863,-0.9566,0.0918,107.6400,1.8337,1.1981,1.9968,True
1.2000,final_excl_r05,sc_solve,37.4411,,,,0.2817,-0.9143,0.0870,103.3374,1.7726,1.1118,1.8531,True
