zone,amp_window,amp,anchor_splice,scenario,kind,onset_K_GMT,year,value
south,full,1.9221976385152952,1.9903991580229998,SSP1-2.6,level,,2100.0,2.972339566193895
south,full,1.9221976385152952,1.9903991580229998,SSP1-2.6,level,,2200.0,2.802837288064966
south,full,1.9221976385152952,1.9903991580229998,SSP1-2.6,level,,2300.0,2.835513349113131
south,full,1.9221976385152952,1.9903991580229998,SSP2-4.5,level,,2100.0,4.24942887459862
south,full,1.9221976385152952,1.9903991580229998,SSP2-4.5,level,,2200.0,4.929358675367118
south,full,1.9221976385152952,1.9903991580229998,SSP2-4.5,level,,2300.0,4.92761919188779
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,level,,2100.0,7.455558669926624
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,level,,2200.0,11.786942987591992
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,level,,2300.0,12.614320260148187
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,M1_map_min_step,,,0.0002593375541710685
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,onset_translated,4.0,2087.0,6.37091399364115
south,full,1.9221976385152952,1.9903991580229998,ALL,M2_inert_margin,4.0,,1.389442801506517
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,4.0,,1.621285208867163
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,onset_translated,5.0,2107.0,7.992199202508313
south,full,1.9221976385152952,1.9903991580229998,ALL,M2_inert_margin,5.0,,3.01072801037368
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,5.0,,1.6571245116681803
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,onset_translated,6.0,2135.0,9.649323714176493
south,full,1.9221976385152952,1.9903991580229998,ALL,M2_inert_margin,6.0,,4.66785252204186
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,6.0,,1.632278487713096
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,onset_translated,7.0,2179.0,11.281602201889589
south,full,1.9221976385152952,1.9903991580229998,ALL,M2_inert_margin,7.0,,6.300131009754956
south,full,1.9221976385152952,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,7.0,,
south,modern,1.7918384323792236,1.9903991580229998,SSP1-2.6,level,,2100.0,2.905746532513467
south,modern,1.7918384323792236,1.9903991580229998,SSP1-2.6,level,,2200.0,2.7477395251997754
south,modern,1.7918384323792236,1.9903991580229998,SSP1-2.6,level,,2300.0,2.778199567825827
south,modern,1.7918384323792236,1.9903991580229998,SSP2-4.5,level,,2100.0,4.096226459513949
south,modern,1.7918384323792236,1.9903991580229998,SSP2-4.5,level,,2200.0,4.7300449201785755
south,modern,1.7918384323792236,1.9903991580229998,SSP2-4.5,level,,2300.0,4.728423404633922
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,level,,2100.0,7.084923600408465
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,level,,2200.0,11.122562982689763
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,level,,2300.0,11.893829352670528
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,M1_map_min_step,,,0.0002417498529876383
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,onset_translated,4.0,2087.0,6.0738371348434566
south,modern,1.7918384323792236,1.9903991580229998,ALL,M2_inert_margin,4.0,,1.295213853896441
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,M3_ramp_W_zone,4.0,,1.5113332203134124
south,modern,1.7918384323792236,1.9903991580229998,SSP5-8.5,onset_translated,5.0,2107.0,7.585170355156869
