series,n_years,y0,y1,sd,rho,stat_sd,tau_yr,n_eff,band_sigma_mean
ais,126,1900,2025,0.0136146462763687,0.6159352072055402,0.017281926037648644,2.0635000708050764,29.946846678207596,0.17076191289104
gsic,124,1900,2023,0.0135939931074476,0.5937658511542839,0.01689454782899761,1.9183907839181502,31.60629550469171,0.4592878122851521
gis,126,1900,2025,0.0543228869801223,0.9853021966136328,0.3180118579021,67.53614377292119,0.9328167922450917,0.18795852173402586
steric,126,1900,2025,0.06921475001248685,0.9734172363259638,0.30219629184057656,37.116115810896844,1.6972732178849352,0.31008638020868695
dang,125,1900,2024,0.06099767623449565,0.4527250140160522,0.06840987295790929,1.2618768306379513,47.09038020821027,2.0210570661495963
