component,n_years,coverage_param,coverage_pred,mean_bias
ais,126,0.8492063492063492,0.9920634920634921,-0.0039924080760719745
glaciers,124,0.6290322580645161,1.0,-0.0017512595337575835
gis,126,0.30952380952380953,0.6825396825396826,-0.3984125208526856
te,126,0.2777777777777778,1.0,0.24216760619574765
total,125,0.408,1.0,0.03415200063428032
