year,tas_sh,tas_nh,scenario
1850,288.15866127581654,287.8982660434604,historical
1851,288.15760478729595,287.82858131431385,historical
1852,288.3156480975246,288.1716121317461,historical
1853,288.476970292749,288.40033870882246,historical
1854,288.3760953850072,288.17401208699323,historical
1855,288.17334125875,287.98359653980356,historical
1856,288.23207123397236,288.09643155140105,historical
1857,288.27855099649764,288.15374464497785,historical
1858,288.3068456057517,288.0540750676459,historical
1859,288.2728024784717,288.08844999018453,historical
1860,288.2037592571924,287.85469697663945,historical
1861,288.17708701862716,287.85544542078156,historical
1862,288.2801035517596,287.8826827282991,historical
1863,288.3123257898184,288.0628821062734,historical
1864,288.3709500284644,288.06401278762803,historical
1865,288.26050149640787,288.04055666082235,historical
1866,288.29143229009105,288.1867731842618,historical
1867,288.39794099174793,288.19711092757285,historical
1868,288.38315538439196,288.16846924006205,historical
1869,288.31459678828634,288.16221124717345,historical
1870,288.3012279384325,288.14227569040287,historical
1871,288.2460934591907,287.92541451760013,historical
1872,288.23715804997425,288.0188853983512,historical
1873,288.38486694240567,288.1439163595102,historical
1874,288.2088826551496,287.9786200888982,historical
1875,288.1711651745674,287.97802131420156,historical
1876,288.27918477624684,288.0958268777519,historical
1877,288.2160739503459,288.1413667136585,historical
1878,288.27349238008327,288.148969251184,historical
1879,288.2635622042819,288.0012377226991,historical
1880,288.12704548613954,287.93852411750356,historical
1881,288.132232815883,287.9369789475619,historical
1882,288.40572868169886,288.312566781392,historical
1883,288.550159162798,288.3949711832117,historical
1884,288.0231466197914,287.48619788611416,historical
1885,288.05232746952254,287.54924063325996,historical
1886,288.25566976304134,287.9363125915723,historical
1887,288.21300405670644,287.9552036553126,historical
1888,288.38441413659103,288.0367384158078,historical
1889,288.4488925242294,288.1418833215077,historical
1890,288.683165777874,288.33340460962347,historical
1891,288.3901978125233,288.0181484659266,historical
1892,288.17955170728646,287.8852940691538,historical
1893,288.159753003935,287.91377398798,historical
1894,288.3919713929995,288.2192342586121,historical
1895,288.49701025592725,288.28230276657484,historical
1896,288.4471072649793,288.1311102849263,historical
1897,288.3678899580361,288.02947649019995,historical
1898,288.08976124370935,287.82704779423386,historical
