year,tas_global,tas_ais,scenario,member
1,286.8695910687205,237.4841698594696,1pctCO2,r1i1p1f2
2,286.73098496117666,237.65347582567188,1pctCO2,r1i1p1f2
3,286.7292961979303,237.25008204261712,1pctCO2,r1i1p1f2
4,286.71378956053127,236.89806246043094,1pctCO2,r1i1p1f2
5,286.6770163804633,238.0056078934075,1pctCO2,r1i1p1f2
6,286.79815221185396,238.2303289793325,1pctCO2,r1i1p1f2
7,286.82317963713933,237.95254302630462,1pctCO2,r1i1p1f2
8,287.01011394281693,237.44480011580794,1pctCO2,r1i1p1f2
9,286.9518218697075,236.92301499764105,1pctCO2,r1i1p1f2
10,286.90608195164066,237.30394419594393,1pctCO2,r1i1p1f2
11,286.9921140938913,237.815186061122,1pctCO2,r1i1p1f2
12,287.0510189266948,237.64637731280175,1pctCO2,r1i1p1f2
13,287.0297763138949,237.97805358117867,1pctCO2,r1i1p1f2
14,286.8695846173165,238.0647486188471,1pctCO2,r1i1p1f2
15,286.9722773716846,237.61182527117822,1pctCO2,r1i1p1f2
16,287.14547820373355,237.920807974555,1pctCO2,r1i1p1f2
17,286.95214039284224,237.71879651486083,1pctCO2,r1i1p1f2
18,286.8688672681813,237.11453865762888,1pctCO2,r1i1p1f2
19,286.9280871633573,237.49153353904714,1pctCO2,r1i1p1f2
20,287.12745267978175,238.05364421033087,1pctCO2,r1i1p1f2
21,287.35654002468647,237.40753887776583,1pctCO2,r1i1p1f2
22,287.24382059719034,237.54604844663177,1pctCO2,r1i1p1f2
23,287.22122690019836,237.94022315837157,1pctCO2,r1i1p1f2
24,287.3303062824791,238.10832458384817,1pctCO2,r1i1p1f2
25,287.51666360962014,238.54748245404897,1pctCO2,r1i1p1f2
26,287.36704005183555,237.91612972446572,1pctCO2,r1i1p1f2
27,287.35833791435925,238.03168663779942,1pctCO2,r1i1p1f2
28,287.4375976916764,238.41586193741816,1pctCO2,r1i1p1f2
29,287.5245586669315,237.87129532373913,1pctCO2,r1i1p1f2
30,287.6790455093106,238.10257414117535,1pctCO2,r1i1p1f2
31,287.66820610006783,238.5478765900472,1pctCO2,r1i1p1f2
32,287.70099871315693,238.0576415047895,1pctCO2,r1i1p1f2
33,287.85569129399374,238.58139570883785,1pctCO2,r1i1p1f2
34,287.5429809495618,238.45507335692733,1pctCO2,r1i1p1f2
35,287.6209257900597,238.24057967081362,1pctCO2,r1i1p1f2
36,287.94992290292373,238.52310477334044,1pctCO2,r1i1p1f2
37,288.10339320261363,238.64909131327622,1pctCO2,r1i1p1f2
38,287.907489464395,238.8258851687183,1pctCO2,r1i1p1f2
39,288.0027095673887,238.1534362034963,1pctCO2,r1i1p1f2
40,288.02389402031696,238.766368605695,1pctCO2,r1i1p1f2
