year,tas_sh,tas_nh,scenario
1850,285.1347345437479,286.00952939776903,historical
1851,285.07838990017456,285.93137470109923,historical
1852,285.14137305092964,285.93963220613387,historical
1853,285.18494980621443,285.9798800528163,historical
1854,285.1841787162615,285.95657065781154,historical
1855,285.3496402898898,285.9514634711163,historical
1856,285.1534375521204,285.9072880749356,historical
1857,285.16106812690657,285.87326111142073,historical
1858,285.09385349288067,285.7949460465235,historical
1859,285.2078836622851,285.8520033110036,historical
1860,285.2489222445981,285.8345652167526,historical
1861,285.15183309664627,285.5401457888976,historical
1862,285.2353097868264,285.663194998439,historical
1863,285.1300092475476,285.7551247199602,historical
1864,285.1227639421361,285.7002243417636,historical
1865,285.1072850650741,285.82913116334487,historical
1866,285.1227889209318,285.85285680821613,historical
1867,284.9994602663806,285.7633237245895,historical
1868,285.0001394336093,285.8449920540809,historical
1869,285.0611654609782,285.86934179176995,historical
1870,285.0603680638465,285.90305256065466,historical
1871,285.10392398201697,285.8590345862896,historical
1872,285.08410602760097,285.7450673244295,historical
1873,285.12734691752223,285.78756917128163,historical
1874,285.20752105015487,285.7029087328386,historical
1875,285.2888421153719,285.85645243138845,historical
1876,285.1671427991673,285.7756838999659,historical
1877,285.04524836681486,285.920900279281,historical
1878,285.08999101237373,285.85113353897526,historical
1879,285.17951032191064,285.82512562774735,historical
1880,285.305697199181,285.96475511802953,historical
1881,285.0115941368772,285.85918613399764,historical
1882,285.23234197905293,286.0011275772323,historical
1883,285.1581833823207,286.06399164844333,historical
1884,285.119005655079,285.6468834114083,historical
1885,285.0204980828337,285.66221166529067,historical
1886,285.1825452321155,285.9640572853462,historical
1887,285.2798320740333,286.0113430084523,historical
1888,285.3734474108299,286.18599142914564,historical
1889,285.26474490280026,286.01862273002484,historical
1890,285.2674790095827,285.8969031473965,historical
1891,285.17748051271286,285.9351263376845,historical
1892,285.29377384569824,285.9426089289673,historical
1893,285.3172354900289,285.9897806734292,historical
1894,285.27327819532735,285.90889846600095,historical
1895,285.28045915143156,286.06457016153115,historical
1896,285.1075689514616,285.9261490785098,historical
