year,ohc,scenario
1,0.520718534678629,1pctCO2
2,0.5202775811495847,1pctCO2
3,0.521260858884926,1pctCO2
4,0.5224572003704228,1pctCO2
5,0.5228838154714401,1pctCO2
6,0.5225549694609969,1pctCO2
7,0.52291472020045,1pctCO2
8,0.5232542627478299,1pctCO2
9,0.5236212227442493,1pctCO2
10,0.5247085705195388,1pctCO2
11,0.5262910655287446,1pctCO2
12,0.5268473662742197,1pctCO2
13,0.5288326684742758,1pctCO2
14,0.5299653521955829,1pctCO2
15,0.5319983516234518,1pctCO2
16,0.5333135599959387,1pctCO2
17,0.5346835557728598,1pctCO2
18,0.5351781038388814,1pctCO2
19,0.5366916746063962,1pctCO2
20,0.5379923328961411,1pctCO2
21,0.5395771183379708,1pctCO2
22,0.5407514108370428,1pctCO2
23,0.5425482778275599,1pctCO2
24,0.5436131201378287,1pctCO2
25,0.5453672758520466,1pctCO2
26,0.5482410017758199,1pctCO2
27,0.549399173487731,1pctCO2
28,0.5507560831226714,1pctCO2
29,0.5538762899294292,1pctCO2
30,0.5559472346959049,1pctCO2
31,0.557425663282311,1pctCO2
32,0.559551136134422,1pctCO2
33,0.5610178349769279,1pctCO2
34,0.5629724863457353,1pctCO2
35,0.5659970800733306,1pctCO2
36,0.5670054932163187,1pctCO2
37,0.5687280391993588,1pctCO2
38,0.5702853034620415,1pctCO2
39,0.5726827194130486,1pctCO2
40,0.5753964304924011,1pctCO2
41,0.5772667256120133,1pctCO2
42,0.5797718252221199,1pctCO2
43,0.5826217483301632,1pctCO2
44,0.585116165631438,1pctCO2
45,0.5879562822106766,1pctCO2
46,0.5906855653410088,1pctCO2
47,0.5917723208177285,1pctCO2
48,0.5943711597625524,1pctCO2
49,0.5968506122288638,1pctCO2
50,0.5997459542261411,1pctCO2
51,0.6021416551446261,1pctCO2
52,0.6047441182071216,1pctCO2
53,0.6078809344605224,1pctCO2
54,0.6117023693372126,1pctCO2
55,0.614362593719868,1pctCO2
56,0.6164099623079169,1pctCO2
57,0.6190836604327372,1pctCO2
58,0.6220449641959308,1pctCO2
59,0.6249849354960227,1pctCO2
60,0.6286692191476692,1pctCO2
61,0.6328112309926177,1pctCO2
62,0.6346846908739169,1pctCO2
63,0.6374124793407044,1pctCO2
64,0.6403501290164582,1pctCO2
65,0.6432972191131279,1pctCO2
66,0.6468622050873221,1pctCO2
67,0.6495322132371163,1pctCO2
68,0.652397889960302,1pctCO2
69,0.6561252045304808,1pctCO2
70,0.65910884141922,1pctCO2
71,0.6634201060553067,1pctCO2
72,0.6661032101879382,1pctCO2
73,0.6698572893665261,1pctCO2
74,0.6734062893749916,1pctCO2
75,0.6772651410167986,1pctCO2
76,0.681455539677241,1pctCO2
77,0.6857592215276744,1pctCO2
78,0.6896970538243855,1pctCO2
79,0.6922955750767651,1pctCO2
80,0.696090051246016,1pctCO2
81,0.7001548646247551,1pctCO2
82,0.7039539113436659,1pctCO2
83,0.70677638900736,1pctCO2
84,0.7103670139835305,1pctCO2
85,0.714506975102098,1pctCO2
86,0.7189751301726249,1pctCO2
87,0.722277177324712,1pctCO2
88,0.7258498776448916,1pctCO2
89,0.7303847138195821,1pctCO2
90,0.7344555862962383,1pctCO2
91,0.7374540051150191,1pctCO2
92,0.741414424817856,1pctCO2
93,0.7455762716188823,1pctCO2
94,0.7512159171169751,1pctCO2
95,0.7551925317511532,1pctCO2
96,0.7596124609855757,1pctCO2
97,0.7630416040551172,1pctCO2
98,0.7673424892229577,1pctCO2
99,0.770950487402619,1pctCO2
100,0.7747354162882452,1pctCO2
101,0.778850705329686,1pctCO2
102,0.7833018854872821,1pctCO2
103,0.7881044462078908,1pctCO2
104,0.79306325259274,1pctCO2
105,0.7975036186714695,1pctCO2
106,0.8024328365717849,1pctCO2
107,0.8071396829652004,1pctCO2
108,0.8124264748129126,1pctCO2
109,0.8164076405028774,1pctCO2
110,0.8218214949516401,1pctCO2
111,0.8265374112324636,1pctCO2
112,0.8316229181746914,1pctCO2
113,0.8361352002783997,1pctCO2
114,0.8415905727099066,1pctCO2
115,0.847629735541474,1pctCO2
116,0.8528246641159057,1pctCO2
117,0.8562688055103772,1pctCO2
118,0.8617381265718643,1pctCO2
119,0.8674855626345984,1pctCO2
120,0.8726783623434093,1pctCO2
121,0.8771203243569152,1pctCO2
122,0.881856490161321,1pctCO2
123,0.8865698478260978,1pctCO2
124,0.892364051570631,1pctCO2
125,0.8967392227421068,1pctCO2
126,0.9021137959336581,1pctCO2
127,0.9073220408353649,1pctCO2
128,0.912783660953992,1pctCO2
129,0.9185838831614141,1pctCO2
130,0.9241240845967645,1pctCO2
131,0.9296744916934133,1pctCO2
132,0.9345437252358214,1pctCO2
133,0.9396382563734708,1pctCO2
134,0.9455721943345788,1pctCO2
135,0.9503652508792981,1pctCO2
136,0.9566525945924733,1pctCO2
137,0.9613674702709668,1pctCO2
138,0.9663330571292198,1pctCO2
139,0.9718233065201285,1pctCO2
140,0.9778491207998092,1pctCO2
141,0.9838031099267202,1pctCO2
142,0.9901714429463426,1pctCO2
143,0.9955861078259723,1pctCO2
144,1.0018389747567373,1pctCO2
145,1.0078628974418118,1pctCO2
146,1.014860911891885,1pctCO2
147,1.0199344877988263,1pctCO2
148,1.026218614186326,1pctCO2
149,1.0335212475632969,1pctCO2
150,1.039193282715262,1pctCO2
1,0.5291917882553518,abrupt-4xCO2
2,0.5450665575184234,abrupt-4xCO2
3,0.5573071918852343,abrupt-4xCO2
4,0.5677509361750459,abrupt-4xCO2
5,0.5779267587073862,abrupt-4xCO2
6,0.5888502014826422,abrupt-4xCO2
7,0.598109307347751,abrupt-4xCO2
8,0.6067334264925082,abrupt-4xCO2
9,0.6156783646100188,abrupt-4xCO2
10,0.6238217520387206,abrupt-4xCO2
11,0.6322957459694701,abrupt-4xCO2
12,0.6400781860090282,abrupt-4xCO2
13,0.6482629135863421,abrupt-4xCO2
14,0.6561451332209861,abrupt-4xCO2
15,0.6649383581726929,abrupt-4xCO2
16,0.6717267833343924,abrupt-4xCO2
17,0.6794719473956382,abrupt-4xCO2
18,0.6865755170991976,abrupt-4xCO2
19,0.6933165231689078,abrupt-4xCO2
20,0.700211576892905,abrupt-4xCO2
21,0.7069850557470975,abrupt-4xCO2
22,0.7137180132408665,abrupt-4xCO2
23,0.7204059162100808,abrupt-4xCO2
24,0.7254760489071885,abrupt-4xCO2
25,0.7316773746111621,abrupt-4xCO2
26,0.738493684873189,abrupt-4xCO2
27,0.7440922939386524,abrupt-4xCO2
28,0.7501815149228866,abrupt-4xCO2
29,0.7548755348545231,abrupt-4xCO2
30,0.7609007621464664,abrupt-4xCO2
31,0.7660389861773923,abrupt-4xCO2
32,0.7724802263795513,abrupt-4xCO2
33,0.7790533469147878,abrupt-4xCO2
34,0.7850466448966771,abrupt-4xCO2
35,0.7905300782352197,abrupt-4xCO2
36,0.7966034129874348,abrupt-4xCO2
37,0.800790954289371,abrupt-4xCO2
38,0.8069689412639566,abrupt-4xCO2
39,0.8121048588244641,abrupt-4xCO2
40,0.818108528117611,abrupt-4xCO2
