year,tas_sh,tas_nh,scenario
1850,285.1832834957689,286.6199793331996,historical
1851,285.3229960438913,286.7424380082731,historical
1852,285.3683489982881,286.6984816240357,historical
1853,285.41928931716484,286.71827382269186,historical
1854,285.4061276271752,286.81198017945934,historical
1855,285.42609129269135,286.7939756312913,historical
1856,285.2308097599453,286.5993504235757,historical
1857,285.27685318492325,286.5713517759244,historical
1858,285.30035620709833,286.75091716217065,historical
1859,285.23726370084427,286.56141664750845,historical
1860,285.2204087729872,286.5150590002433,historical
1861,285.1822824684184,286.4431746328555,historical
1862,285.23298941850976,286.48975715398785,historical
1863,285.0405685191176,286.3333325848718,historical
1864,285.2242077176132,286.31752910824093,historical
1865,285.24144430129013,286.46046410814455,historical
1866,285.36369037998026,286.6165471659974,historical
1867,285.3497662570239,286.7249579597073,historical
1868,285.30903778104556,286.6235143375235,historical
1869,285.23184390973927,286.8060556918998,historical
1870,285.29717426562763,286.73706846944276,historical
1871,285.37938854582916,286.746840512738,historical
1872,285.5275805731125,286.8555792156279,historical
1873,285.27818177764925,286.8011206609531,historical
1874,285.173731116895,286.5573354720259,historical
1875,285.1749217535963,286.6536129503883,historical
1876,285.28715740283224,286.6746801163142,historical
1877,285.35970263267177,286.6311926421131,historical
1878,285.21809846703223,286.46159400660264,historical
1879,285.1452440626222,286.5873874201293,historical
1880,285.2821696913952,286.36345570033023,historical
1881,285.3124799633144,286.5261580282844,historical
1882,285.2543042721336,286.63348201848953,historical
1883,285.2549955787544,286.5073149637565,historical
1884,285.0814155627143,286.09133013997047,historical
1885,285.06166924602627,286.2664251204456,historical
1886,285.13243670767076,286.4631618894667,historical
1887,285.2108984552044,286.5494507102832,historical
1888,285.1775391627369,286.56872062139803,historical
1889,285.07708996219236,286.5482252902081,historical
1890,285.32081102426883,286.4765373369288,historical
1891,285.4244254747755,286.497162232863,historical
1892,285.3951291386939,286.53624999415075,historical
1893,285.23051002751737,286.5111231412292,historical
1894,285.33215569213905,286.42923474940073,historical
1895,285.39415965646793,286.4276000766237,historical
1896,285.4741630470835,286.5187364022706,historical
1897,285.27673795901785,286.5986645078042,historical
1898,285.2762042154726,286.45240650284615,historical
1899,285.1159906797293,286.4249604520721,historical
1900,285.36085312077523,286.37998421122956,historical
1901,285.51268357920725,286.5599055950983,historical
1902,285.2347890586603,286.545432899947,historical
1903,285.25820036240333,286.34350622613806,historical
1904,285.31495482833066,286.43250975159486,historical
1905,285.12685441853074,286.4591413731397,historical
1906,285.21679120872324,286.62720879789384,historical
1907,285.1838090395579,286.730028685861,historical
1908,285.2426154305293,286.62173675775136,historical
1909,285.15038700267837,286.6564628590957,historical
1910,285.1502801221996,286.5413214963561,historical
1911,285.260809411829,286.61203641801933,historical
1912,285.2784826181717,286.4368199262519,historical
1913,285.26871415860614,286.2563389307352,historical
1914,285.2861105508301,286.4335026126902,historical
1915,285.3709009939106,286.59765445965184,historical
1916,285.23859022204283,286.36219496319757,historical
1917,285.15859693537135,286.4080895995674,historical
1918,285.1337756373304,286.3048613526961,historical
1919,285.20707146365453,286.5511969635012,historical
1920,285.2570359000536,286.57153286950813,historical
1921,285.10367676971856,286.48386545592274,historical
1922,285.1584295150344,286.43066000272046,historical
1923,285.1724090711808,286.6260337092218,historical
1924,285.2109368291933,286.55440522115174,historical
1925,285.2796165244015,286.5974357125014,historical
1926,285.35117916968284,286.7368522293888,historical
1927,285.31950048377485,286.64089666662255,historical
1928,285.3391428907681,286.5108882457226,historical
1929,285.22135736320575,286.44654014893575,historical
1930,285.27817809801616,286.50215995744674,historical
1931,285.25391269654,286.6634435179151,historical
1932,285.22962374011547,286.61167960667376,historical
1933,285.1696626203141,286.543458841854,historical
1934,285.1760698294086,286.62077733963844,historical
1935,285.1941447185467,286.647822664196,historical
1936,285.3900210910136,286.82975857748124,historical
1937,285.3921725471282,286.75270921890444,historical
1938,285.17693203473027,286.7013280248149,historical
1939,285.352585063475,286.74926880286665,historical
1940,285.6111185285681,286.76276047413296,historical
1941,285.51780003395913,286.7593817791764,historical
1942,285.323218652125,286.6487913272782,historical
1943,285.53402311448417,286.7117611080042,historical
1944,285.4430737133102,286.649257618039,historical
1945,285.4146190758282,286.6101742686881,historical
1946,285.2995119324865,286.48176526301495,historical
1947,285.30733750786936,286.5376047276482,historical
1948,285.4948222287457,286.69098052293697,historical
1949,285.5255868414478,286.8168236920402,historical
1950,285.34174095505455,286.732734986872,historical
1951,285.5808137768233,286.8828541444322,historical
1952,285.5399721612736,286.81959656750644,historical
1953,285.4417930024046,286.7727776071101,historical
1954,285.38734484719873,286.4870891314415,historical
1955,285.53796200067035,286.5862393005328,historical
1956,285.43520966523283,286.56753157248954,historical
1957,285.4337763466906,286.7108857231449,historical
1958,285.3266393225898,286.49484885122473,historical
1959,285.4413661053472,286.5795347022792,historical
1960,285.66362799922683,286.802033004185,historical
1961,285.4037390439016,286.55842554514567,historical
1962,285.36265555360603,286.3916180867889,historical
1963,285.2885168638592,286.28252009216874,historical
1964,285.24211942389104,286.24031654801274,historical
1965,285.3469501102067,286.15389462693395,historical
1966,285.2285624883278,286.3532633786602,historical
