year,tas_sh,tas_nh,scenario
1850,286.69615840419414,287.63335696832144,historical
1851,286.80632470441276,287.72998654412794,historical
1852,286.71095231450244,287.6234114219485,historical
1853,286.57405526694333,287.7178099721674,historical
1854,286.56511235563073,287.76811083066804,historical
1855,286.6153736579646,288.00512322981956,historical
1856,286.666409769901,288.07388124810933,historical
1857,286.5232483218517,287.99399954818693,historical
1858,286.53636712368234,287.9713093810331,historical
1859,286.6548183817849,288.02692904068965,historical
1860,286.6406547014251,287.9097725959997,historical
1861,286.5292813350641,287.98603045783346,historical
1862,286.5148140294047,287.93943112773957,historical
1863,286.49346927973426,288.02638107109493,historical
1864,286.44951919893714,287.92865030560785,historical
1865,286.4432790277413,288.01775709523343,historical
1866,286.5613120036042,288.19794680423536,historical
1867,286.671535014502,288.2241184108237,historical
1868,286.664269919513,288.16676959483846,historical
1869,286.3271523940651,287.86504445566277,historical
1870,286.26733376003165,287.630651993509,historical
1871,286.4213812439476,288.04509084797957,historical
1872,286.5167974863898,288.03286685848013,historical
1873,286.53522730893275,288.0930196172282,historical
1874,286.51802851433655,288.01389362063117,historical
1875,286.3944645354934,287.73239071839225,historical
1876,286.4567408174543,287.7588016412279,historical
1877,286.5242772273735,287.9144154787267,historical
1878,286.4907179312993,287.8940766550075,historical
1879,286.40729003343597,287.70191749030533,historical
1880,286.3025074418581,287.486628471528,historical
1881,286.36819249083226,287.62761109032687,historical
1882,286.4607646881249,287.75078505033343,historical
1883,286.48770019920397,287.730686216752,historical
1884,286.09479324676914,287.07217890526033,historical
1885,286.075838361206,287.10246124437873,historical
1886,286.1684178904888,287.41497532749605,historical
1887,286.2703604062773,287.5910232412781,historical
1888,286.3302417351572,287.76277023374024,historical
1889,286.3214253613801,287.64835974945385,historical
1890,286.2462687069141,287.3648440037119,historical
1891,286.3149777753812,287.4782596666018,historical
1892,286.36348105893074,287.53258420609626,historical
1893,286.2703740936267,287.2470059791497,historical
1894,286.1930888423108,287.33106275229636,historical
1895,286.24463196431714,287.3987954042668,historical
1896,286.45479067780235,287.57907618109584,historical
1897,286.5841581056634,287.8094053254785,historical
1898,286.4336206557823,287.8177441379435,historical
1899,286.25341458001236,287.79405047983255,historical
1900,286.2759598241168,287.5985382423038,historical
1901,286.2968455432661,287.83777351447515,historical
1902,286.44778547419116,287.8781673688305,historical
1903,286.36820165348456,287.426332738816,historical
1904,286.2686446776375,287.55865807790576,historical
1905,286.2927716868313,287.7352611968219,historical
1906,286.4487378679438,287.9026242955761,historical
1907,286.45740799024804,287.9705987320594,historical
1908,286.3133911642379,287.9347520917283,historical
1909,286.3657942886374,287.8998269395264,historical
1910,286.3401715615442,287.843171770738,historical
1911,286.35749950195117,288.0023464221448,historical
1912,286.58852895671856,288.1328475138221,historical
1913,286.61164647338546,287.87624061646915,historical
1914,286.2857364939292,287.7862186862714,historical
1915,286.2929841245612,287.67937403333747,historical
1916,286.36985002486784,287.90227348028685,historical
1917,286.47098657871,287.99841949084185,historical
1918,286.3577773879612,287.9592896859145,historical
1919,286.4076194820669,287.94681753193817,historical
1920,286.51093686594766,287.9042859654506,historical
1921,286.58559946311465,288.12207888846234,historical
1922,286.4287973074745,287.9207358385981,historical
1923,286.20461308716756,287.76941010875555,historical
1924,286.25647001303446,287.7525893616089,historical
1925,286.37923122253756,287.8648092451832,historical
1926,286.48338405211587,288.0534406789924,historical
1927,286.66134284370276,288.3250508691763,historical
1928,286.61525414267237,288.37252645103723,historical
1929,286.54820412467376,288.28525977403035,historical
1930,286.4975702430836,288.17186133669935,historical
1931,286.7650783169544,288.29570564585043,historical
1932,286.8996310612802,288.438605644901,historical
1933,286.6165372404766,288.12645001872136,historical
1934,286.4183849125087,288.04503840442345,historical
1935,286.56047361354064,288.23176862847265,historical
1936,286.6280996320216,288.37763887405185,historical
1937,286.5123346967111,288.1964195104721,historical
1938,286.47224615867384,288.12388812638636,historical
1939,286.57834561601925,288.34615688104253,historical
1940,286.7221286151006,288.3206762603998,historical
1941,286.74839610513027,288.22717510443584,historical
1942,286.4400251748655,288.0173880002457,historical
1943,286.4529253826523,288.0375153633653,historical
1944,286.44655572779834,288.1211038568175,historical
1945,286.40886845442424,287.9894352005789,historical
1946,286.5849298719159,288.17421347977313,historical
1947,286.6753872468588,288.25836474537,historical
1948,286.54181542039817,288.2156026207697,historical
1949,286.6188495499575,288.2592852081495,historical
1950,286.53634916243954,287.99596251867774,historical
1951,286.513538808512,287.9662088127066,historical
1952,286.5818750132498,288.1597680924817,historical
1953,286.4932697943697,288.32452615297376,historical
1954,286.5703201748833,288.11547433180687,historical
1955,286.5142493242712,288.28892158555595,historical
1956,286.43970674107624,288.19680174156815,historical
1957,286.59086620187264,288.3002983142926,historical
1958,286.6860704069875,288.2298825350258,historical
1959,286.5223185987252,288.08985680659,historical
1960,286.5571614543787,287.99922946663804,historical
1961,286.6613222214458,288.2355283756935,historical
1962,286.8002048039211,288.30263507145764,historical
1963,286.6225901040587,288.1843173061895,historical
1964,286.3147533202022,288.05612528165,historical
1965,286.31304737332607,288.05566783820035,historical
1966,286.4356987913615,288.2947422925143,historical
1967,286.6817615363943,288.5035577079107,historical
1968,286.7633868448184,288.48670925658183,historical
1969,286.485791700306,288.1249020871486,historical
1970,286.46906714180636,287.8384611112124,historical
1971,286.5543983353435,287.8764664087584,historical
1972,286.6835167068084,288.4442781451371,historical
1973,287.0263982158779,288.57583753703886,historical
1974,286.85845191969264,288.5751935965869,historical
1975,286.7070304097277,288.41451017908395,historical
1976,286.75312405353304,288.48028042020746,historical
1977,286.7606027509334,288.4781347154955,historical
1978,286.7989388422318,288.47920448304563,historical
1979,286.86237635978904,288.7385552768375,historical
1980,286.84554436385434,288.6346522969206,historical
1981,286.81171883369194,288.4765114018376,historical
1982,286.9224726724515,288.6649572721068,historical
