horizon,rhat,ess,sd_medians,mean_sd_wc,n_chains,n_per_chain,niter,gis_shape
2100,1.0026425340062934,1503.060604948144,3.612788273640465,17.53672741309606,4,400,2000000,true
2150,1.0028022289274965,1447.9697113456305,4.535013130968587,38.00977531721415,4,400,2000000,true
