metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi
total@2050,0.0020170601073711937,0.001546963212851793,0.0030172259201894035,0.0020106834092683103,0.0015303444333774508,0.002959372902631685
total@2100,0.005903771307582417,0.0031984689950725455,0.037932797551461304,0.005815099234136057,0.0031456690911092267,0.03790435166036303
total@2150,0.016551135901836746,0.00429050560154991,0.07596201370982811,0.016448341455307512,0.004213488041862945,0.07543595608983367
total@2300,0.024961790201814438,0.006504887901496659,0.21636342569734665,0.02493632089059474,0.006371608320149847,0.21496920517075183
ais@2100,0.0014587109561259304,0.00045651146924674535,0.03405909555963547,0.0014158819234288522,0.00043644160994888993,0.034043000399287496
gsic@2100,0.00030816390843568797,0.00019030619676172478,0.0005748968716296155,0.00030653710295336367,0.00019037073240193436,0.0005217485534480204
gis@2100,0.0005274915175501604,0.00019934372792462796,0.001162055186973987,0.0005150589298796859,0.00019251742938486416,0.0011632573519637646
te@2100,0.0027110638893681482,0.0017657892245123818,0.0038526298228724444,0.0027116272090651704,0.001761046398924293,0.0038593254041586534
ais@2150,0.01120358516546105,0.0007900383806491718,0.07097380655779303,0.011121621063931997,0.0007570028833214337,0.07042652339054882
gsic@2150,0.0003059752484743328,0.00015689640529821248,0.0006380604447231875,0.00030142038693892204,0.00015575910128156066,0.0005606762084021
gis@2150,0.0008779965002858603,0.00032463051643283336,0.0020363742269147167,0.00085851381219193,0.0003130920012406335,0.00204400569643326
te@2150,0.003619237942300302,0.0021341534511350345,0.00536769263411685,0.003618391067726279,0.002130306208970012,0.005377781749532318
ais@2300,0.01661029369963103,0.0016725344562420474,0.2089807125359215,0.01663273087249024,0.0016106550700699883,0.20754192088787704
gsic@2300,0.0003093180547354635,9.911808730773685e-5,0.0007225847632810201,0.0003015335419526366,9.709928203101015e-5,0.00062968003596513
gis@2300,0.0017960856815424364,0.000641963383927191,0.004513910801469479,0.0017606512614953829,0.000617442763024556,0.004545915842095382
te@2300,0.005142240840523726,0.002558217430200216,0.008537978450274153,0.0051391358769180325,0.0025520747525149545,0.008545125212310012
