param,rhat
ais_ocean_temperature₀,1.0136457288784977
antarctic_alpha,1.0584058021751732
antarctic_nu,1.0102283638360607
antarctic_temp_threshold,1.0001551611533208
anto_alpha,1.0235858195837684
anto_beta,1.0381783937820783
greenland_a,1.0005609614582016
greenland_b,1.0004769524750887
greenland_alpha,1.0015333900655181
greenland_beta,1.00071505159613
greenland_v0,1.0000590091444421
thermal_alpha,1.0039029963585109
gic_a,1.0229554644538905
gic_b,1.0441944964591872
gic_T_lia,1.0221277381877876
gic_f,1.0007182558941892
gic_tau_fast,1.000536518247295
gic_tau_slow,1.0279459921476646
antarctic_lambda,1.0000629371198029
antarctic_gamma,1.0000031308073276
antarctic_kappa,1.0020299457312392
ais_gmst_amp,1.0007134888655942
ais_mu,1.0116439093798213
ais_bedheight0,1.0001173009694089
ais_slope,1.0431310920102226
ais_iceflow0,1.1039485842364998
ais_precip0_LOG,1.0016452030488032
ais_runoff_Ton,1.0014092280021833
ais_c,1.0004793317379814
sd_ais,1.0002246875634564
rho_ais,1.000423310922768
sd_gsic,1.141730363335252
rho_gsic,1.44285815966331
sd_gis,1.0001464031584488
rho_gis,1.0005457811119831
sd_steric,1.0009941467561958
rho_steric,1.0369599078677463
sd_dang,1.0009024099240436
rho_dang,1.0031165661291457
fpc1,1.008112728235164
fpc2,1.0041198081436253
fpc3,1.0053757748014611
log_post,1.003987091814439
