ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,gis_c1,gis_c0,gis_f,gis_alpha_f,gis_beta_f,gis_slow_ell,gis_slow_w,gis_amp,gis_s_high,thermal_alpha,gic_a_R19,gic_b_R19,gic_T_off_R19,gic_log10_kappa_R19,gic_a_SLOWP,gic_b_SLOWP,gic_T_off_SLOWP,gic_log10_kappa_SLOWP,gic_a_FAST,gic_b_FAST,gic_T_off_FAST,gic_log10_kappa_FAST,gic_amp_R19,gic_amp_SLOWP,gic_amp_FAST,gic_u_unch,gic_u_pre,gic_s_r5,d2_steric_1,d2_steric_2,antarctic_lambda,antarctic_gamma,antarctic_kappa,ais_gmst_amp,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip_u,ais_runoff_Ton,ais_c,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric
0.0010453314209316106,0.00014234892626634597,-1.2948738944833306e-6,0.0002951885020249297,3.7782274229634892e-6,0.0010711960242544376,-4.285324135565266e-6,9.71699082465106e-6,1.7252737967770853e-5,-3.047396627513186e-7,-2.9156711879020655e-7,0.00012889804735114895,-5.7310417976296286e-5,8.611962255804558e-5,5.194766763666077e-5,6.678336269806861e-6,-1.3567645186351355e-5,-4.886872684895848e-5,8.377686230278693e-5,-6.461631324334898e-5,2.3026301004134225e-5,-4.52311845766727e-5,-0.0003383351153174913,-6.03953891628708e-5,1.4271215383586801e-5,-2.2909053179983512e-5,-0.00010834239468141368,-7.976327480287367e-5,2.7796879264450233e-5,8.206960719046484e-5,-1.3326795107876121e-5,0.003754249132666588,-0.0022367912085098527,0.00015549357232406302,8.30733799508097e-5,-4.005265076660859e-5,-3.3358405755157387e-6,0.0001373915648776567,-9.818603424874423e-8,0.00016722925986622388,-0.0003569833211729176,-0.0038430778549834316,1.3035213547994702e-8,6.453614375681904e-5,0.00020024242735559758,0.0001968059936921893,2.1951577958361516e-6,8.803214085549713e-8,3.183750892693334e-5,-1.016863206061185e-6,8.121040155944953e-5,-1.0830046920012934e-7,4.6015812264465655e-6,-7.235896471889719e-7,-6.57698521931993e-6
0.00014234892626634597,3.410200100203438e-5,-4.7273594569189465e-8,9.694847498309273e-5,-3.991231407380045e-6,0.0001490273916616581,1.0467439948974517e-7,1.8869645210104982e-7,1.4148785762668603e-6,-1.0733061308488262e-7,5.4270743266267954e-8,4.0545171248141846e-5,-3.1010180719502286e-5,2.705077023427433e-5,4.260759567103136e-6,2.1890082238446693e-6,-3.6025945766041783e-6,-1.4709356643299556e-5,7.032328963751054e-6,8.604186688081904e-6,4.378960214759094e-6,-1.0980125354166707e-5,-8.304602424050556e-5,-5.061556690258158e-6,4.504600678513867e-6,-4.257889757030074e-6,-4.0269376903643756e-5,-3.908621991047587e-5,3.644309632121601e-6,-9.446645803637144e-6,-1.0752596766936433e-6,0.0004975918659725561,-0.0007659317752568916,-2.373477490446304e-5,2.5379154323705838e-5,-6.71787658911901e-6,-8.813518357592041e-7,2.7626889890558136e-5,-8.100570075856993e-7,1.2018553492465735e-5,-9.588219295801377e-5,0.000516691019206501,1.5430629193263205e-10,6.646724219780089e-6,5.710481397471468e-6,3.599548271222638e-5,-0.0010153096394993648,5.569650564978168e-8,1.380864620918075e-5,-5.249845864294213e-7,-4.4950685641779195e-6,-3.262850147199778e-7,3.0655414023042635e-7,3.991854937291619e-8,-2.1220367330952293e-6
-1.2948738944833306e-6,-4.7273594569189465e-8,5.921686328856611e-8,-4.0232154995924123e-7,-4.748624011931655e-7,3.2938651563825085e-8,1.749872695675925e-9,1.5764614727220453e-8,4.470697996384703e-7,-3.0287858724921197e-9,-3.913306155630469e-10,-2.1262374019262794e-7,-4.366299237114564e-7,3.1356196366507067e-7,-1.0051125053888671e-7,-5.150734887214605e-9,2.6758938355724266e-8,1.3398092883975146e-6,-1.1026744021049137e-6,1.0056845735988858e-6,-1.1440620833644828e-8,-1.231717779130809e-7,2.1865216941580787e-6,3.8617525497344014e-7,7.295241431632912e-8,-1.7101858084538691e-7,-8.01259431155462e-7,2.726659373471697e-7,-2.4690852198223995e-8,1.6201214742326873e-6,4.682019896947805e-7,-3.0606887776458153e-7,-7.213888823960711e-6,1.2039665553802645e-5,1.0716481996605964e-7,-2.740188968858768e-7,-1.378182050595438e-8,4.493683898772095e-6,4.365299587210701e-8,-2.7350254046708754e-7,1.0658230189606419e-5,-3.8510741695386886e-5,-8.649209640339141e-11,-1.562399713093092e-7,-1.9508074335229815e-7,-6.603518917820256e-7,-0.00014123544773527748,1.1680067354922886e-8,-3.9640574062788026e-7,6.79986508730882e-9,-9.09025019858718e-7,-8.547362595594188e-9,-1.7877255241546285e-8,-4.552405708775624e-8,-1.51371834199408e-7
0.0002951885020249297,9.694847498309273e-5,-4.0232154995924123e-7,0.015573875271986767,-7.006841619171291e-5,0.00036293040136698714,2.268725927015019e-6,-1.5671834947019882e-5,2.7980929588218796e-5,-3.2429631640540033e-7,2.107820022597353e-7,-0.0001348612910143901,2.3367543207228593e-5,0.00022656210991328174,0.00017613123221783255,-1.1357461822711542e-5,-6.259708486616805e-5,-0.0006613417375511418,-0.0012829776164094225,-0.00043302275931468576,-0.00010823831542123948,5.297810054321061e-5,-0.0009667067653702415,0.00025657447520201226,5.426398068485821e-5,-7.803912442425636e-5,0.0003553902486635604,-0.00018066473693671546,5.945918810398208e-5,-0.0011147247191858995,4.1163502931198246e-5,-0.0014916947278392275,-0.005467138333597121,0.005391767231924268,-0.00018014035111533634,3.2716211709583075e-5,5.907379673139113e-6,-0.0016497775808815493,-2.640540913880342e-5,-0.00022421117909900306,-0.0007783581782519727,-0.04652064672193872,-3.6377791628641006e-8,-5.4110108661513945e-5,-0.00016212804927383958,5.6421028254375586e-5,-0.0017707242116422781,-1.8741033248790044e-6,-3.9509754273769376e-5,2.8432803153251597e-6,-1.63552783514764e-5,-3.669179528255371e-6,-3.0704927516062005e-5,-1.546096581425731e-5,1.1591658318378297e-5
3.7782274229634892e-6,-3.991231407380045e-6,-4.748624011931655e-7,-7.006841619171291e-5,0.00014559532207909627,-8.172281110969052e-5,-1.6098393585786087e-7,-3.960490538006504e-6,-5.802989911007979e-6,-4.1805432677588435e-8,1.6807243100069258e-7,1.0608917011802342e-6,-1.1618466978783136e-5,1.684138656442512e-5,1.6779511327958625e-5,1.2253110089816759e-6,-7.971767584160956e-6,4.407763626299881e-5,4.461729036907882e-6,2.8261557013328642e-5,-6.7225839032616675e-6,1.1184634264625982e-5,-0.0002959672667986723,-5.0445254898122265e-5,-1.3387013364092384e-6,8.062165463461765e-7,-2.984162572705096e-5,1.7676372565667897e-5,1.1421331218511005e-5,-4.63681029080497e-5,-1.7120273772433345e-5,0.00022417361147716449,0.00038001096621733023,-4.120223416243646e-5,-1.1033292178562036e-5,1.8704074583374262e-5,3.631014727610247e-8,-2.5117352439380354e-5,5.936801428834331e-6,0.00014565291556419853,0.00019639593312392818,0.00012142258780633383,-2.8146962191648474e-9,-1.2360528955477692e-6,-3.264161808673789e-5,9.874181505937586e-5,0.0007581492946661407,1.597046109233009e-7,-1.6148517846816272e-5,2.8791785408365223e-8,3.179746765438304e-5,-9.128834585438712e-8,3.326997104902961e-6,7.510077976480921e-7,-1.7745885019992901e-6
0.0010711960242544376,0.0001490273916616581,3.2938651563825085e-8,0.00036293040136698714,-8.172281110969052e-5,0.0013140922745350093,-6.162216636496847e-6,1.985700075400411e-5,2.4310307999354465e-5,-2.18333847355755e-7,-4.871225997726629e-7,0.00010972615183719245,-1.318024482457193e-5,7.677720665112835e-5,2.5440621041518478e-5,7.380226253178964e-6,-1.3440681041021312e-5,-5.1084921185618157e-5,5.473833138273872e-5,-6.170805998483973e-5,2.793423296039883e-5,-5.177078740582437e-5,0.0001742754272174256,-2.2451581805455973e-6,1.6633469243836575e-5,-1.4773164789539725e-5,-4.266664324316166e-5,-9.788355193962241e-5,-4.8893651914338786e-8,3.2365496327559467e-6,-8.2387302495832e-6,0.005865487347664806,-0.002380956575861405,0.0003909965325352086,0.0001547011287412858,-7.804330446032212e-5,-2.509008027761853e-6,0.0004940552862540708,1.2641231169091263e-6,5.002863527444872e-5,-0.0006014876713487983,-0.005922245555271737,9.686015257084273e-9,6.291001304082361e-5,0.00024989446105639273,1.9756142902686326e-5,-0.0029926659384308853,3.615964700620752e-8,2.4950797706098327e-5,-1.0347675103573508e-6,5.911528650677793e-5,1.2288659985956272e-7,8.413950506732318e-7,-2.434557035765611e-6,-8.228563485403286e-6
-4.285324135565266e-6,1.0467439948974517e-7,1.749872695675925e-9,2.268725927015019e-6,-1.6098393585786087e-7,-6.162216636496847e-6,1.453204451282596e-6,-2.0447982370825096e-6,-3.18446958734993e-6,-6.252847513330526e-8,5.696902695074798e-8,-2.066964418036307e-5,-9.760154545700213e-6,2.7420866687711205e-6,7.770206805976642e-6,-3.165784434990537e-8,2.2061413773379816e-7,2.884937266700676e-6,7.609943986521799e-6,-1.6587955207390593e-6,9.848676817158833e-7,-2.0455564099715007e-6,-1.895659242723114e-5,-4.630215803966002e-6,8.004700303016167e-7,-9.120370165907147e-7,2.5726584483779444e-6,-9.539958129847763e-7,8.120510044581679e-7,2.000463758711433e-5,1.561212992612954e-6,-0.0002021645257317652,2.1611751078080308e-5,1.285681173162138e-5,4.469951308915068e-6,6.417305467406328e-7,-1.257166672549991e-7,2.251830788902486e-5,8.118880433042772e-8,-3.51052288866729e-6,2.1631066572632254e-5,0.0002673687810508019,8.688226940214653e-11,-1.466499352915635e-6,-2.8766983069822896e-6,-1.777715311922036e-6,0.0001838985418170018,2.0026307544726685e-8,1.320256198457584e-6,2.768653755965022e-8,-3.67188526663142e-6,3.2657496699129932e-9,-2.3862088542522725e-7,-7.57141225929853e-9,1.0508710763757706e-6
9.71699082465106e-6,1.8869645210104982e-7,1.5764614727220453e-8,-1.5671834947019882e-5,-3.960490538006504e-6,1.985700075400411e-5,-2.0447982370825096e-6,7.952165201630653e-6,6.216730830357744e-8,1.8468944525667552e-8,-9.012415728145969e-8,-2.7582286443691033e-5,5.004283116853596e-6,9.545422428587096e-6,-1.5243898947117397e-5,-4.514389787393748e-7,-2.6786194629444335e-7,7.377388211182703e-6,-2.5526811099617882e-5,-8.38939382173925e-6,-5.865205766763411e-7,3.5061458767564167e-6,6.477287401828214e-5,5.278845503110403e-6,-2.8493216847283254e-6,7.855606831532632e-6,2.8527791559756245e-5,4.311795530879905e-6,-3.0409354513752894e-7,-1.141609909517696e-5,4.153244743459146e-6,0.00031269519983876195,-0.0005077140053667563,1.1370442846756188e-5,-1.7040738602291086e-5,4.125386786134694e-6,-1.1945529075139078e-7,-0.0001108651185597187,1.6730172619429955e-7,-5.96193375763974e-6,5.553016415155069e-6,0.0009738829639116144,7.732703116323915e-10,4.084945150860471e-6,1.0115253268783449e-5,-1.260728818053092e-5,-0.0001962873633997173,-1.7701614088210732e-7,-3.730990021699016e-6,-7.434755010735357e-8,1.2701771970395046e-5,4.847853712478064e-8,7.933528454697781e-7,1.0969081432873784e-7,1.0754423612903453e-7
1.7252737967770853e-5,1.4148785762668603e-6,4.470697996384703e-7,2.7980929588218796e-5,-5.802989911007979e-6,2.4310307999354465e-5,-3.18446958734993e-6,6.216730830357744e-8,0.00018623427751900985,-2.0673956481539237e-7,-3.788957589746993e-7,-1.6826347418212286e-5,0.00012412029883039378,3.1224530866276656e-5,-7.494387011768686e-5,1.8038300750664691e-6,1.8467836041054304e-7,5.643835389887305e-5,0.00015549162632894084,6.301410502420029e-5,-9.718061741406933e-6,-3.3115875631140637e-7,-0.0001292199388617899,-5.784447982878555e-6,7.508625518629888e-6,-1.2875506325251167e-5,-4.098580538103068e-5,1.0087135217594118e-6,-1.3589764434099667e-6,1.2922424524346938e-5,1.2867133690292497e-5,-0.0006360660285510196,0.00021248125364012804,-0.0003669808348065345,-6.7159765007243415e-6,5.779014881451425e-6,1.329274103645525e-7,-0.00026907693033200657,-3.93318639356e-6,4.5856937391476815e-5,2.034235576087249e-5,-0.005352243614879183,-2.4277164558050457e-9,-3.18064327526778e-6,9.463013583432365e-7,5.622391162119834e-5,-0.0031249833070277873,-5.988193179670357e-7,-9.288252760230386e-6,-2.324217073951174e-7,-6.273433075429999e-5,2.3818658941402592e-7,-3.7817656626294455e-6,4.0091887205950587e-7,-7.5160393739018674e-6
-3.047396627513186e-7,-1.0733061308488262e-7,-3.0287858724921197e-9,-3.2429631640540033e-7,-4.1805432677588435e-8,-2.18333847355755e-7,-6.252847513330526e-8,1.8468944525667552e-8,-2.0673956481539237e-7,1.9856499779186372e-8,-2.3486905401601074e-8,9.89405281008763e-7,2.1381271065135677e-6,-9.322611369270024e-8,-8.986245538927506e-7,-1.7770634652773703e-9,8.472961631286366e-10,-3.670096644874886e-7,-4.2582646862525663e-7,7.489475693663993e-8,-3.383388692719004e-9,3.3658362045713414e-8,1.8828886520041491e-6,2.03348649781418e-7,-3.3430304488291723e-8,4.736120620495607e-8,-8.110277044638149e-8,1.2207241558483091e-7,-6.89579306988767e-8,-1.0645229804814462e-6,-2.3027301681053408e-7,1.8925632923818634e-7,-2.6994952482266053e-6,1.236732468401711e-6,2.3993258248018458e-8,-1.2071807033333123e-7,6.224023175950061e-9,2.5643946114311703e-6,-1.1066736369523005e-9,-2.5628225640509578e-8,-4.045401444492624e-6,-7.391980107019783e-6,-3.5522350162140266e-12,2.7198427335051744e-8,6.882023425605506e-8,1.6811832979457043e-7,1.5112710240326794e-5,-2.666838062026514e-9,-2.5210821433777688e-8,-1.1199365240312395e-9,1.4728732756307056e-7,-2.7635944761267455e-10,8.430385709859493e-10,-1.3195383067188824e-8,3.110420340813007e-8
