param,group,scale,sign,rhat,ess,converged,med_spread_sd,med_spread_ratio,med_seed2026,med_seed2027,med_seed2028,med_seed2029
ais_mu,geometry,linear,+,1.089478788950451,66.65062409959965,false,0.8489714347707952,1.1084743044974452,10.378094687872814,11.232291720176265,10.702542841493024,11.503851291148449
ais_bedheight0,geometry,linear,+,1.0218841790775788,247.08675671474913,true,0.5306787764198956,1.0125890692031456,783.9333759223045,780.7738230181441,777.4788454172433,774.1870811811339
ais_slope,geometry,linear,+,1.7500864470609023,14.15879972041186,false,2.2080573530177303,1.0741216235887925,0.0006214457342709555,0.0006582334670436618,0.0006204066570666925,0.0006663922057737709
ais_iceflow0,geometry,linear,+,2.243760868440951,12.026891691581879,false,3.5563147205161774,1.637963681595578,1.140237718295632,0.8370321469210549,0.8617667450526043,0.6961312580416315
ais_precip0_LOG,geometry,log,+,1.016983365184822,348.0045472289443,true,0.44306679812839533,1.098554596248273,-0.5968831490799845,-0.6446990038926577,-0.5647575156210719,-0.6587528279552533
ais_runoff_Ton,geometry,linear,-,1.092065798536012,58.961940030302515,false,0.8837753438706074,1.0042967978513198,-17.821692071237013,-17.863383013911168,-17.801777577526245,-17.878268217171033
ais_c,geometry,linear,+,1.0034309932832135,2651.9654123015957,true,0.16325956426321614,1.034434346916001,88.41089621235292,90.29472590176908,88.40514250546914,91.44931585166097
antarctic_alpha,dynamics,linear,+,1.7770314102502796,13.338490054932677,false,3.444951957435089,4.842125217991486,0.3084010932700457,0.18899950723639766,0.5051786632035504,0.1043299461415206
antarctic_nu,dynamics,linear,+,1.0807112095878622,63.78573621693968,false,0.5248294612060206,1.1355963940552127,0.010013829659847978,0.008818123861849023,0.009508786818874397,0.008924942963747224
antarctic_lambda,dynamics,linear,+,1.0001509663536565,7835.84107824725,true,0.04534446573310698,1.0143166029497461,0.010509784368564283,0.010490049658081866,0.010581053452416306,0.010431706847394018
antarctic_gamma,dynamics,linear,+,1.0009667497151906,8090.452411385852,true,0.11546505665973661,1.0335414664480924,2.7327243280204607,2.7836702013547736,2.7525926677986097,2.6933318998039235
antarctic_kappa,dynamics,linear,+,1.0168269923013997,314.71188695325145,true,0.47393857980708903,1.0954869321656449,0.05988132538091782,0.057635819962841534,0.06188080708644915,0.056487033546003415
antarctic_temp_threshold,dynamics,linear,-,1.0018330619682616,6691.695515488218,true,0.11844226753599457,1.0029830556834427,-15.556042716351921,-15.58900559600837,-15.602447257988812,-15.585538762973218
ais_ocean_temperature₀,ocean,linear,+,1.1234398018630132,42.169470189554,false,1.0323106493086378,1.3952122827285731,0.9754522352312058,1.1265945302544045,0.8074717691354887,0.9301428822470252
anto_alpha,ocean,linear,+,1.0718593650492203,55.29518319706721,false,0.7745707493454179,1.4573034910416842,0.30989320805044823,0.3217417831397583,0.22077884607946452,0.31592863838636054
anto_beta,ocean,linear,+,1.169349193529059,32.49108403925063,false,1.0499266955262614,1.5727034940914342,0.8360239143073164,0.724457547023328,1.1393569155244974,1.0656669308633686
ais_gmst_amp,driver,linear,+,1.006532464170589,2611.7707242186993,true,0.20001930501384038,1.0206256423864857,0.9460563067137773,0.9384387148824073,0.9543420345583131,0.9350559058332255
sd_ais,noise,linear,+,1.0111061929911929,1240.8800527509654,true,0.3178098384228042,1.1944246806204493,0.013939447651689854,0.014227232057059211,0.013159538692151392,0.01571807779948537
rho_ais,noise,linear,+,1.2569906371756103,23.082318903473702,false,1.147379692123723,1.521009395992507,0.7555777909627482,0.5677712731088527,0.5134444507583809,0.7809538339237094
