metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi
total@2050,0.0002449318306076975,0.0001841491839460474,0.000387214578182693,0.0002439265510005839,0.0001829131055224309,0.000380968073891097
total@2100,0.0003598610750046305,0.00019568279288151302,0.0024621708428469447,0.000354966227199327,0.00019295703983601697,0.0024579470021990346
total@2150,0.0006435449071489074,0.00016961252784852832,0.0025163737751938697,0.0006342651863917581,0.00016633412288769023,0.002511576732786125
total@2300,0.0007022170107120473,0.000124615061622535,0.0025316912563653204,0.0006946566881538274,0.00012150696097990021,0.0025223006427950168
ais@2100,9.535468531396418e-5,3.064575460065555e-5,0.0022183639646016218,9.310616068169963e-5,2.9284922519856593e-5,0.0022161983681527886
gsic@2100,2.2135518046084712e-5,1.4766602185467548e-5,4.0101641280543276e-5,2.1921212501219145e-5,1.4740959294989864e-5,3.6576777002750305e-5
gis@2100,3.697192347829059e-5,1.4075115295497653e-5,8.108803184470048e-5,3.610121330765992e-5,1.3589276637304692e-5,8.12675065020585e-5
te@2100,0.00014864750986021136,9.80863199462334e-5,0.0002175062877860512,0.000148645904747724,9.77795843297713e-5,0.00021756894377134017
ais@2150,0.00045499055759989915,3.512199461219723e-5,0.002307867360087812,0.0004474568626946507,3.3630687501506884e-5,0.0023045700681443293
gsic@2150,1.3107325308681084e-5,8.316390777807214e-6,2.614202435680113e-5,1.2786079370386005e-5,8.23673283179005e-6,2.314617278287301e-5
gis@2150,4.054036031320152e-5,1.5320612245517395e-5,9.206636528702461e-5,3.962355501485604e-5,1.4787999713661293e-5,9.256361677145719e-5
te@2150,0.00012189309398635828,6.850085913967519e-5,0.00018876089156094622,0.00012191859014620832,6.837630918710147e-5,0.00018895581787603533
ais@2300,0.0005678099628596556,4.029427294938159e-5,0.0023798223056701318,0.0005609159359210025,3.86294193290837e-5,0.0023705466066417102
gsic@2300,5.077703614020379e-6,2.6183156247583383e-6,1.1311505218714046e-5,4.857377190248258e-6,2.550073446627721e-6,9.8557170549185e-6
gis@2300,4.281643803949464e-5,1.6070780972654575e-5,0.00010349011514421136,4.198592753468233e-5,1.5500122430012198e-5,0.00010454389887115667
te@2300,7.265014255608548e-5,2.3056757726180876e-5,0.00013349338182422343,7.272245232314845e-5,2.3069058478597526e-5,0.00013360820092600534
