index,param
1,ais_ocean_temperature₀
2,antarctic_alpha
3,antarctic_nu
4,antarctic_temp_threshold
5,anto_alpha
6,anto_beta
7,gis_c1
8,gis_c0
9,gis_f
10,gis_alpha_f
11,gis_beta_f
12,gis_slow_ell
13,gis_slow_w
14,gis_amp
15,gis_s_high
16,thermal_alpha
17,gic_a_R19
18,gic_b_R19
19,gic_T_off_R19
20,gic_log10_kappa_R19
21,gic_a_SLOWP
22,gic_b_SLOWP
23,gic_T_off_SLOWP
24,gic_log10_kappa_SLOWP
25,gic_a_FAST
26,gic_b_FAST
27,gic_T_off_FAST
28,gic_log10_kappa_FAST
29,gic_amp_R19
30,gic_amp_SLOWP
31,gic_amp_FAST
32,gic_u_unch
33,gic_delta
34,gic_u_pre
35,gic_s_r5
36,d2_gsic_1
37,d2_gsic_2
38,d2_steric_1
39,d2_steric_2
40,antarctic_lambda
41,antarctic_gamma
42,antarctic_kappa
43,ais_gmst_amp
44,ais_mu
45,ais_bedheight0
46,ais_slope
47,ais_iceflow0
48,ais_precip0_LOG
49,ais_runoff_Ton
50,ais_c
51,sd_ais
52,rho_ais
53,sd_gsic
54,rho_gsic
55,sd_gis
56,rho_gis
57,sd_steric
58,rho_steric
