x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.004670923593375849,0.00021520293351544269,-1.1301663953420624e-6,0.00015752148682203222,0.00045389523009971527,0.004251362284078763,2.668270201483154e-5,-2.9768396874936178e-5,-1.2225876441010874e-7,-6.244213320050823e-8,0.00014440582886298827,-4.1741360126709963e-7,1.2512899749978212e-6,-7.35944319493701e-5,-1.626959306526952e-5,-6.634853242390295e-5,0.011026666263378507,0.03293873613910677,-1.5989837799050294e-5,3.982602413575654e-6,-4.090896872083479e-6,8.468861644658471e-6,5.404198975436067e-6,-1.145054511212496e-5,-1.3129826491600362e-5,1.0957778307832192e-5,-0.00011912984130450567,7.466492109958544e-5
0.00021520293351544269,3.769867939272473e-5,-4.6060982398828555e-10,-2.0880769274663085e-5,-1.1115430222097496e-5,0.00022098640218037893,3.6048736218881982e-6,-9.237019042573492e-6,-9.834379284275411e-9,-1.4448860622058109e-8,1.0763111948698765e-5,2.076371790589667e-7,2.1471608137674552e-7,-6.819450439181797e-6,4.1954250656968e-8,-9.00027424946505e-6,0.0012763228937074903,-0.002599275263303015,-1.311665556794352e-6,1.293493045041215e-6,-3.5147474387033e-7,1.7758008808345547e-6,-3.3648946122078334e-7,-8.8348786635665e-7,-5.955656489188294e-7,4.902378682284171e-6,-6.562361264108617e-6,8.897206532096572e-6
-1.1301663953420624e-6,-4.6060982398828555e-10,2.8277962116654494e-8,-2.819697737539839e-7,-1.0541557785503341e-6,-7.297752906919009e-7,1.8881141058024916e-7,1.5065729677331264e-7,-1.3406637702005813e-10,2.627573008386281e-10,-5.860004383311571e-9,-2.027083235396993e-8,9.837982380036017e-8,1.4142790418143015e-7,-8.54540450356677e-8,-3.0418468152183604e-7,5.740894160231622e-6,-0.0002296809758620048,3.689793315107279e-8,1.8918477037141306e-9,-8.546953981051609e-8,1.722666985976746e-8,5.086890230414736e-9,7.989472084141622e-9,-2.7708170370608265e-8,7.954813585977e-8,1.465721202024943e-7,-4.59740546023742e-8
0.00015752148682203222,-2.0880769274663085e-5,-2.819697737539839e-7,0.014774766084289605,8.008249360776075e-5,0.00010926726993039772,6.114621214178527e-5,0.0005024768889833433,-5.423317723192168e-8,2.648271568371823e-7,0.00013276249434406907,3.687744544642587e-6,-1.98926769000102e-6,0.00011532958412736352,-6.269591902096368e-5,-5.736020244204592e-5,-0.020014750899449166,-0.3556684093493881,1.1314795690596763e-5,2.3912725738615437e-6,-2.811827593273338e-5,1.050689716402915e-5,2.3280254222383756e-5,-1.771025432183131e-5,4.212747723513678e-5,-9.342592320165313e-5,-0.00026255073572930974,3.8635924136321394e-5
0.00045389523009971527,-1.1115430222097496e-5,-1.0541557785503341e-6,8.008249360776075e-5,0.00013533038302215904,0.0003660722508740615,-1.0385141353124086e-6,-8.5701755301122e-6,-1.7711657617748698e-9,-4.605945538704787e-9,2.868670883982464e-6,8.834092178837221e-8,-4.205905957637547e-7,-5.941636302925963e-6,7.772425028918033e-8,6.771804686155572e-6,5.632049205275652e-6,0.03188967023025855,-2.0641784785495352e-6,-7.037094375884256e-7,1.8252804966615788e-6,-7.726749282478556e-7,1.4350451178507016e-6,-1.2223158951492808e-6,-7.949752499498653e-7,-4.118794755436349e-6,-1.1848358584653399e-5,1.7563836838208378e-6
0.004251362284078763,0.00022098640218037893,-7.297752906919009e-7,0.00010926726993039772,0.0003660722508740615,0.0038995017382211995,2.729451077315226e-5,-3.022575577045484e-5,-1.1673542888489718e-7,-6.429952185904075e-8,0.00013723513271570242,-4.2388791849402756e-7,1.197351394499006e-6,-6.985331349680909e-5,-1.4786826912923903e-5,-6.812936151953242e-5,0.010805620538022299,0.018451975462329292,-1.478888279743201e-5,4.591152856946322e-6,-4.684881939752151e-6,8.996276038616088e-6,4.218827050522056e-6,-1.0659194191826017e-5,-1.2171620721220393e-5,1.4225686850750619e-5,-0.00010779702306199146,7.21039757693911e-5
2.668270201483154e-5,3.6048736218881982e-6,1.8881141058024916e-7,6.114621214178527e-5,-1.0385141353124086e-6,2.729451077315226e-5,0.0002302536542785198,-7.89148197063347e-5,2.428375745512483e-8,1.620660526882985e-8,-2.2149599517923045e-5,1.259255134836356e-6,-2.277175237675875e-6,6.970521831570259e-6,-7.040837944707264e-6,1.2847901823305043e-5,-0.0015258737188015362,-0.0012032410992169854,-2.5200671369322757e-7,-1.2701493800569324e-6,-2.3742832528842275e-6,1.2648722516407226e-6,-1.5155665686669294e-6,-6.087125202871957e-7,-2.2750197907366445e-6,3.97928391641139e-6,1.2188436428439251e-5,-2.8798331057614517e-5
-2.9768396874936178e-5,-9.237019042573492e-6,1.5065729677331264e-7,0.0005024768889833433,-8.5701755301122e-6,-3.022575577045484e-5,-7.89148197063347e-5,0.001423191444308864,3.449335906242385e-8,3.23333087086989e-7,0.0009289503588486594,8.859628177776151e-6,-5.225962616536344e-6,4.363069740825124e-5,3.470126405000499e-5,3.716868631101258e-5,0.000257724642822203,0.0799530010977325,-6.638265147194255e-7,-3.926054460528969e-6,-7.151351272795229e-6,6.068064862465371e-6,-7.736861732158553e-6,1.8192197572424686e-6,1.0170474077949238e-5,8.326691150911892e-7,8.191138886067453e-5,1.7565182340736235e-5
-1.2225876441010874e-7,-9.834379284275411e-9,-1.3406637702005813e-10,-5.423317723192168e-8,-1.7711657617748698e-9,-1.1673542888489718e-7,2.428375745512483e-8,3.449335906242385e-8,2.2999093649679035e-10,-4.318704791151156e-11,7.428472435841445e-9,7.871823945286687e-10,1.2094190963770691e-10,2.0318032147205036e-8,-7.744692999645181e-9,1.4957460108721944e-8,-2.622589942778544e-6,2.471946760150095e-5,1.5948805996274008e-9,1.4316090644209341e-9,-3.6960859339926412e-9,9.449658034994655e-10,2.2636077105254584e-9,7.047689771903426e-10,3.5184278859328633e-10,1.143124352576645e-9,-7.999438484155597e-9,1.0951386978509984e-8
-6.244213320050823e-8,-1.4448860622058109e-8,2.627573008386281e-10,2.648271568371823e-7,-4.605945538704787e-9,-6.429952185904075e-8,1.620660526882985e-8,3.23333087086989e-7,-4.318704791151156e-11,3.969499420902722e-10,-2.488243296983405e-8,-1.2022613525987802e-9,-1.891406762403072e-9,-3.3804986889663595e-9,1.4772671021831552e-8,1.0921997073007975e-9,1.087555404041886e-6,-1.1404098323107041e-5,4.118845093396145e-10,-3.2119405447298075e-9,5.666792326786497e-11,5.133846019555784e-10,3.925113792335643e-9,7.502750753047499e-10,1.0728357807976885e-9,1.3097352267667012e-8,-2.2198334126325266e-9,2.382897976239454e-9
