ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,gis_c1,gis_c0,gis_f,gis_alpha_f,gis_beta_f,gis_slow_ell,gis_slow_w,gis_amp,gis_s_high,thermal_alpha,gic_a_R19,gic_b_R19,gic_T_off_R19,gic_log10_kappa_R19,gic_a_SLOWP,gic_b_SLOWP,gic_T_off_SLOWP,gic_log10_kappa_SLOWP,gic_a_FAST,gic_b_FAST,gic_T_off_FAST,gic_log10_kappa_FAST,gic_amp_R19,gic_amp_SLOWP,gic_amp_FAST,gic_u_unch,gic_u_pre,gic_s_r5,d2_steric_1,d2_steric_2,obs_corr_log10L,antarctic_lambda,antarctic_gamma,antarctic_kappa,ais_gmst_amp,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip_u,ais_runoff_Ton,ais_c,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric
0.0011672489013652427,9.847341406333056e-5,-1.5319361397138908e-6,0.0006441851359204918,-2.8048384902180623e-5,0.0012287526663457905,2.5468521604885625e-6,-3.239788361981279e-6,6.661572768425499e-5,-1.1381722941334537e-6,-4.380891695083052e-8,-7.162685283464197e-5,-2.907751967609989e-5,-2.5229834244900894e-5,4.5241609632326245e-5,3.4090634314695994e-6,-6.989192465357577e-6,0.00016270227351682253,0.0003842131365651809,-4.936369392381872e-5,-8.550643717581736e-7,-1.4457726860453515e-5,-0.0003241973909773176,-0.00010221905750671891,3.206079564019314e-5,-3.153055153918385e-5,-7.903417254268721e-6,-0.00015320481357794608,-4.5069583462082487e-5,0.0001372245435840272,7.034541971019191e-5,0.0011107794669298647,0.0006459559900415442,-0.00011140283957869631,5.3631336926734595e-5,-8.578795297574364e-5,-1.0127252810436785e-6,-3.262025235160152e-6,0.0009660111770447835,-4.444628011635151e-6,9.267530019221226e-5,-5.689198709988397e-5,-0.001664179338276642,1.0853425917319349e-8,4.013820370191214e-6,0.00011343539163422009,3.782086423134319e-5,0.002360858868844569,-1.2142123811748923e-6,6.989727590055083e-6,1.7773364416028542e-6,0.00012848610379374194,1.2112945207326947e-6,9.811601824150126e-6,-2.2810875057937287e-6,-1.4649872186188492e-6
9.847341406333056e-5,1.5566284926401733e-5,-1.0681473570211916e-7,8.344798976548396e-5,-8.043035247072387e-6,0.00010880760956974763,4.7128546008037927e-7,-1.680460513464985e-7,4.7150623666863396e-7,-1.296747527837447e-7,9.45969789828215e-8,7.819440611968116e-7,-1.9497119391166712e-5,4.82292940135022e-6,5.298673394553679e-7,1.1826929409989624e-6,-2.872052127209644e-7,-1.4521826125779676e-5,5.4644815647488285e-5,-3.9905398219219595e-6,1.6754830683503647e-6,-1.1764518395295726e-5,-3.8861785773637515e-5,4.4696362723499235e-6,4.587086677957263e-6,5.872753666713694e-6,1.5277163192929195e-5,-3.331234288435939e-5,-3.681478097956791e-6,-9.988386931449771e-6,2.6090487582224867e-6,1.0638696154049387e-5,-0.0004416869994804121,8.998648689398044e-6,6.973335941219974e-6,-3.0808434536223754e-6,-3.3714219850381847e-7,-1.8484282056862263e-7,2.4293964301526697e-5,-5.330150058972721e-7,-1.6926786977324785e-6,-6.49161437787588e-5,0.00042158719391796194,3.031740843040565e-10,2.133300360035901e-6,6.16751376513789e-6,8.359219421940272e-6,9.446426674003616e-5,-3.365563692163882e-7,4.510485226337684e-6,7.927722806677444e-8,1.2308397503467237e-5,-2.7904191775963186e-7,7.422856116389248e-7,1.912741235273726e-7,-1.8013614055345643e-7
-1.5319361397138908e-6,-1.0681473570211916e-7,3.9685006524824734e-8,-2.311466004926998e-6,-5.827150970111709e-7,-1.2343335527438867e-6,-1.2659952893377427e-8,1.6298154778365258e-8,3.963325530412631e-7,-8.346021383344514e-10,3.6442757537364994e-9,-4.846092439147785e-7,-5.566023051601544e-8,-5.313041269945472e-7,-3.999796956016027e-7,5.2204364347957534e-8,7.9964192883712e-8,-1.344613924097369e-7,-4.854243186563708e-6,6.106454643724381e-8,-2.1232226710168312e-8,1.4058060786875502e-9,-1.2990191120786032e-6,-6.785022374876869e-7,1.1432643537965947e-7,-2.7546627768838596e-7,-5.66142998919301e-7,1.0834787331074171e-7,1.8495403277077053e-7,-6.895032836364967e-7,2.1615011791723828e-7,-2.7144750156191084e-5,-1.670170723793148e-5,6.403773747529975e-6,7.08508025784083e-7,-2.92749511359196e-7,1.1879840027190034e-8,1.2928103898504777e-8,-7.245800556902752e-6,2.5298324832911346e-8,-4.832481407063687e-7,2.4159322381334275e-6,-2.5922878086273286e-5,-5.34307355782495e-11,1.2390050894285406e-7,-2.0019619968731928e-7,-2.9081529456705064e-7,6.546823042158936e-6,-1.565031748587182e-8,-5.119019792630343e-7,-4.484332890858976e-9,1.1366472241818855e-7,-1.5682851618906435e-8,2.0257003398781565e-8,-3.446885023968632e-8,-5.2819381630646294e-8
0.0006441851359204918,8.344798976548396e-5,-2.311466004926998e-6,0.010749350173181071,-0.00011267071084106188,0.0006445082022596454,7.04006278702428e-6,-1.651979250905067e-6,0.0001197810482450922,-3.371544404977832e-6,5.395265491307897e-6,-0.0001719064597751447,0.00021289966919575836,0.00023365620836176044,0.0004125524184673162,-7.609025500908491e-6,-4.035018850789025e-6,-0.00047110237991837805,-0.001656961704795029,-0.0005036642363738773,-0.00011036521110577149,-1.2329649173399403e-5,-0.00032908136819517455,-0.000158092119349494,1.6589742929946932e-5,0.00014456133602203672,0.0012918746807016703,4.125803234848965e-6,0.00013518501406697416,-0.0007786872413584668,1.6829385359890748e-5,0.008973340915189133,-9.041933859157224e-5,0.007252690462223926,-4.443240747280567e-5,0.0002097625352891451,3.051083411572429e-6,4.062357180496485e-6,-0.004097907079794841,-2.4065046070454608e-5,-0.00015673759743114384,0.0008681437195469978,-0.01940882746618669,-6.584148537578375e-9,-2.2525261519296075e-5,-4.116933030698895e-5,1.771281340770408e-6,0.007552224218666698,1.489454909389591e-6,5.189528990205977e-6,-3.931014693213784e-6,9.170774526922912e-5,7.742680292956311e-6,-2.3475001038791974e-6,3.4045006193924257e-6,-1.5603146276851562e-5
-2.8048384902180623e-5,-8.043035247072387e-6,-5.827150970111709e-7,-0.00011267071084106188,8.063486348880791e-5,-6.468593978242043e-5,1.9151293036175198e-7,-9.203316744814901e-7,-4.309398779102751e-6,-4.7952562489284306e-8,-1.6198857022462698e-7,-4.663459015076449e-5,-6.0352922609779156e-6,-5.724791396800339e-6,3.603188817218609e-5,-9.558195183437202e-8,1.9533852984597006e-7,4.683725267366755e-5,-9.8798899995779e-5,1.722327929427472e-5,-2.95846953503468e-7,1.0270256090006494e-5,-5.8709130610203456e-5,-7.027569148878689e-6,-3.202822204688545e-6,6.937571746389198e-6,-1.2141915763809398e-5,2.0143496512450593e-5,5.841512155156977e-6,-7.473279844410731e-5,-2.8627046058630497e-6,-8.335371563631583e-5,0.00031155106413025566,0.00010270545824165128,-2.3822987897879823e-5,1.4617951965558434e-6,5.023831886076445e-7,6.124358730014202e-8,3.132651327321135e-5,2.238104600455963e-6,4.996290857694111e-5,7.456750315396011e-5,7.403805323973305e-5,-1.4550562199491582e-9,-4.388145179932173e-6,-9.159688193907367e-6,1.8948065922627734e-5,-0.00040931286422679224,8.463522567618075e-8,-2.2026252919209644e-6,-5.126365102334642e-7,-1.4153513728861463e-5,1.627752175784977e-8,-6.962068688532582e-7,2.5597860239024497e-7,5.823323304620488e-7
0.0012287526663457905,0.00010880760956974763,-1.2343335527438867e-6,0.0006445082022596454,-6.468593978242043e-5,0.0013789762632693617,1.8767291396184623e-6,-8.333471399124445e-7,7.151002306427404e-5,-1.1778715964110105e-6,3.8536367527775433e-7,-2.61366977439423e-5,-4.433740896270689e-5,-2.690696533048307e-5,-1.5565520490200674e-5,5.7757469985078336e-6,-1.1872682768703895e-5,0.00010957432491227412,0.0004975648931671842,-7.366916629834353e-5,1.7941838586452585e-6,-1.837121279214546e-5,-3.3723318013478536e-5,-6.678828409890599e-5,3.424880408846572e-5,-4.101815981977606e-6,4.876972212218926e-5,-0.00020348747091026513,-6.219851947757823e-5,8.255498771223443e-5,6.637043947281327e-5,0.0003161312491905634,0.002106738512992167,-0.00020828792792886475,6.354782219962354e-5,-6.97185371647778e-5,-1.7866574643138855e-6,-3.4263011506951988e-6,0.0011871761988367481,-4.29144468285538e-6,7.577745375442344e-5,-0.00018404536042365636,-0.002247000227797897,1.0187091319037598e-8,3.836385250373684e-6,0.00014053769880542912,-1.6220779804490814e-5,0.0026865826834281195,-6.150942322346699e-7,6.395502375596874e-6,1.8243540213298747e-6,0.00013023238969929072,4.1761323683375685e-7,1.371726969965836e-5,-2.2344391419453063e-6,-2.6978232133572955e-6
2.5468521604885625e-6,4.7128546008037927e-7,-1.2659952893377427e-8,7.04006278702428e-6,1.9151293036175198e-7,1.8767291396184623e-6,4.852804722604665e-7,-3.347163128815717e-7,2.139273563038682e-8,-6.355416146962577e-8,3.537533827519626e-9,-1.732277932728246e-5,-6.663829407216783e-6,2.38173715714481e-6,6.104762958866698e-6,-1.22807188693645e-7,-4.3173135925288764e-7,6.119847089320464e-6,1.0082235453961056e-5,-3.8013144002950475e-6,8.694162928682233e-7,-8.913051492862565e-7,-6.7658636661963024e-6,-3.8802557929255144e-6,7.110687624729109e-8,-9.462608218752596e-7,-1.0687427828897315e-5,1.165199829764957e-6,6.109609247592521e-7,3.4402204047507228e-6,3.8824694365590264e-7,-4.0531926506464745e-5,-0.00013730044954443136,-2.9704198367572093e-5,2.250021762451469e-6,2.208523033239268e-6,-5.388750156736168e-8,-3.8104893250791214e-8,3.7726345724417397e-6,-3.818241402855028e-8,7.823651027159284e-8,8.279324665671453e-6,-3.437360984749937e-5,1.4993052444809156e-10,-1.0202478704788814e-7,8.201777680985345e-7,1.574579985897019e-6,1.663230712298908e-5,2.607075439299281e-8,1.0339635286711795e-8,1.593314991011313e-8,-1.6160121589814725e-6,-4.9657301124192096e-8,-2.050116636638278e-7,1.8436647379059431e-7,-4.176071977311953e-8
-3.239788361981279e-6,-1.680460513464985e-7,1.6298154778365258e-8,-1.651979250905067e-6,-9.203316744814901e-7,-8.333471399124445e-7,-3.347163128815717e-7,1.235324332124886e-6,-2.6231333125705212e-6,-2.6134982049815245e-8,5.557615250621336e-8,6.347585220738316e-6,-3.914057116041792e-6,-6.016044080239854e-7,-4.430164668489776e-6,2.975968329609748e-7,-1.0443024436673256e-6,-1.499447526415747e-5,-2.203538366336659e-5,-1.1747275176067406e-6,2.8455435852423983e-7,4.917096754223837e-7,3.176184310058073e-5,4.217069587825547e-6,-6.40390049041997e-7,9.498086118785743e-7,9.09970784782895e-8,-4.112100503932599e-6,-3.969456232401249e-7,-3.6257135085053858e-6,-1.1574343838388903e-8,2.4965919812330183e-5,-7.2437806590203e-5,-1.7899872125748473e-5,-7.267135171339971e-6,-5.876465030194134e-7,3.064107238232292e-8,-7.294836985614827e-9,-5.674951752899829e-5,2.418306157716541e-7,-8.938451099230749e-7,6.494790018388289e-6,0.00013145776337060097,-8.177035825491726e-11,6.859769260822497e-7,6.661166847903148e-7,-4.468796892851132e-6,5.2555355590270185e-6,1.0787726530725995e-8,-1.131477954013097e-6,-1.248648449756198e-7,1.6210151659697296e-6,3.6852792846000135e-8,4.1735921644995935e-7,-9.367671319469423e-8,-6.154179224238561e-9
6.661572768425499e-5,4.7150623666863396e-7,3.963325530412631e-7,0.0001197810482450922,-4.309398779102751e-6,7.151002306427404e-5,2.139273563038682e-8,-2.6231333125705212e-6,0.00011660962382067106,-3.805392084261158e-8,-1.1981128061063068e-7,-0.0001558163823999209,6.323371442844359e-5,-1.802348621707137e-5,-4.371989163268195e-6,-2.435008672839859e-6,-5.5121258725866795e-6,5.4395705756178125e-5,0.0003905123020146193,1.4166973216343354e-5,-3.4855088813178007e-6,-1.4071732204569485e-5,-0.00020914130781252241,-5.0441147764387904e-5,8.299202319551401e-6,-2.4392818093008776e-6,6.771640823348333e-6,-1.012077503470759e-5,1.110929157251793e-5,9.112491566492957e-5,-1.5709992755345085e-5,-0.00033561251077905317,0.0009126239945679554,-0.0007050313920272394,7.925824451942791e-6,-1.3636626770727026e-5,4.7008619346122924e-7,-1.1080768712245163e-6,2.3257027347067127e-5,-1.3100109337045784e-6,2.5240592931894083e-5,6.360839851076295e-5,-0.0032717990028560237,1.7577597713553503e-10,-1.308712613097911e-6,1.273654448343301e-5,2.613102546929522e-5,-0.0005658365540901766,-1.3531459954899567e-8,-2.37959412207828e-5,-4.4784786909499604e-7,-9.945045970651878e-6,6.405087640807693e-7,4.039702170026328e-7,2.4103328114906876e-6,-5.107317472857121e-7
-1.1381722941334537e-6,-1.296747527837447e-7,-8.346021383344514e-10,-3.371544404977832e-6,-4.7952562489284306e-8,-1.1778715964110105e-6,-6.355416146962577e-8,-2.6134982049815245e-8,-3.805392084261158e-8,3.265875086080824e-8,-3.693472917172033e-8,7.134765009685613e-7,2.085689505286105e-6,1.8358572351683908e-7,-1.0245359709665458e-6,1.2697498690161148e-8,1.143833382668103e-7,7.052374400255017e-7,-3.086966277657393e-7,6.162168529612377e-7,-1.2127401694719913e-7,1.7803442376975929e-7,-2.791083935445035e-7,7.008690124786955e-8,-3.5705588334341894e-8,3.025155595522807e-7,1.3092628375997384e-6,-4.88763635451294e-8,-1.636860857256355e-7,2.1067799353044406e-7,3.090740757542579e-7,-5.567162002107815e-7,1.4538339149726397e-5,8.327301275308136e-6,2.8809538631059834e-7,-9.344317334137022e-8,1.1697467652016778e-9,2.5510723774239708e-9,6.671362216749882e-6,8.611206468991884e-9,-1.5994237337606558e-7,-2.252248274463802e-6,2.251088549232199e-5,-1.0884160223490231e-11,-7.175667882654161e-8,-3.095082844201155e-7,2.99855465146621e-7,-1.395803062096296e-6,-3.0071634484935557e-9,2.0627704508395695e-7,-4.197710331338124e-9,-7.168115036871829e-8,1.126501667610124e-8,-3.557107457957516e-8,-3.696404287170436e-8,5.308556412506318e-10
