metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,0.0002474581072426929,0.00018638278384486284,0.0003904772625702435,0.0002464522316998341,0.0001851417551890222,0.00038430202569728067,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2100,0.00037249816455897644,0.00020372350273589745,0.0025309141683749203,0.00036740753269981496,0.00020090140932182976,0.0025263025160313646,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2130,0.0006543826432334754,0.00018990314310229905,0.0025992205516729427,0.0006438215020949656,0.00018656386152571258,0.0025934903343056703,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2150,0.000699921187120367,0.0001816364275413207,0.0026261414888324452,0.0006904472494397851,0.000178125831858722,0.002619918905452323,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2180,0.0007404033515570063,0.00017125473843293548,0.002648981124536931,0.0007315227817059622,0.00016772700183764755,0.002643793470554101,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2300,0.0007921674911415266,0.00014439629529761078,0.0027441905959904034,0.0007842869312639777,0.00014090538620337156,0.002731952588362674,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
ais@2130,0.00044476241642854575,3.544307590797047e-5,0.0023671696848026613,0.000435933196570204,3.388681288907236e-5,0.0023625408448424423,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
gsic@2130,1.6742425772875436e-5,1.095968232256439e-5,3.228842829905432e-5,1.643808212836717e-5,1.0896222491396657e-5,2.8786594654661712e-5,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
gis@2130,4.1288765295632857e-5,1.5651564400087636e-5,9.248924293103755e-5,4.0315122706857665e-5,1.5101244255077972e-5,9.284899302741678e-5,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
te@2130,0.00013965200265531053,8.457021059626868e-5,0.00020996080147384077,0.00013966976731794034,8.43192442765428e-5,0.00021004350774234126,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical); wide-file suffix '_ch4foss1tg'","+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
