metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,0.0002470551939204313,0.00018615762299489802,0.0003839764374120591,0.0002462669839005116,0.0001850412765200815,0.00037811519018049466,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
total@2100,0.0003734515931981264,0.00020333376626524569,0.0024051912837563805,0.0003681797816739163,0.00020074308464756996,0.0024094464144610583,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
total@2130,0.0009415645573369602,0.00018917603402712757,0.0024777299566949296,0.0009263013106632911,0.00018614833957286692,0.002485629720695215,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
total@2150,0.0010207073059689264,0.00018075045542076396,0.002504884168843091,0.001006010954284875,0.00017770223929858275,0.0025120442502952756,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
total@2180,0.0010849236566912168,0.00017030089828296013,0.0025324713409702326,0.0010719186243477452,0.00016719319675218003,0.002540825675538372,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
total@2300,0.0010933659394254391,0.00014322661084520405,0.002546853102444402,0.0010818838762247651,0.00014014187068767114,0.00255513246580108,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
ais@2130,0.0007220082624428414,3.5006925758196417e-5,0.0022513755775577238,0.0007088559948300599,3.374945902745452e-5,0.0022585139497834916,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
gsic@2130,1.660266644165631e-5,1.0922353549602803e-5,3.1924341017841584e-5,1.634625630408948e-5,1.08804101248694e-5,2.8683873082968603e-5,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
gis@2130,4.090556862124117e-5,1.5489217108921594e-5,9.170719552642481e-5,4.031335381071699e-5,1.510107736635291e-5,9.283900537226941e-5,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
te@2130,0.00013964702030477838,8.464597885904368e-5,0.0002101486292218624,0.00013960589810224633,8.431984473666887e-5,0.00021003261922913907,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4foss1tg_nonoise_flatsolar',"+1 Tg @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",4a170d3-DIRTY
