x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59
1.95518792912987e-6,1.3012166015331065e-7,-3.962564040806508e-10,4.140357447780872e-7,6.025102084961942e-8,2.1112484074444494e-6,-2.3881487393885576e-9,6.31346617580141e-9,7.425884089343918e-9,2.4099010376180683e-9,-3.4219924084128342e-9,-2.7963984912617367e-7,-3.7042571255200843e-7,1.0469466028532245e-7,3.358169496860087e-7,7.240321114305058e-8,1.962073371288529e-8,-1.3507172134703315e-8,-1.1313614096426494e-6,5.461577167799806e-7,-1.0558981277039967e-7,4.804597056212634e-8,-8.99577268873396e-8,1.7914856295270997e-6,5.02040043494397e-9,6.034153001963203e-8,-2.0070132616516267e-7,1.0898833911634798e-7,-2.663641536457699e-7,-1.3255630080719458e-8,7.197019754984292e-7,8.370150601443343e-8,5.9319854974974586e-6,1.4970937295320575e-7,2.181597849283864e-6,3.1609408133474133e-6,6.2701054918913046e-9,3.8954825481914736e-7,2.3489397862719932e-7,4.072103499314472e-6,5.880437681841769e-8,4.014410383867566e-8,3.656918556661409e-7,1.68132605084635e-7,-3.580155428529879e-10,2.1527748419841524e-6,9.16209160791304e-9,2.879241752189278e-7,-4.4370355237638714e-7,2.361724988458218e-6,2.3431275370830542e-11,-1.3483881587983308e-8,-6.45334850930881e-8,-7.512928085847748e-9,1.4871234081813176e-7,-7.364596618427926e-9,2.0955541057910224e-7,-5.3169229982443944e-8,-5.2289554736333226e-9
1.3012166015331065e-7,1.3962181591547754e-8,1.8812305405220725e-11,6.345698728455197e-8,-6.020610343211594e-9,1.4436296730496306e-7,-1.823579338135458e-11,2.8907754957086417e-10,-2.4441602894400904e-9,1.7069340092354023e-10,-2.544514631923327e-10,-1.9865902267243897e-8,-3.0307582559266925e-8,4.857307448968038e-9,4.3260806952127565e-8,-2.117239774825184e-8,2.330203318443788e-9,-1.0672245288836007e-9,-1.0593083528435713e-7,8.107689356712646e-8,-9.382785122378038e-9,4.5207436108496745e-9,-5.746154237770459e-9,1.1586559547648106e-7,1.2477321626548663e-8,5.4329815384146304e-9,-1.3683074738805327e-8,7.90869649931417e-9,-2.6597136944020417e-8,-1.2187667766751672e-10,2.6342037944302224e-8,1.1602753446016243e-8,2.3924993948512003e-7,7.871508678861437e-9,2.2915243143213627e-7,2.0063523085209612e-7,7.152895120781722e-10,9.842364808620582e-9,4.839149170465412e-9,3.417677147615439e-8,-9.156250415335382e-10,-2.7513375517745764e-9,2.3458458212784782e-8,1.945900163449985e-8,-3.697664337378812e-10,1.5098685077190008e-7,2.109319338365857e-10,-2.5817272486514147e-9,-4.7346379743581377e-8,2.395731619539675e-7,3.3776252643313894e-13,-1.5125755809294627e-11,-6.456536804385455e-9,-8.226893254957221e-10,1.373470312409227e-8,-1.1087037385881636e-9,1.4754718715847851e-8,-4.1440022406614035e-9,1.0972876144640398e-9
-3.962564040806508e-10,1.8812305405220725e-11,3.3605801225469673e-11,4.086794719500523e-9,-6.777427363706161e-10,-1.6414495797987883e-10,5.93383425042355e-12,3.0817647116072087e-12,-1.1074814204195431e-10,2.2506715415011896e-13,-2.6119801310390623e-12,-4.956469536242116e-10,2.9119508450216033e-10,-9.468630050163955e-11,-7.639533533449902e-11,-2.2758946789628233e-9,4.079268652342219e-11,1.7900525344844777e-11,-7.344142738726761e-10,-2.8341644025771195e-9,-7.212145776919112e-10,8.596304720432045e-11,-1.83734004269734e-11,8.534556638254319e-10,-4.4613189202987106e-10,1.1583013724502895e-10,-8.074923783154738e-10,4.904685133741339e-10,-1.3527438661065389e-10,6.339277098934079e-10,2.177856568853076e-9,2.7441576601146133e-10,1.6702931098494158e-8,-1.943637118005598e-10,-5.6574608222552106e-8,2.077856645094284e-9,-2.670952273926203e-10,-1.2482592492231049e-9,-1.4820537400729558e-10,-2.615653241062982e-8,2.3414302870987973e-10,3.502817331376154e-10,3.409091713327339e-10,-7.243163738760566e-10,-8.046664852430809e-12,-1.7676773792771663e-9,-2.4859645797839208e-11,-4.4519259474149724e-10,4.503780492580076e-9,-1.451667467447612e-8,-6.154539457981257e-14,1.4838345278389275e-11,-1.847757776814639e-10,-2.558815594419549e-10,1.0072264428041895e-9,-5.40157866318497e-11,1.3214606171589985e-9,-3.618353800125985e-12,-1.3348310474007916e-10
4.140357447780872e-7,6.345698728455197e-8,4.086794719500523e-9,1.1573475007575487e-5,-1.736241008889836e-8,3.4138297419066764e-7,6.251755754132395e-9,-3.1721895771555056e-9,-2.1084965142706744e-7,1.7529566786471616e-9,-1.0631366887476675e-8,-6.323799401637255e-7,7.078732519055854e-7,-1.544485363099523e-7,1.7292605026897563e-6,4.2248380097319636e-8,4.312401642440341e-8,-5.3667216727783516e-8,2.3836777309668466e-7,4.136523582432258e-6,-3.6529196979174473e-7,-1.074741176768244e-8,1.1031381323374263e-7,-1.1873325991672308e-6,1.4664832107436894e-7,8.76651827017156e-8,-4.0526016970584244e-8,1.3856952051514215e-6,3.690196423785457e-7,3.62652911144785e-7,1.7701249804772425e-7,-1.0617283051310688e-8,1.5753748680271445e-6,-5.569256366617219e-7,2.27412615756902e-5,9.384507067962738e-6,-1.740344997432639e-7,-4.1752779405255437e-7,-3.507139390216468e-7,-2.297024717553072e-5,-5.639840171873052e-7,7.493013561548035e-9,1.1157583849110252e-7,-5.117925804078702e-8,-6.685555862497174e-9,-1.4692016795381024e-6,9.199747991603259e-9,-8.318100598099634e-7,2.2180414138777116e-6,-1.7052135228193056e-5,-4.87220329828671e-11,-3.527804972839081e-8,7.93942130951281e-8,-1.0808432868234648e-7,1.17106818434058e-7,-7.84816449280362e-9,-6.672221425803418e-7,-9.357062148465217e-9,6.886201302262735e-8
6.025102084961942e-8,-6.020610343211594e-9,-6.777427363706161e-10,-1.736241008889836e-8,1.6038360481396286e-7,-3.653882746443462e-8,-1.0182836193979098e-10,-7.356162654118448e-10,7.547820025414957e-9,-8.335237611355751e-10,1.5403991131481364e-9,2.0751982593083338e-7,-3.7977996975272044e-8,6.819019701406356e-11,3.172867864356601e-7,1.3661271613351998e-7,-3.3913985762480667e-9,3.937584019162762e-9,9.276299648265696e-8,-2.1066415977101032e-7,1.0989955907900282e-9,2.9084977217385114e-9,-3.661965393368355e-9,3.1807967436073506e-7,-1.1597131850592975e-8,7.977218099661295e-9,2.4673978915305677e-9,1.2922024216257126e-7,1.0136336349580568e-7,1.7609123544752003e-8,-7.563491532172506e-9,-4.435074655213645e-8,-4.310061368692465e-7,3.797035908567297e-8,3.7321865499327693e-7,1.2377197788894055e-6,-1.7129394045619866e-9,7.0254683106345e-8,1.1662439667007099e-7,-2.7538747018253756e-6,2.960463821610835e-9,-1.8106753447962217e-8,3.134973427361207e-8,-1.885605595554109e-8,8.462116025742098e-10,1.4867645864710024e-7,5.21808066275005e-9,1.2679362791118912e-7,5.5528498417266296e-8,-1.8090655247556858e-6,-1.7827107074618331e-12,-1.0251796078032304e-8,-7.603724793706763e-9,-1.6412379999386825e-9,-3.7448619187247784e-8,-1.6242681418134622e-9,-1.4930922988338767e-9,4.044320244492014e-9,-9.733602179884187e-9
2.1112484074444494e-6,1.4436296730496306e-7,-1.6414495797987883e-10,3.4138297419066764e-7,-3.653882746443462e-8,2.4070661280941475e-6,-2.419578759584217e-9,8.253992176729626e-9,3.937229574006061e-9,3.2567138892260362e-9,-4.737159265900859e-9,-5.069330633367418e-7,-4.1242803063507136e-7,1.4384615365252525e-7,1.4190712112496784e-7,2.3070738895918333e-8,2.4380979486514263e-8,-1.1305808378841913e-8,-1.1957909571579593e-6,8.643871308440655e-7,-1.6898157737287126e-7,5.676589272682401e-8,-8.777151672557647e-8,1.9280923255111215e-6,-1.4798762064948304e-8,5.800819470025898e-8,-1.8772775283127887e-7,-2.648586021576371e-8,-3.573892440710873e-7,-3.73391514227938e-8,7.556163079626534e-7,9.036320526202299e-8,7.373522221015864e-6,1.1989733589869177e-7,4.280330343852657e-6,2.218292380403973e-6,3.1010664161780683e-9,4.1927659134409665e-7,1.5314579992212316e-7,7.584914181665319e-6,5.643765431291528e-8,5.48779024180506e-8,3.793969145738586e-7,2.089003201978426e-7,-2.377089276978826e-9,2.5542378871605474e-6,8.090582908777576e-9,2.1960536589932631e-7,-5.140623967502542e-7,5.488906877710914e-6,2.835349718674793e-11,-4.8787917465152105e-9,-5.132101466342174e-8,1.0617145366943871e-9,1.5156178457266937e-7,-6.511322081175977e-9,2.0999188434505673e-7,-5.707387059359029e-8,2.176883470014135e-9
-2.3881487393885576e-9,-1.823579338135458e-11,5.93383425042355e-12,6.251755754132395e-9,-1.0182836193979098e-10,-2.419578759584217e-9,4.769871764295216e-10,-1.0357973229501585e-10,5.579966389878734e-10,-1.2142060234916258e-10,8.053393452300539e-11,-1.7382044666853552e-8,-9.750865362891739e-9,-1.0134160141531688e-9,7.018051176565879e-9,-4.212222465588036e-9,6.858791744815407e-11,-3.6217006895734934e-10,-8.558280991761112e-9,1.215102860549652e-8,-3.191690173428423e-9,4.216037422454496e-11,6.787762620971092e-10,-1.4654950455308434e-8,-9.475981664950565e-10,-2.5255094773997187e-10,4.252291437069777e-10,-8.428379387956375e-10,-8.583347335066194e-10,1.3173445989341345e-9,-3.05999740854275e-9,-2.0551526565584362e-9,-4.7025008261824854e-8,2.5581828979442296e-10,1.0644131722762306e-7,-3.667685299357258e-8,-3.1162183316165205e-11,6.881271540788018e-11,-2.0963619251859984e-9,9.979721087560261e-8,-8.081810938788997e-10,-2.0516464853236162e-10,-7.198220971491005e-10,5.720272415310896e-10,-9.050254497243364e-11,-1.706787075948958e-8,-6.211405928964083e-13,-2.8850776822548953e-9,7.434741701856952e-9,-4.068345423897613e-8,-2.894427238111244e-14,-5.7470889049609426e-11,4.1169753048934965e-10,-1.6933147518849133e-10,-7.486697442436751e-10,-1.202223172769252e-10,8.42846178405254e-11,1.83774857189178e-10,-3.4978419353984086e-10
6.31346617580141e-9,2.8907754957086417e-10,3.0817647116072087e-12,-3.1721895771555056e-9,-7.356162654118448e-10,8.253992176729626e-9,-1.0357973229501585e-10,1.0041520188058887e-9,-6.050562567585727e-10,-2.8740421829198875e-11,-5.029536066754136e-11,-1.6537768930447985e-8,-1.1564717639410214e-8,9.439511030548876e-10,-1.3339350467572054e-8,-9.240599616281154e-9,-2.7721040366173955e-10,-6.108203365176521e-10,4.6466649269439874e-9,5.234782539456247e-9,-1.1527618999777594e-9,5.1250662617516e-10,8.748407539777299e-10,5.7389192694730964e-9,-5.764045500587347e-9,-2.1483998490272968e-10,5.572378840644255e-10,-3.7937975022267345e-9,3.8049254670665384e-10,3.9277072055317546e-10,1.323636176018823e-8,-5.761727119466761e-10,-4.371278062628116e-8,5.374857142220103e-9,-1.598186662579518e-7,-6.70664329916176e-8,2.070225316219245e-10,2.281158443197435e-9,-1.0257113765116322e-9,-5.6986615425709246e-9,9.569599149534687e-10,3.4999049806675483e-10,8.210471185622702e-10,-4.331000968850613e-9,-1.3221026750326998e-10,-1.953909816859944e-8,-5.345321801919572e-11,7.962598542776295e-10,1.104583995290195e-8,6.391516589941913e-8,3.1864398725588496e-13,-3.410318718323373e-10,-4.94110498221649e-10,-2.314025560366388e-10,1.7172947191616271e-9,4.432344958071196e-10,-1.8510068664830625e-9,-1.9368173468957602e-10,2.8530588689994566e-10
7.425884089343918e-9,-2.4441602894400904e-9,-1.1074814204195431e-10,-2.1084965142706744e-7,7.547820025414957e-9,3.937229574006061e-9,5.579966389878734e-10,-6.050562567585727e-10,6.847849384219071e-8,-5.347840241432141e-10,1.2173484721664155e-9,-2.4933121871540537e-8,-5.493845277700091e-9,1.227194368921996e-8,2.405495195129392e-8,-8.61373485927819e-8,-3.7323886540746633e-10,1.6772111292817855e-9,-1.9121131030909266e-7,5.2517649881627564e-8,9.743521249088217e-9,-7.389340712229715e-9,-1.6860847641989775e-8,-1.7099195398855866e-8,1.618538804849008e-8,3.5318874886653876e-9,-5.587848915123555e-9,6.815097184631364e-8,1.852565058066783e-8,2.360470485905733e-9,1.3036654528108578e-7,1.1302637916870091e-9,1.5351254111106728e-6,-1.0821451692333377e-8,-7.023208662166374e-7,7.749760895852708e-8,6.174470601935647e-9,2.2543342043998493e-8,3.183655267254955e-8,8.598807362639611e-8,1.1644946220710244e-8,-5.493897599853022e-9,1.182035718569497e-8,-1.7578789263448503e-9,-3.029677507195203e-10,4.9452351475264834e-8,-3.4866790228785016e-10,2.0260382793415037e-8,1.3390206258427752e-7,-1.5029108677408853e-7,2.5731278877669988e-12,5.4183446336411484e-9,-6.591717119063823e-9,-2.840189250075301e-9,-8.171818847117532e-9,1.0760831638973736e-9,4.787222360036012e-9,-5.705345167193245e-9,-7.872004617232719e-9
2.4099010376180683e-9,1.7069340092354023e-10,2.2506715415011896e-13,1.7529566786471616e-9,-8.335237611355751e-10,3.2567138892260362e-9,-1.2142060234916258e-10,-2.8740421829198875e-11,-5.347840241432141e-10,8.575056366905159e-11,-1.2734765427343797e-10,-2.1104983034354e-9,1.9916932252691095e-9,1.4577674310878827e-9,-2.694631276940899e-9,1.1051322278319684e-9,1.215620199610853e-10,-1.0703642825736702e-10,-8.75494355577212e-10,7.922166836792203e-9,6.0736688596152e-10,3.6555028401530103e-11,-4.799836724850875e-10,2.746279387279188e-9,1.1763668040576009e-9,3.295418281366238e-11,3.296594296980068e-10,-2.4670586631010293e-10,-8.745867756102631e-10,-7.035340089048242e-10,2.6285874800617596e-9,5.96909305208672e-10,3.674143733471143e-8,-1.8535064908613314e-9,6.016310904403452e-9,4.359515954874022e-9,-3.2020551884544545e-11,4.698047288384365e-10,-5.745041301312759e-10,3.5534454385989214e-9,-2.778461341736346e-10,-3.6885479218618875e-11,6.403887954198939e-10,-3.857175220640626e-10,-1.6796541803902209e-12,8.378694635084252e-9,1.1738105608102667e-11,3.421808511440109e-12,-1.1201914716637983e-9,6.697898169226472e-8,6.060859492137436e-14,1.2437591823358973e-10,3.1755794278135253e-10,1.86039254546821e-10,1.9309184570948695e-10,-1.2506921817674285e-11,3.8618061130570303e-10,-1.4170405860185594e-12,4.340218783850784e-11
