x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55
0.0003184307899746893,1.8283938922411792e-5,-1.9595069179817246e-7,-4.1796750395561265e-5,2.544776427188613e-7,0.0003260787038276183,1.0938635183951784e-6,-4.7657697839840337e-7,-8.221736212656147e-6,-5.215803730958096e-7,5.428727012327475e-7,-2.6274623874885187e-5,2.9822353600272896e-5,3.174529821592428e-5,-1.8970981009016824e-6,1.745596687965635e-6,7.358912278690673e-5,0.0003950253146405959,-5.890377135199319e-6,8.9166043305222e-6,1.8700712143755455e-6,2.3031578064440835e-5,2.0510196355466565e-6,2.80936682999811e-6,-1.172645862303281e-5,-1.6167275978417537e-5,4.151513704693642e-6,-2.5997914810566145e-5,2.2492582911584037e-5,2.1367872169507484e-5,-0.0001070421227015649,-7.680926166328395e-6,0.0012594589752112164,0.0005008948901256206,3.3763497162753926e-5,-8.430897410460837e-6,-4.795901256534433e-6,-1.6490909346984888e-5,-1.6647155520645564e-6,-4.583774748586515e-5,-1.3166114505604589e-6,0.0005070773351757432,4.660632124524144e-9,1.358274343582342e-5,2.0339185449248907e-5,-8.043625839957371e-6,4.318101835614763e-9,-5.889407163481432e-6,6.301760930202216e-6,1.4205130140836322e-6,2.150258064579824e-5,8.013437263587908e-6,4.483334778746547e-6,-5.252974818574977e-7,7.168173702617563e-7
1.8283938922411792e-5,2.1099677126344737e-6,-5.604707858589612e-9,3.3782131157238387e-7,-1.3428402269972965e-6,1.8791788802224307e-5,8.734738666577513e-8,3.920786877391e-8,-1.2793475612078913e-6,-5.890791661970864e-8,8.712230220048534e-8,-1.846089864005693e-6,-1.125620120932925e-6,1.0863505152082056e-6,-3.1104774528742676e-9,7.177139429206207e-9,4.507618625313348e-6,2.0208971128927034e-5,5.316887201621398e-9,4.5825669822831335e-7,-1.5338674862700428e-6,-6.783522642367574e-6,3.1954275774720073e-6,2.0341431036258837e-7,-8.639614003976406e-7,-6.164052182725244e-6,-1.1515426301351667e-6,-2.176054124772316e-6,-4.788102619035886e-6,2.4980438164629465e-6,3.4188226102895547e-6,-2.2036001281761994e-6,1.1917092370354163e-6,2.463918510654948e-5,2.518212604004943e-6,-1.9928236113630934e-6,-8.458985412819863e-8,-7.94172985368725e-7,-3.6094689643212993e-7,-3.0221002816291285e-6,-7.925852808474173e-8,2.205042071660228e-5,-7.643860336003156e-11,-3.025112804118461e-6,-1.0773038344601208e-5,-2.998856120875395e-6,4.2381456943528174e-11,-1.7650942615822972e-7,8.931092504148094e-8,-1.9524590133507373e-7,2.373404164730288e-6,3.5447454459919353e-7,-4.583456335521835e-7,-3.372912830659907e-7,1.2736828686112722e-7
-1.9595069179817246e-7,-5.604707858589612e-9,6.247890330327439e-9,-3.2010466849029784e-8,-2.0587715196452603e-7,-1.161308433787317e-7,-3.682681645789844e-9,-8.366044475830134e-10,-4.991616968929949e-8,2.491188216401649e-9,-5.088225699947511e-9,6.828658874810976e-8,4.038366588241807e-8,-1.3870013871368136e-7,1.5556715452481867e-8,2.4575879005150677e-8,7.067810166823017e-7,3.159653101753358e-8,3.769361886340745e-8,2.770704303317458e-9,-1.7702848495302676e-7,-2.0869805245964522e-7,-1.183425753132705e-7,1.618472399592472e-8,4.673597415681005e-8,-5.829442151019931e-7,5.4882256805076563e-8,1.1844877295986493e-8,1.6816482053005033e-7,-1.4048869445568678e-9,-5.444878040483963e-6,-5.728832167699639e-8,-1.342000174190699e-5,-1.2996104423868634e-6,-4.046800496944544e-8,7.274785353374747e-8,-1.1055379275001188e-8,1.952546075344281e-8,9.169997811146793e-9,-1.1532056576424953e-7,5.064681585236183e-9,-3.901439305811065e-7,-5.685921028289735e-12,-4.894658712593944e-8,7.343658209508014e-8,-1.0817807085581282e-7,1.570901973756292e-12,3.153895287009155e-8,1.8371142507463095e-8,2.317901079975628e-8,4.720018634100975e-8,-1.3979924362935533e-8,-3.4062623730149546e-7,2.404261619435818e-8,-2.442089743174078e-8
-4.1796750395561265e-5,3.3782131157238387e-7,-3.2010466849029784e-8,0.0009672589225489248,9.143804943767664e-6,-3.374998608136884e-5,-1.1262390793328693e-7,-5.8823680836793955e-8,-2.4777302519146896e-5,-3.3565527397347303e-7,2.9946308929380115e-7,0.00014816264620835803,1.987113937572068e-5,8.04024692567197e-6,9.857195674364543e-6,5.361065145341344e-6,8.699354597137367e-5,0.0002279404596873261,-1.268729422900843e-5,-6.7822734567546485e-6,-1.2164759295440454e-5,3.076884587881856e-5,-2.7628191667548302e-5,-6.664330002831327e-6,3.3167852488311716e-5,0.00016362876734127516,3.994698652858321e-5,-7.156035370338969e-6,-0.00018020931087039108,4.30796848339725e-5,0.002546598160940836,-6.626924533950015e-5,-0.0008927863219781459,0.0008320375885024864,-2.9384389027814667e-5,5.7673244852097834e-5,-3.8128998660705935e-6,3.11057051655641e-5,9.43262671763982e-6,6.812862634384155e-5,2.2048622891567855e-6,-9.351673270002446e-5,-1.9274798918080057e-9,-4.755765121811509e-5,0.00010803599025123444,-8.505195044018147e-5,-3.5913149235936006e-9,-2.2538604456989366e-6,-5.749764503985869e-6,9.089170499282943e-7,-6.036037867111348e-5,-1.1889901287133186e-6,-7.511871614467284e-5,9.170416233172127e-7,4.321672845075129e-6
2.544776427188613e-7,-1.3428402269972965e-6,-2.0587715196452603e-7,9.143804943767664e-6,2.9697589451416026e-5,-1.4603446762586551e-5,2.400354037775213e-7,-7.97892872055709e-7,3.699528157028458e-7,-2.717351657042691e-8,-8.923030521896049e-8,1.545428538651352e-5,9.143751082080657e-6,8.944645356159784e-6,2.7631975105878506e-7,4.390928183458332e-7,-3.824525628641893e-6,-8.553920413535225e-5,-1.5867450772920814e-5,1.1789812091198316e-6,3.4145520165473407e-6,-3.9969112491486744e-5,1.0758244069682327e-6,-6.07254632149852e-8,-6.078337738597734e-6,2.0222265070377452e-5,2.2057739762412372e-7,-2.6722452072221596e-6,-4.082675570343777e-5,4.601263289230123e-6,-0.00015432639110378555,2.5415551670194564e-6,0.00025413982948214883,-3.697209706636151e-5,-9.297935124276474e-7,6.477578216918272e-6,-2.492782057968113e-7,-2.9577287525126474e-6,2.5045092452863097e-6,-6.480741222782954e-6,-1.7790612578768665e-8,5.080221777634532e-5,-3.7625946941399157e-10,1.5219834290979582e-6,4.10147386178126e-5,1.7458358423729642e-5,-1.1401175711596323e-9,-9.00019451004428e-7,-2.146120917448227e-6,-6.79639915557191e-7,1.7765170472227027e-6,-3.5972232434870717e-7,2.4206312342133275e-6,1.451024561749479e-6,-1.3441971202376417e-7
0.0003260787038276183,1.8791788802224307e-5,-1.161308433787317e-7,-3.374998608136884e-5,-1.4603446762586551e-5,0.00035675685596515543,1.1513111773587738e-6,1.3250618100067996e-7,-1.0450990548817081e-5,-6.317729754900982e-7,6.92385887499774e-7,-3.359473185428382e-5,1.9688102995006704e-5,3.3380945866164325e-5,-1.5922152621706874e-6,2.6054104470006215e-7,0.00010323424283350762,0.0004654965150111335,-3.8059659735557593e-6,9.74982651367273e-6,-3.3696927650873566e-6,7.669853095547547e-5,3.097286650804578e-6,1.7279256042813919e-6,-5.885477215578171e-6,-4.100344710777946e-5,-3.277009148395174e-7,-2.790093554858978e-5,2.450080610906818e-5,8.830926918208163e-6,-0.0005968281321741422,4.5275381598829475e-6,0.0016228600644269892,0.0005917423720624181,2.6941271682244666e-5,-3.2851601228869086e-6,-5.180310526920099e-6,-1.1813747870576904e-5,-4.079403371976672e-6,-4.6397356401917225e-5,-1.101757065304291e-6,0.0005045859318697068,4.922259135987317e-9,1.5902685382586146e-5,-1.3597437116863744e-5,-9.875394279343786e-6,4.7869484579973156e-9,-5.908980739406756e-6,7.596928941582795e-6,9.513097908788689e-7,2.0851195694283993e-5,7.84755481522483e-6,1.7561683360379409e-6,-4.217672724591386e-6,6.120030838519042e-7
1.0938635183951784e-6,8.734738666577513e-8,-3.682681645789844e-9,-1.1262390793328693e-7,2.400354037775213e-7,1.1513111773587738e-6,1.1642921201582967e-7,-3.9052957211704644e-8,-4.860461273694197e-7,-3.6369473110845896e-8,2.8962454989461363e-8,-2.2196632912829993e-6,-1.0021949813845301e-6,-2.488277474858607e-7,-4.6970845643406324e-8,7.319793888852632e-9,-2.2182641192012885e-6,-1.550387283917337e-6,-3.013520713458532e-7,6.460996942883633e-8,-4.635099145278986e-7,-1.646652365182323e-6,1.1048183318734075e-6,1.3421755297667317e-7,-2.4227001690947216e-7,-1.367077334643018e-6,-7.63813991694701e-8,-4.189808794960529e-7,-4.454059419030035e-7,-1.3411125482707362e-7,-2.7779535886200733e-5,-2.392124234596229e-7,4.595850400149075e-6,3.43555710519494e-6,6.606388604377557e-8,2.1103219752947996e-7,1.872728628991037e-8,-9.233064517647215e-8,-8.210307996296295e-9,-3.2262291474379514e-7,1.6136366884009744e-8,2.021812851016677e-6,-9.382008591576382e-12,-2.081418546670321e-7,-4.511391033411131e-7,-4.995594985272976e-7,-2.7763836319953937e-11,-7.003330779993253e-8,-1.735357480816788e-8,-7.302454403554522e-8,-1.1655210274182932e-7,-8.136213012818927e-8,4.2178246651523617e-7,-1.4618128583280288e-7,1.6483432533096793e-7
-4.7657697839840337e-7,3.920786877391e-8,-8.366044475830134e-10,-5.8823680836793955e-8,-7.97892872055709e-7,1.3250618100067996e-7,-3.9052957211704644e-8,1.575738226256975e-7,2.1347047055409748e-7,-1.1198768737238676e-8,2.5827241524057873e-8,-1.7453636675186318e-7,-1.0952491340109327e-6,8.508916740356879e-10,-3.1178381153752126e-8,-3.132504197668518e-8,1.36660900760674e-7,1.1717219488684895e-6,3.676518759874922e-7,-1.9504733269443046e-8,-8.844720559958654e-8,2.123406476869814e-6,7.513142865102542e-9,-5.9278324502862266e-8,2.979215011354948e-7,1.9036184324717713e-6,-1.6553425331180884e-7,3.4544535241473283e-7,5.113433913687012e-7,-6.752688153203467e-7,1.0993008715900977e-6,8.75464980797839e-7,2.7458317408841032e-5,5.480083171696826e-6,1.2820267988788206e-7,-1.0300118269626398e-6,2.14913096168466e-8,1.664724160468914e-8,-1.7491848706349907e-7,3.491009399699205e-7,-8.368091556151472e-9,-6.2396572938122645e-6,-3.0051393591360385e-12,2.2399930101069893e-7,-2.7838591166656375e-6,-2.715459741610099e-7,2.104625998816071e-11,5.235311310080405e-9,1.566095692161599e-7,-8.479117144340158e-9,8.540763699847927e-9,5.527232142059494e-9,2.072482945804047e-7,-1.5316406857091232e-7,5.5778005047703436e-8
-8.221736212656147e-6,-1.2793475612078913e-6,-4.991616968929949e-8,-2.4777302519146896e-5,3.699528157028458e-7,-1.0450990548817081e-5,-4.860461273694197e-7,2.1347047055409748e-7,1.7554669447399003e-5,1.3573718879861203e-7,-7.416111925425849e-9,-1.905607609942023e-5,8.441613390099307e-6,-5.463665754193818e-8,2.8991538612519897e-7,-6.278132402695857e-7,-2.0020977813028258e-5,4.585120009105914e-5,-2.634853256343543e-7,-6.862868709523414e-7,2.4689155822812723e-6,-1.659738256597271e-5,-3.861044305759541e-6,4.001149754370362e-7,-6.727370825583866e-6,1.5730702708809307e-5,-1.0378370834261698e-6,3.285949954769118e-6,2.316966283120823e-5,-4.415567648931639e-6,0.0004056718696514847,2.2837098650242153e-6,3.551755102890316e-5,-0.0001116082995403538,-1.6330622431674398e-6,8.26853637638221e-6,-2.1470779720521876e-8,-4.829316148093171e-6,9.980348390063865e-7,4.840418889939543e-6,-3.543692092422733e-7,-3.74675252463963e-5,4.980723204807445e-10,2.3745852413153036e-6,2.5174321428519648e-5,-5.846079612986028e-6,3.3555159496571457e-10,-1.0543594899847568e-6,-3.2087632164878944e-6,9.531835329374606e-7,1.6051710233620595e-6,-3.924958346372735e-8,9.886312746982522e-6,2.7698173866777e-6,-1.0807106767949562e-7
-5.215803730958096e-7,-5.890791661970864e-8,2.491188216401649e-9,-3.3565527397347303e-7,-2.717351657042691e-8,-6.317729754900982e-7,-3.6369473110845896e-8,-1.1198768737238676e-8,1.3573718879861203e-7,2.1948499146688255e-8,-2.7113518605951782e-8,-3.9539934097754166e-7,1.6393999800959494e-7,-7.656969772507884e-9,5.662895863006168e-9,-5.707976136460638e-8,6.581424431724172e-7,8.92697593397879e-7,1.3902868788157074e-7,-4.5515568880791045e-8,1.8388566709709702e-7,-2.6177641252508643e-7,-2.612364861915165e-7,-3.965295729101351e-8,-2.835596855446337e-8,-3.382151548146078e-7,1.4026821859508386e-7,1.0174724168702716e-7,6.067395194726985e-7,1.248380709948078e-7,3.456298329849207e-6,9.948808503802114e-8,-1.4313267498212955e-5,-2.8772478653824464e-6,-1.518724209708577e-7,1.0834508044447861e-7,-6.402682607698649e-9,-5.4370362748479816e-8,5.510149989822202e-8,-4.427743898690857e-8,-1.0196206975253372e-8,-7.703463908902347e-7,1.2473183501132868e-11,4.969385997716841e-8,1.1516035842789502e-6,6.247894683222343e-8,1.689592012176672e-11,2.4443173830966534e-8,1.3427908175993232e-8,1.9364023592804337e-8,2.3420568723957965e-8,1.9308620602920886e-8,-1.1998984331266603e-7,1.0961749345779109e-7,-6.627875988571606e-8
