metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,0.0020170601073711937,0.001546963212851793,0.0030172259201894035,0.0020106834092683103,0.0015303444333774508,0.002959372902631685,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
total@2100,0.005903771307582417,0.0031984689950725455,0.037932797551461304,0.005815099234136057,0.0031456690911092267,0.03790435166036303,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
total@2130,0.014543396462646286,0.00389905398897028,0.05667027024033757,0.014383734707678286,0.003829494377179543,0.05649150539429826,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
total@2150,0.016551135901836746,0.00429050560154991,0.07596201370982811,0.016448341455307512,0.004213488041862945,0.07543595608983367,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
total@2180,0.01903645058908978,0.004806082840012493,0.11098057267667798,0.018972363346034627,0.0047149994126101545,0.11006714639777612,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
total@2300,0.024961790201814438,0.006504887901496659,0.21636342569734665,0.02493632089059474,0.006371608320149847,0.21496920517075183,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
ais@2130,0.009794273356258997,0.0006593406018729376,0.052074236501330515,0.009626400260660261,0.0006314916940797666,0.051913431603317406,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
gsic@2130,0.0003086918885689016,0.0001709465789739184,0.0006201634890020457,0.0003050934363640678,0.00017029584271597287,0.000549944367951305,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
gis@2130,0.0007407761720124029,0.00027599303041192513,0.0016871463699974498,0.000723938795115231,0.0002663996011698089,0.0016920422112853828,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
te@2130,0.003293206356818601,0.0020129393804595,0.004798813742568342,0.0032929058433012414,0.0020082888709563205,0.004808329018346669,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
ais@2150,0.01120358516546105,0.0007900383806491718,0.07097380655779303,0.011121621063931997,0.0007570028833214337,0.07042652339054882,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
gsic@2150,0.0003059752484743328,0.00015689640529821248,0.0006380604447231875,0.00030142038693892204,0.00015575910128156066,0.0005606762084021,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
gis@2150,0.0008779965002858603,0.00032463051643283336,0.0020363742269147167,0.00085851381219193,0.0003130920012406335,0.00204400569643326,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
te@2150,0.003619237942300302,0.0021341534511350345,0.00536769263411685,0.003618391067726279,0.002130306208970012,0.005377781749532318,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
ais@2180,0.012967207563160343,0.0009800370011759263,0.10534417531603565,0.012914131388406247,0.0009409159503503516,0.10446602082085477,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1258, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",d577d0d-DIRTY
