metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi
total@2050,0.0019233245404553401,0.0015613396216501486,0.0022970065926429585,0.0019161407394729935,0.001572254559597397,0.002318197940748945
total@2100,0.004211857776562055,0.0032197714098373353,0.10387063485976,0.004234229006376466,0.0032019518010741876,0.10410195867818928
total@2150,0.0060078905990174295,0.004143482233234153,0.1305199263536309,0.006149757128547861,0.004077932314166333,0.13379073490883683
total@2300,0.010784643511453851,0.006806873873370023,0.20805683129579505,0.010810557893438499,0.006659777893065666,0.20805683129579505
ais@2100,0.0008469169048964887,0.00037675301318707,0.0997457610305652,0.0009040308179253387,0.0003918721846384976,0.10023541099114616
gsic@2100,0.0002891043918376468,0.00020295488118486914,0.0005095676664446103,0.0003000195163807895,0.00020044103992864493,0.000526665724534503
gis@2100,0.0005292595553196833,0.0001379154688851969,0.0011427613721526342,0.00047240886479116284,0.0001361256090959273,0.001139292908254319
te@2100,0.0024994083624175546,0.001788559292800862,0.0030694384754632155,0.0024714948034283424,0.001805499610548722,0.0030698407934536933
ais@2150,0.0015274166115908372,0.0006194102880507479,0.1264179041140423,0.001656462463378716,0.0006514900014497726,0.1291520788807162
gsic@2150,0.0002911400419923993,0.00018283641227085924,0.0005509749249082319,0.0002895544387531146,0.00017194376185418746,0.0005703544847634135
gis@2150,0.0008482391999020678,0.0002281035844742263,0.002023788050271591,0.0007629514798157544,0.00021867155174604136,0.0019389851289730586
te@2150,0.0031921020367832397,0.002167808024080031,0.004072779310638097,0.0031944171683658596,0.0021883403916074682,0.00407331313870074
ais@2300,0.003744437903075948,0.0012409981950501248,0.20157744952284135,0.004065952754847046,0.0013272997202028237,0.2019273969472181
gsic@2300,0.0002745717630475042,0.00016515188009940117,0.000599119841877993,0.000273849384823599,0.00013322103178552424,0.0006059178462525239
gis@2300,0.0016565838854809556,0.0004515578448938129,0.004488999697373685,0.0014724972681179338,0.0004322304920378883,0.003961739640381268
te@2300,0.0045179538491161965,0.0029951016359433423,0.005883129084620009,0.004537650656330783,0.0030021688098379683,0.005883900199167869
