x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
0.0011008874252622742,0.00010592473572021125,-3.0384697259899755e-7,0.0002787120388961171,6.169093757015324e-5,0.0010382815414330068,-1.1375021418305576e-5,-1.0006326322284016e-5,-8.100442699861674e-9,2.383518390400126e-8,-2.6145002397508645e-5,1.3140526334854694e-6,4.876685307318107e-6,-2.7539181870462245e-5,-1.9678378668888852e-6,-1.0314185959491244e-5,0.0009937949439967973,0.03696400087157413,-1.7103044696840318e-6,-7.122997357418578e-6,5.712613564922724e-6,1.6907445677873295e-5,0.0006296542359195906,-0.0013638272432130636,3.397590534526345e-9,4.6241867652248293e-5,0.00017453237058951085,2.425573914826406e-5,-0.0018098070010876864,-1.5709131589700356e-6,3.9605234294448166e-5,-5.705173351582658e-6,-1.1348398778211756e-6,-4.627615877861673e-6,1.0199316043304376e-6,-8.455640124660055e-6,4.36351826645688e-6,4.326013123809075e-7,-2.310944378717151e-5
0.00010592473572021125,1.2884382759351426e-5,3.572090672469229e-8,2.2161563064993407e-5,5.898797708244034e-6,9.986234604876912e-5,-1.6399793838189725e-6,9.91058639480415e-7,-1.410011182990174e-9,4.4959955726357185e-9,-2.083400250460289e-6,1.702916233564399e-7,1.4707281478025385e-7,-3.0890975924003755e-6,-1.759444387399748e-7,-1.457994458010682e-6,0.0002105704697491755,0.004110039262664206,-1.365313835343352e-7,-1.7582793223651882e-5,5.141737961205774e-7,5.1599558430305065e-6,9.753320767223434e-6,-0.0003290157055160696,-7.627148521045361e-10,-2.1510273442045533e-7,1.8108415552448545e-6,3.64504313040619e-6,-0.0001717176795534269,-1.8618353516312698e-7,3.3478649152324204e-6,-8.423774181153925e-7,1.2538152757721122e-7,-3.097450237830539e-7,1.0116459275908698e-7,-1.035614974734776e-6,3.832160887591659e-7,1.6042195185734323e-7,7.182319293444022e-8
-3.0384697259899755e-7,3.572090672469229e-8,1.4073684933138243e-7,-2.5581807624875117e-6,-7.583116713873434e-7,2.3831707571558485e-7,4.301407243080627e-8,-4.0503355604821603e-7,-5.169800592605185e-11,-3.357736605112581e-10,-1.8994554193929397e-7,5.1656916327000534e-8,-1.5899100330931303e-8,5.345110078303613e-8,5.139700608461471e-8,-1.657461029665515e-7,-1.303975412624567e-5,-0.00038037978788130205,3.7946331673882853e-8,-1.0103700486108772e-5,7.808874101808663e-8,5.225227975340256e-7,6.035034788335752e-5,6.695572967181216e-5,3.542696219891882e-11,-1.5544564895909016e-7,1.2927986576233017e-6,9.582074456807653e-9,0.00011174693434012258,-2.81235442177159e-8,-3.174830179826491e-7,2.4147834762287445e-8,-1.5206305891787172e-8,1.1805801293861762e-8,1.0527976541814209e-8,7.709343918211932e-8,9.37502518395043e-9,-2.2847412854508147e-8,-4.4453945903422906e-7
0.0002787120388961171,2.2161563064993407e-5,-2.5581807624875117e-6,0.008063085956472255,2.2058710967345795e-5,0.0002666857450529753,8.546481628390453e-5,-0.00018370778497583888,2.0445283018663588e-7,-1.569118724665973e-7,-8.605586685074279e-5,8.809240307350252e-6,-3.352381026421218e-5,4.9562492046597746e-6,-4.730818011391352e-6,-5.4454278917296984e-5,0.00012246170790724523,-0.16242118801177724,-6.186210231440672e-6,-0.0005426180253607129,-1.297396498047069e-5,8.377469425488316e-5,0.0005980743167820594,-0.014889226772561921,-4.555903168045353e-9,2.918699703971129e-5,-0.00017652511086383606,1.1419408621831078e-5,-0.016357576531762952,-2.017947601415688e-7,6.112563996296892e-5,-2.9533540349322026e-5,-6.06281550680094e-6,1.1933042198684006e-5,6.700048632706673e-6,5.33303745461463e-5,-1.0395678523233242e-5,-4.446188612710071e-5,-0.00040316270762263734
6.169093757015324e-5,5.898797708244034e-6,-7.583116713873434e-7,2.2058710967345795e-5,0.0001679029569872744,-2.6350775210755587e-5,-1.3639402783579724e-5,9.543718438029146e-6,4.8293968109608525e-9,6.105187452479485e-9,-6.830415628906953e-7,-1.5393184422575622e-6,3.792232960783909e-7,4.933595264701073e-6,3.648390942272634e-6,1.474514491114352e-5,-0.001355742067866153,0.022356095102893755,7.246864739612839e-7,0.00014449250190324287,1.3654285662440908e-5,8.554449626054806e-5,0.0009147862107504092,-0.0036588188813108623,-2.797930820666253e-9,-2.30125088071248e-6,0.00022492629505490753,7.532418728182914e-5,0.0029681476183366744,-9.143499557736755e-7,-7.70763302129023e-5,1.1775531315843236e-6,6.367561254260351e-7,3.2443625547824606e-7,6.499766342552373e-7,2.7266202428299367e-6,6.363260598006608e-7,2.0651884790765557e-6,1.9520805492722728e-6
0.0010382815414330068,9.986234604876912e-5,2.3831707571558485e-7,0.0002666857450529753,-2.6350775210755587e-5,0.00106837661287776,-4.8705949110656835e-6,-1.494899650139654e-5,-1.1736188900085304e-8,1.81092681540133e-8,-2.410685577275063e-5,2.3057328277905354e-6,5.037337945590293e-6,-3.418794465326318e-5,-3.2757846217540796e-6,-1.7167170038253053e-5,0.0020485328589329634,0.029432102485878072,-1.9101903265904406e-6,-9.613968903583823e-5,-4.738729630831512e-7,-1.5891998835197265e-5,0.00015943234692803848,0.0006970643005004767,4.592832658651354e-9,4.646235534905442e-5,8.025145168686395e-5,-1.3354453493016122e-5,-0.0025439122718509135,-7.252272261831677e-7,7.609857754952172e-5,-6.235767416689297e-6,-1.184758301363247e-6,-5.240094559127669e-6,8.23859526271105e-7,-9.127269427667867e-6,3.839630191328228e-6,-6.230647886038222e-7,-2.711154285008868e-5
-1.1375021418305576e-5,-1.6399793838189725e-6,4.301407243080627e-8,8.546481628390453e-5,-1.3639402783579724e-5,-4.8705949110656835e-6,0.0003839885966176485,-4.7016715014681664e-5,7.624425978369745e-8,-1.1287872768333396e-8,6.80568936248578e-5,3.555022723050346e-6,-8.452045912243242e-7,-2.486923039999991e-5,7.442153719445297e-6,1.1823454519249878e-5,-0.0009813087956688212,-0.009305893470230255,4.1534673035346904e-7,-9.775860509804287e-5,-4.482558618792954e-7,-1.801901365824383e-5,-8.556188874770126e-5,0.003449683229196893,2.4455997018829615e-9,2.4359268577088164e-6,1.2865582728807814e-6,-1.0582694822860477e-5,0.003899173522567311,6.159336119469908e-7,7.952088680821404e-6,1.7776487391879136e-6,-1.3941772860343776e-6,9.774574206607542e-7,-5.262171351092776e-7,-4.552775757388123e-6,9.194358728931341e-7,-6.4953198575980635e-6,-1.5091972752489734e-5
-1.0006326322284016e-5,9.91058639480415e-7,-4.0503355604821603e-7,-0.00018370778497583888,9.543718438029146e-6,-1.494899650139654e-5,-4.7016715014681664e-5,0.0008395568464753062,-1.0018025969312371e-8,3.569176375783978e-7,0.0003796494931522119,-2.512583431037665e-7,5.084699782555742e-6,2.028738478516893e-5,6.722221224111406e-6,-1.6001639418516807e-5,-5.138438093616665e-5,-0.015494257400088257,-3.4913077145824995e-7,0.0003186400320015607,-6.823870840146191e-7,9.474821954626522e-5,-0.00013377823286541492,-0.004650216760303424,-3.686468512118414e-9,-3.126759560840179e-6,-2.9604746213973862e-5,5.9944552328403954e-5,0.00536076770413639,-4.273020276342402e-7,-5.641378729479849e-5,-3.933972556566967e-6,1.3428231366100938e-6,4.628690659802519e-6,-8.955048733514641e-7,-1.3598186155335227e-6,-2.140145181806421e-6,1.0928664758664443e-5,1.369428144858915e-5
-8.100442699861674e-9,-1.410011182990174e-9,-5.169800592605185e-11,2.0445283018663588e-7,4.8293968109608525e-9,-1.1736188900085304e-8,7.624425978369745e-8,-1.0018025969312371e-8,2.9222455313707896e-10,-8.103463294145211e-11,-1.9366400180754377e-8,-1.479724213089816e-9,-3.0855602220328753e-9,9.471181033186479e-9,-2.125983475153948e-9,-2.6188086739858827e-9,2.2139649702419042e-6,6.335404049958417e-6,1.29996881107734e-10,-2.3396585554470904e-7,-1.2736473117372921e-9,3.1979086250619777e-8,3.3059592378090555e-7,1.2696103392958201e-6,1.4733836848178697e-12,1.805826790521728e-9,-1.515431929839945e-8,2.787630937516848e-8,7.432425264054321e-6,1.7777481591808693e-10,-1.6039416994221484e-9,-1.946555944780436e-9,2.853950827349945e-10,6.527069751562739e-10,-1.0864678190694246e-9,-4.362637244135781e-9,-3.2021151599378787e-10,6.664558900404959e-9,2.8736992374045852e-9
2.383518390400126e-8,4.4959955726357185e-9,-3.357736605112581e-10,-1.569118724665973e-7,6.105187452479485e-9,1.81092681540133e-8,-1.1287872768333396e-8,3.569176375783978e-7,-8.103463294145211e-11,4.1064814267357746e-10,-1.2394271708708196e-8,-1.115878316089877e-9,-5.255445057812384e-10,-5.329249523220315e-9,-3.8944787681258157e-10,1.3964630909291108e-9,-1.390105048132382e-6,1.4882411249476296e-6,2.0808364769636942e-9,2.583386959053008e-7,-1.0407820076064537e-9,-2.9709821549987236e-8,-2.267639353376019e-8,-1.1507822800123766e-6,-2.0268887651980404e-12,-2.9471012035632313e-9,-3.5970240462218786e-8,-1.7099323656409526e-8,-7.685729008428521e-7,-7.506983823597401e-10,1.2441116920895439e-8,-1.481463122946953e-9,-9.066633860001893e-10,-3.0044447795002748e-9,7.754350274351135e-11,2.1479065325046304e-9,1.0706787315671226e-9,3.0080870810858234e-9,6.376675628965547e-9
