metric,rhat,median,q05,q95
total@2050,1.0007319264882981,17.646765678479014,16.39791086491086,19.387538552617528
total@2100,1.0006376004464275,39.21395481270851,33.439677070932845,91.56159733905875
total@2150,1.0010240768504501,61.203766532974804,47.16079187541268,171.1561934403031
total@2300,1.0019282783753947,152.73567416438516,74.56196731430792,403.1276394904676
ais@2100,1.000357501191057,5.961117334779014,4.4824525455487985,57.569403178701286
gsic@2100,1.085432704755753,6.856506664775375,5.9494872837928146,8.551089636254552
gis@2100,1.0070582125150243,6.945153496516236,5.166241539859819,9.271523255231916
te@2100,1.0106804165676402,15.675145817940876,12.438808707846368,19.20964080831883
