ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,gis_c1,gis_c0,gis_f,gis_alpha_f,gis_beta_f,gis_slow_ell,gis_slow_w,gis_amp,gis_s_mid,gis_s_high,thermal_alpha,gic_a_R19,gic_b_R19,gic_T_off_R19,gic_log10_kappa_R19,gic_a_SLOWP,gic_b_SLOWP,gic_T_off_SLOWP,gic_log10_kappa_SLOWP,gic_a_FAST,gic_b_FAST,gic_T_off_FAST,gic_log10_kappa_FAST,gic_amp_R19,gic_amp_SLOWP,gic_amp_FAST,gic_u_unch,gic_delta,gic_u_pre,gic_s_r5,d2_gsic_1,d2_gsic_2,d2_steric_1,d2_steric_2,antarctic_lambda,antarctic_gamma,antarctic_kappa,ais_gmst_amp,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip0_LOG,ais_runoff_Ton,ais_c,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric
0.00048001712168965803,2.692079788876679e-5,-2.697842491449059e-7,8.659212998169845e-6,3.675079413340438e-5,0.0005584056924887471,1.6626580608122162e-6,-3.0360027114520185e-7,7.673159597953864e-6,-6.069717406363401e-7,4.76733393900246e-7,-5.382037719202637e-5,7.257234775667739e-6,-3.90013078615905e-6,-1.8970880245168937e-5,4.9569081830342985e-6,-1.8152197544403973e-6,4.339831780697796e-6,-1.8205471534388415e-5,-3.295846396622052e-5,-8.653947947454875e-6,-2.1085758014508416e-6,8.923915059993149e-6,5.288033858997611e-5,-3.539727048732416e-5,-1.176101806039757e-5,-5.919623713941596e-6,-0.00011336404684845408,-2.8644182912182114e-5,-7.390955143382876e-6,-2.8281049108923673e-5,-1.0982771030427273e-5,0.0024923294470195327,-5.345889325716925e-6,0.001652670331028448,0.00020197665337357926,2.9748522196375653e-5,3.183693238203171e-5,-7.401859814026575e-7,9.247862003644445e-6,7.9433631784993e-8,0.00011682011640498954,1.6601686019431861e-6,-1.931096719084666e-5,6.297697190960027e-5,-0.003005297707299341,-9.102944720162756e-10,7.541996036996481e-6,5.9362440197982536e-5,-1.1366465039281197e-5,-0.005068959877570018,-3.2329424579782063e-6,6.354972616160575e-5,3.681402988759562e-8,2.8748891949890907e-6,-1.4584509583789944e-6,-9.500026156564794e-6,5.1034336716248466e-8,-2.4347527157548547e-6
2.692079788876679e-5,2.4208518423328996e-6,-2.410585435350145e-8,-1.5401157685543472e-6,2.973944274235922e-6,3.2228831841787635e-5,7.380866223764343e-8,-1.3026722611832128e-7,7.114941857494361e-7,-1.8068058939016373e-8,3.542005286812077e-8,-1.5758621723662528e-6,3.455668661496748e-7,1.06153833544754e-6,-4.453865241126947e-6,1.5386323086338048e-6,-1.967171869706801e-7,2.5141451766785997e-8,1.6319970359409356e-6,2.140094833942655e-6,3.499587918150898e-7,1.7117321120923976e-7,1.956871294226523e-7,1.755677888591902e-6,-3.486918607088109e-6,-5.281013350361525e-7,-2.706430318075137e-7,-6.266521215116434e-6,-2.014634724782761e-6,-3.5904350138579043e-7,-3.808818366859991e-6,-1.5288965199120083e-6,0.00018503693824211285,-8.172950707350447e-7,4.956502443103693e-5,-2.4023426362360706e-6,1.6909986475717039e-6,1.4232501138080923e-6,-5.6096141602703524e-8,-1.671566525940812e-7,-8.551737455630049e-9,-8.202980298558969e-7,2.8320386444472087e-7,-1.0953720977038694e-6,-9.647814015114638e-6,-2.833949484011209e-6,-2.2137593504942466e-10,-7.154990805335219e-7,3.516096438191885e-6,-7.559848528232219e-7,-0.0002779151721546482,-1.9579081870588805e-7,5.098525725061763e-6,-1.998004155892223e-8,1.8101510459247158e-7,-3.412891625682411e-8,-1.508640833379039e-6,1.790873577790875e-7,5.828951705286861e-9
-2.697842491449059e-7,-2.410585435350145e-8,4.106739582065042e-8,1.4162998861342193e-6,-4.054832990490036e-7,2.7340646240045007e-8,4.299202323224846e-9,-3.1606949357163804e-8,6.774345064077135e-8,1.1933603119235546e-10,-1.2433514926107678e-8,-4.882787668700833e-7,4.959102548873104e-8,-6.755942691821967e-7,2.7076972388700717e-7,5.567579245878778e-7,-9.67610809009983e-9,-6.739490606724747e-8,5.370634258526675e-7,3.8832177228502203e-7,-7.446068234899846e-8,1.1937190241762134e-7,-1.9409622225129644e-7,3.834687426539992e-7,-2.8793725661933913e-7,7.062913015234112e-8,-1.050599474110244e-7,-8.064699473417058e-7,2.0653234684582073e-7,-1.7405539937577555e-7,3.0141357812157988e-6,1.0636604006302506e-7,-3.3125564191540014e-6,7.290720474818785e-8,1.0120301506529985e-5,4.553820520517471e-6,-7.858079365312658e-8,2.1992655249124887e-8,1.0938198483174924e-7,2.15379440178857e-7,-1.5454410915845512e-8,2.6839656003509607e-6,1.0565838120758238e-7,1.1611633591972492e-7,2.1123885840715493e-5,4.1665406575930836e-5,2.4050375378245354e-11,-3.196599677625789e-8,1.9057190187367314e-6,6.151133065020628e-8,-0.00010196193074362663,3.8519837884314965e-8,-6.887382640058485e-7,1.3448240223636194e-8,2.3010903354371408e-7,1.4026643548667907e-8,-4.7983691855467164e-8,-6.1723899704792475e-9,-2.381719186023713e-8
8.659212998169845e-6,-1.5401157685543472e-6,1.4162998861342193e-6,0.009357831939849405,8.799328775187473e-5,-6.626105310162826e-5,3.5408774223357083e-6,4.38771201328079e-6,-1.663288849596844e-5,-4.0192799662008395e-7,1.570484280780609e-6,0.00022464604839905755,-0.00015069135178734548,-0.00023874982942163667,-6.348857805429215e-5,-0.00026298062188345836,2.207634959162127e-5,-1.4695101822517024e-5,-2.8218354822625213e-5,-0.001010865860503845,4.637543217827567e-5,-9.4456982300218e-6,7.618114211715041e-7,2.2235143421787074e-5,-7.186088931706334e-5,2.617156418716798e-5,-3.396502453130609e-5,0.00040011141810588285,6.343552894597614e-5,6.0211993661425705e-6,0.00031263888552312137,0.00012483888576610922,-0.006680932719614616,0.00017428976326886245,0.008122933804535711,0.0007241210321487296,-7.008972750968708e-7,-5.4854646623984616e-5,8.266041168444443e-5,7.249038356609718e-5,-5.222001472465548e-6,0.0010175713742829541,-2.1108686679802457e-6,1.9549758082654104e-5,0.0029860486704284504,-0.022617312932955772,-1.0117651291089868e-8,-1.621160974351028e-5,-5.5199190183133854e-5,6.718072133302897e-6,0.021614762434348376,7.209388814503385e-6,-3.585048625723391e-5,-3.094972611835082e-6,1.9585941730077278e-5,1.5773017627632874e-6,7.056484696393861e-5,1.853303646346855e-5,-5.189102238593883e-6
3.675079413340438e-5,2.973944274235922e-6,-4.054832990490036e-7,8.799328775187473e-5,0.0001231498756674157,-1.5330920776491248e-5,1.263450553715118e-6,2.938342241354892e-8,4.234223780951319e-7,-3.633320467399751e-7,9.676299730795653e-8,1.7204096672666257e-5,-7.888670055763541e-7,-8.108975858700982e-6,-9.646656759450543e-6,-3.0102290465731018e-5,-1.372066412959618e-6,1.2559646806585867e-6,4.576817019421016e-5,-3.7815461038740627e-7,1.939994906420553e-6,-3.1625568540032115e-6,-2.5023886307532546e-6,4.100214871939999e-5,5.124627384676176e-6,-8.829128380863496e-6,7.889257842524623e-6,-5.465685973144888e-6,2.2572680751568683e-6,-4.582810879667834e-6,-5.1176125608947606e-5,4.251507929905425e-6,0.0016855110610479486,-4.416755518629661e-6,-0.00014161084766932738,0.00017989199746247438,1.6328265547403338e-5,1.2974242055897292e-5,1.686422849913727e-5,5.01554751548767e-7,5.616523704911659e-7,3.711792184288677e-5,8.265987973051925e-6,8.807670127000156e-6,0.00012349887596410373,0.0009831320612777143,-1.1308934969760937e-9,-2.3477263859089086e-6,0.00013031035048161405,8.597321087437628e-6,-0.0009970160230377409,-1.6383331980168578e-6,8.960321575604218e-7,-1.1416959174785481e-6,6.978674113190082e-6,-7.475251254613542e-7,-1.6937181987953916e-5,1.0148906098996766e-6,-2.4620898986826226e-7
0.0005584056924887471,3.2228831841787635e-5,2.7340646240045007e-8,-6.626105310162826e-5,-1.5330920776491248e-5,0.0007046060608394613,1.2549317638396932e-6,-7.375981516062865e-7,9.535301504098175e-6,-4.5533185671465874e-7,3.578034930521218e-7,-7.36283428026797e-5,1.2020550995378208e-5,-2.562387695270883e-6,-1.9093905188910943e-5,2.3871285511339125e-5,-2.3378762606667796e-6,2.3297269865935627e-6,-4.5900714020487874e-5,-2.7297405996732405e-5,-7.273720268013599e-6,2.7294176931437053e-6,8.393339631951265e-6,7.27031241009041e-5,-4.9291854005992984e-5,-1.0023940199398251e-5,-1.0875537133903221e-5,-0.00012717792064623405,-3.3399705545529556e-5,-7.666524617400651e-6,1.33052223639518e-5,-1.7408940046797206e-5,0.0025937885116998818,-9.176604714475742e-6,0.0020912205181318365,4.8888709975095e-5,2.831609225287933e-5,3.2041491258890765e-5,-1.4335849646217365e-5,1.2055576176363411e-5,-8.383789605575153e-8,0.00010092413284444879,-1.5747856579670898e-6,-2.6215074192634704e-5,-1.7561568030108447e-5,-0.0037759852087808432,-2.2660801028155997e-9,7.144036308185995e-6,4.01667952205635e-7,-1.8173527825540427e-5,-0.004521555436408443,-3.7791982725389593e-6,7.835418641307052e-5,2.9817171067637734e-7,-3.4216872797946117e-6,-1.0169662722679915e-6,-5.1000498982798e-6,-2.829043426390685e-7,-1.3078731737315309e-6
1.6626580608122162e-6,7.380866223764343e-8,4.299202323224846e-9,3.5408774223357083e-6,1.263450553715118e-6,1.2549317638396932e-6,5.667920286656677e-7,-2.666183768319336e-7,-8.451431028388717e-7,-1.2902009731703573e-7,1.0887430462208285e-7,-8.198247531265056e-6,-1.4952617881764259e-5,8.847451304310904e-7,-2.4140785855505236e-6,-2.553606306324795e-6,-4.118037761123837e-8,-4.6397087171155365e-7,2.555296696300858e-6,-1.1383319264523217e-6,-2.9368552338530028e-6,2.5979858655361776e-7,-8.268339609535111e-7,-5.7795717411223645e-6,-2.34729671158702e-7,4.422679698583593e-7,-6.844949998712114e-8,2.2252123919291367e-6,-6.632597651824745e-7,4.876481299228829e-7,3.03271287225822e-6,3.1342359250324165e-8,3.0826884490354316e-5,-1.5688553602248868e-6,1.484586201539364e-6,-7.603382746750894e-6,-9.003283153556131e-7,-6.500000917153748e-7,-7.968240111609605e-7,2.1224300921568319e-7,8.104793611673812e-9,2.7366295293371115e-6,1.4113308696153522e-8,2.4669512830017998e-6,3.374213321859303e-6,3.5699781968663133e-6,-2.4646825293979172e-11,-3.222916899627024e-8,-7.865085014354256e-8,1.5247494557628873e-6,7.940990147575945e-5,1.4221333504617563e-8,6.451618666984212e-7,3.703759407074889e-8,-9.387067447989828e-7,-6.592535600102093e-9,-1.4396014180839029e-6,6.659995822825641e-8,3.3954507072861927e-8
-3.0360027114520185e-7,-1.3026722611832128e-7,-3.1606949357163804e-8,4.38771201328079e-6,2.938342241354892e-8,-7.375981516062865e-7,-2.666183768319336e-7,1.450678366761561e-6,4.14134444219992e-7,-3.022941609193902e-8,1.4099780808218996e-7,-9.840663130780224e-6,8.349206421375812e-6,-1.6535015952084869e-6,8.225542673674264e-6,-1.0479650114927472e-5,-8.713964004911558e-8,4.935634052115806e-8,-5.253400668379629e-6,2.8102114659634942e-6,8.477475394420464e-7,-4.3623350173665124e-7,1.08921226134598e-6,3.7191349532084833e-6,-1.1129085049354476e-6,2.2151894414077933e-7,-4.173952847599355e-9,5.384916507311326e-6,-1.764703314278527e-7,2.2089579356117795e-7,2.1153046904785933e-6,-1.087824000978955e-6,-1.4975615681423712e-5,1.685893420672319e-6,-9.157152341539337e-5,-2.19673249003631e-5,1.9200644081264422e-7,-2.450911933167169e-7,-7.78139158526536e-8,1.0888287002099572e-6,1.497472899864078e-8,6.867742045325592e-6,1.4168775702112428e-9,-4.12179973909106e-6,-4.168603260637401e-6,8.834635213017876e-5,1.7941312885421626e-10,4.277682512835205e-7,1.7068718578535602e-6,-2.426998539079606e-6,-0.0002555700470506159,-1.3941811439248532e-8,4.772387394535154e-7,6.907226460055579e-8,-2.162704473807077e-7,1.7790223417633702e-9,8.954731488846458e-7,8.999122910979584e-8,-8.650070841825383e-9
7.673159597953864e-6,7.114941857494361e-7,6.774345064077135e-8,-1.663288849596844e-5,4.234223780951319e-7,9.535301504098175e-6,-8.451431028388717e-7,4.14134444219992e-7,8.587391689118565e-5,-1.3260780016779594e-7,-3.708046089962805e-8,-0.00010220348647435659,8.029871656220058e-5,1.2582879087739963e-6,-3.8369219008071855e-5,-6.69426348481842e-6,-1.269088528240868e-7,2.707028128258464e-6,-2.077845634716124e-6,0.00010444509123340838,3.970570537820262e-5,1.805670963846961e-7,2.001497699311665e-6,-3.828335302597358e-5,-2.418644406789818e-5,6.085003832903627e-9,3.83904250026676e-6,1.7796878140067623e-5,-2.840324622735189e-6,3.728399741240449e-6,5.8445047022151235e-5,4.561274873483177e-6,-0.0012797076073698087,2.3841084137384005e-5,-8.591057226545339e-6,-0.00023376834894226804,3.3605850632505305e-6,-2.907098961464061e-6,8.9524133698436e-7,-9.226535808467257e-6,1.953397973259028e-7,-4.281765909453011e-5,-6.859782058172467e-7,-2.760453711083095e-6,3.887043486695325e-5,-0.0021389766287084546,-1.6407827750326497e-9,-2.2269750651594683e-7,-1.6572329926392572e-5,1.3453344198332048e-6,-0.002493883877316888,-3.877867299288627e-7,1.5278109789391803e-5,-5.826489833820645e-7,6.026880793283112e-7,-7.972358141061406e-7,-1.0601103122428778e-5,4.610311463865519e-6,-4.317826911166023e-7
-6.069717406363401e-7,-1.8068058939016373e-8,1.1933603119235546e-10,-4.0192799662008395e-7,-3.633320467399751e-7,-4.5533185671465874e-7,-1.2902009731703573e-7,-3.022941609193902e-8,-1.3260780016779594e-7,7.627040607008616e-8,-9.219638591367415e-8,1.371292980537774e-6,4.069834042115996e-6,-9.617000324324884e-8,-1.5469180814576038e-7,-1.671430859758499e-7,-6.9382448840585845e-9,1.8045580960165272e-8,-4.4355898630360055e-7,-6.43686566751975e-7,4.438672004031262e-7,-4.915920778568568e-8,6.5284091648852826e-9,2.891246832452883e-6,2.3298381399488128e-7,-1.3431749327416332e-7,4.522111924532945e-8,-9.920153040659496e-7,-9.411105450530498e-8,-1.2856442390291913e-7,-1.7457479514404847e-7,1.4381409500469923e-7,3.254185179099139e-7,2.916816046446236e-7,-1.3546079572940361e-6,4.36795276662392e-6,4.41493520014855e-7,3.7782467574079294e-7,1.1150318450242589e-7,-3.62618982414341e-7,7.987322364798604e-9,-2.2176425925382133e-6,5.646402579544201e-9,-1.9380487512855846e-7,-3.287169678804103e-6,9.098512860756142e-6,-7.896328546451124e-12,-4.042581454952813e-8,-3.8613808409758365e-8,-2.0006675265811825e-7,2.3516460716314545e-5,1.1607664281796561e-8,-6.158330665763249e-7,-9.437099750416643e-9,2.6401696594953765e-7,-4.2631896017820654e-8,4.336657708913871e-7,-3.3963069192447954e-8,-1.0520675725614787e-8
