metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,17.920044934426883,15.513739948273535,20.269654877171067,17.920044934426883,15.72103705790461,20.269654877171067,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2100,51.87887766149565,40.183377292393764,94.53884286921027,54.161699149030284,40.020142122086426,94.53884286921027,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2130,84.60709282129962,51.438174624041956,161.0273292390178,88.05564043125072,50.846706505602015,157.65436934187184,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2150,108.77785501972497,58.05666781090516,203.13787326489688,111.04217962826803,57.15919760089032,199.1047814613272,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2180,139.64347173647445,67.34590060226333,260.8198098600352,143.04446462932265,65.93889351018727,260.8198098600352,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
total@2300,258.1216708747327,93.27904311612113,487.2867764625055,265.0161535417414,90.56864419424203,494.6790342486347,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
ais@2130,40.55198162160994,6.365092562387625,113.21704403653261,41.106229929401685,5.892541318495401,109.36569604748887,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
gsic@2130,8.816470113229677,7.220122323701012,13.297956502878666,8.947980694096639,7.2547716201800005,13.006308651123499,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
gis@2130,9.008919303477517,7.45733707140953,13.678524285787494,9.008919303477517,7.258766960826581,13.48712078750255,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
te@2130,24.025498111463094,22.33341762985909,26.618112298358433,24.025498111463094,21.841737280522295,26.96474551264838,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)","+10 GtCO2 @2030, SSP2-4.5, paired in-process per (config,draw); mode=zero",SLR cm; pulse marginals are cm per 1 GtCO2,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/3 uniform; forcing marginal untouched); c=0.05495, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",5b7a9c3-DIRTY
