x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55
8.158745961283488e-7,7.29781771474817e-8,-1.3544254278391496e-9,-6.649299965497955e-9,1.752390692998499e-8,8.89662827861034e-7,8.703749765647599e-12,2.365683402771449e-9,-4.3581322523748776e-8,-2.65081504750586e-11,-5.127113844851093e-10,7.475287979054103e-8,-1.8662575026316156e-8,4.6055837120471805e-8,1.3199910122186956e-8,3.160669957226274e-8,-1.9989033568747295e-7,1.2306871743599627e-7,-8.621298300179898e-8,4.831261395065713e-9,-4.398372074292409e-8,-2.2039583873990588e-8,-9.851280972843415e-8,1.9065105846993685e-8,6.178149100284428e-8,3.357858775499422e-7,4.859818029186664e-8,-1.1673806458734428e-8,-1.0347321207564415e-7,6.995745208219002e-9,5.983085181362029e-7,2.6218512867290436e-8,9.177885851572749e-7,5.668005073721242e-7,2.3506958981383592e-8,1.401978464282352e-7,-5.900139113940936e-8,-5.295368004144565e-8,7.973811043266962e-8,2.5499498549857303e-8,-8.925700922928578e-10,2.6359524756835855e-7,7.515229991522125e-10,1.0056132766924523e-8,-2.9018105667364757e-7,-5.4073577744474105e-8,9.041020698128079e-12,-1.0371273339658339e-8,-1.8396223371974826e-8,-8.203506407139637e-9,6.129154561471952e-8,-5.3420394008209454e-9,5.044729075233845e-8,-8.270247237007933e-9,7.29142853198439e-9
7.29781771474817e-8,1.1059771831883974e-8,-5.94211714109764e-11,3.4161957433804755e-8,-6.623878294795675e-9,8.589364873783964e-8,-3.2463241755893606e-10,1.8578954006692385e-10,-8.235942684954505e-9,7.140904154719918e-11,-7.541918038867724e-11,2.0312666458287352e-8,9.169620640851898e-9,2.3311290109923995e-9,2.3990890305804015e-9,3.22849852077822e-9,-1.8397438948121005e-10,2.3939745866064606e-8,-6.587383907330672e-9,-6.832548772776942e-10,-3.801171990838209e-9,-4.4189387728005145e-8,-3.6520084984572395e-9,5.629194218548044e-10,1.0847796562758347e-8,3.581697152322163e-8,4.941471062934968e-11,-3.3532728064653297e-9,-4.2070712611870966e-8,-4.125314580403908e-9,6.91132940929417e-8,6.97537989692141e-9,2.366222388651592e-7,-2.527571905626952e-9,3.712668486704836e-9,3.492682720666666e-9,-7.780256151429552e-9,-7.578199502476985e-9,-4.690560310723304e-9,1.7639959750779718e-8,-1.1382034939242799e-10,2.0095527711911007e-8,-1.5767885595252002e-10,-1.2040731752290274e-8,-5.3594603738902296e-8,2.572964426543763e-7,-1.216646783975471e-13,3.3026378021572983e-10,-1.1797157565664803e-9,-5.58310917108269e-10,9.12797000864815e-9,-1.1653648047064576e-9,7.118811540527221e-9,-2.133365058422561e-9,1.8049786966997132e-9
-1.3544254278391496e-9,-5.94211714109764e-11,2.019921920076179e-11,1.394513044273103e-9,-9.286592707773412e-10,-8.92612557509632e-10,-1.3073311604319533e-11,-1.872963561808672e-13,-1.6584505028018282e-10,5.319844370969406e-13,1.5888169696200877e-12,9.096405174637184e-10,1.7182196109790338e-9,-1.391385899147385e-10,2.3373328721178387e-11,-6.9895941788949494e-12,3.564195188560007e-9,-1.3290150234585095e-9,1.0988539409985552e-10,-6.603128131656591e-11,1.6785355249943237e-10,-1.7980709322918195e-9,1.4842177888675488e-10,-4.5729098689032974e-11,-2.3982648473833164e-10,2.0361610069806694e-10,1.988604197898788e-10,2.0937369103716662e-11,-3.640378350919269e-10,-1.2749931099597845e-10,1.5702574959003697e-8,-3.688113612821899e-11,-3.0659101784573015e-8,-9.315836657189497e-10,-9.997691482468808e-14,-3.962443075113774e-10,2.0254216195827916e-10,-7.619877511231326e-11,-6.15709486071992e-11,2.8500276299197523e-10,1.831323674632047e-11,-2.2226730797549356e-9,-1.564264308004737e-11,-2.5490476798215775e-10,1.5369831296236447e-9,1.2152756648579545e-11,-2.0882684992400547e-14,9.879902927820736e-12,-1.5069827327062474e-10,-2.827410449574707e-11,2.396268999261504e-11,-3.632332146623572e-11,7.49655738091383e-10,5.085055788550651e-11,-6.438490405751992e-11
-6.649299965497955e-9,3.4161957433804755e-8,1.394513044273103e-9,7.115817806929332e-6,4.2648807823520036e-8,1.821939060739831e-8,-5.081766188872178e-9,1.5801275727931513e-9,-4.997478332398353e-8,-7.508832101458987e-10,3.2753293168271866e-9,4.133895063433182e-7,2.809972424664067e-7,-2.1572644957117644e-7,3.774588866293479e-9,6.650962676797846e-10,-4.2420055877221496e-7,8.660284876213924e-7,-3.120195575308671e-7,-3.7879363025839764e-8,3.766387878578588e-8,-1.0767012607643292e-6,3.546626048108046e-8,1.9149681352010925e-8,1.6100654925865e-7,1.1675347215745807e-6,6.588641778829983e-8,6.416165451903096e-9,-3.587349016231898e-7,2.325840789236483e-7,-8.16240092606351e-7,-7.737173321540263e-8,-3.3599357769648213e-6,2.956554516160181e-6,-6.706955678724613e-8,-5.129922770564059e-7,-1.4148030972235253e-7,-1.7601015680917042e-7,7.518789256248388e-8,3.719413217831951e-7,-2.995072602555915e-10,-2.0873042319759134e-6,-1.3052817187513345e-8,-4.847046443688094e-7,1.4236256363754832e-6,-1.0112323803689939e-5,-3.0392475597377675e-11,1.0098672672656837e-8,1.00361466329318e-7,-2.5327936695795085e-8,1.4002465261847875e-7,1.4859611975761035e-8,-9.630242539968494e-8,-5.157853497637785e-8,-3.0221841356317905e-8
1.752390692998499e-8,-6.623878294795675e-9,-9.286592707773412e-10,4.2648807823520036e-8,1.4715535966527405e-7,-6.082935182473496e-8,9.153907221510837e-10,-6.819451223437857e-10,3.5847128719976216e-8,1.1416032531105108e-10,-2.9274974843996044e-10,-4.4692604672745074e-8,-9.844876328910088e-8,-1.5398033749541358e-8,9.09406631693155e-11,-2.8056855465735572e-9,-1.32157210183861e-7,1.004543227623658e-7,-2.1738294022519718e-8,1.0894416111367718e-9,3.1710108940448166e-8,2.5140075846193676e-7,2.209719662545005e-8,1.1132935666713862e-8,-2.31601629762916e-8,-3.2400042804983594e-9,1.3070413345815317e-8,4.897932863258226e-9,1.1233546453497841e-7,-6.435415447713306e-9,1.0899072910329658e-8,-1.6777447552882604e-8,-5.154339391090841e-7,-2.566140679070309e-7,-1.2345758203303939e-8,2.2471775577268404e-8,-9.514196809384986e-9,-6.248851979479936e-9,-3.2488767789086503e-9,-9.697041414465361e-9,-2.3832368597499503e-10,3.010808544048337e-7,4.062440460804201e-9,4.926439756212147e-8,1.0187390992626556e-7,-4.613646467916797e-7,-3.039774925854524e-12,-6.198389353268223e-9,1.2932323737922124e-8,-5.80684623258243e-9,-2.134659343888528e-8,4.079529871670687e-9,-3.236778899630684e-8,9.916476067853396e-9,3.952468455174638e-9
8.89662827861034e-7,8.589364873783964e-8,-8.92612557509632e-10,1.821939060739831e-8,-6.082935182473496e-8,1.0579396817829203e-6,1.9123834719955733e-10,4.229434967447226e-9,-6.00944372549344e-8,-5.243914457480774e-10,1.9253845942041213e-10,5.1078941000157e-8,4.477629372418611e-8,1.058157956614658e-7,1.6027173225249917e-8,3.5387213239844714e-8,-8.880953063662167e-8,1.486547648421191e-7,-1.1653811735407687e-7,9.665351085949163e-9,-6.44356201520031e-8,-1.6151590343175587e-7,-1.3266891797773034e-7,1.1655243097194053e-8,9.167956654575485e-8,2.806246671125141e-7,2.2596227580575433e-8,-1.6264707276613124e-8,-1.8541852011870606e-7,-1.2616240989303912e-8,8.391785039500856e-7,2.1418652514552547e-8,1.3796914197204672e-6,6.99470347401214e-7,2.967156247218706e-8,1.4791382239738185e-7,-5.753870846897612e-8,-5.75219830987496e-8,1.1339653086715033e-7,1.5462239078269897e-8,-8.606186130659024e-10,2.1389707097903339e-7,-1.0136828181331486e-9,-2.4490109207246345e-8,-3.776756417997237e-7,8.32113447993316e-7,1.1190253633882843e-11,-8.696419686081621e-9,-2.7898416209810355e-8,-8.789363561733917e-9,7.165787778161333e-8,-1.0298445202614541e-8,1.0487564355057885e-7,-1.7510328101947993e-8,5.953550245702319e-9
8.703749765647599e-12,-3.2463241755893606e-10,-1.3073311604319533e-11,-5.081766188872178e-9,9.153907221510837e-10,1.9123834719955733e-10,3.4704905419273747e-10,-2.0271370997654498e-10,4.766707734795367e-10,-7.885264005670008e-11,5.930722139898328e-11,-8.329408638034073e-9,-9.9481364544601e-9,2.020227960260324e-9,-2.3613528141643693e-10,4.900464219477435e-11,-2.1634859465260556e-9,3.1523141032050524e-11,-2.0028688971736676e-9,2.339872566521469e-10,-1.4716254187966707e-9,1.1211018078356139e-9,1.5514926273687247e-9,1.8220995002997477e-10,1.6605987085370636e-10,1.864376199624632e-9,1.8576912510077014e-9,8.140881658743658e-10,3.295831755239165e-10,-1.8096238181574852e-9,2.1604718683879145e-8,-2.5755377265824243e-9,-1.2760752117996472e-7,4.9865966837806694e-8,-3.3260230919464307e-10,1.6040862364771488e-9,5.987115604856952e-11,-4.0134624079581166e-10,3.0371993188008608e-9,-3.922017652309958e-10,4.086651161704271e-12,1.3000746105636066e-8,5.7004084432467675e-11,1.6539685091475294e-9,6.711139353870457e-10,-1.351175651318079e-8,1.2252208175733455e-13,-1.918036169032152e-10,1.3404414536151718e-10,1.378081660703723e-10,-4.480808752799073e-11,-9.457495635736342e-11,4.663023696886953e-10,-5.942824273430338e-10,3.2598591214090897e-10
2.365683402771449e-9,1.8578954006692385e-10,-1.872963561808672e-13,1.5801275727931513e-9,-6.819451223437857e-10,4.229434967447226e-9,-2.0271370997654498e-10,8.83343601591587e-10,2.2294784395101068e-10,-7.548725383672311e-11,1.3558279585004241e-10,-1.591926234757257e-9,7.417670636322974e-9,1.1232455786212913e-9,-1.662553037377368e-10,-6.698144773149275e-11,-9.734170172741736e-9,6.494057218481058e-9,6.430356206629287e-10,3.9806374504964744e-10,2.397317161284473e-9,1.2569306252947814e-8,-3.5660184784301604e-9,-4.677597387158177e-10,1.1873978642871107e-9,-1.2655402741400333e-8,-5.548844871070739e-9,-5.433032900013062e-10,4.015317146350155e-9,3.09606022484785e-9,7.984028121357065e-8,-4.122261355758601e-10,7.396801256251796e-8,-8.743302321803965e-8,-3.7290355653836744e-10,-1.9583092944861553e-9,1.0088996193160563e-9,5.24198274209448e-10,1.562747409152433e-9,-4.480426333836924e-9,-1.1420368936095964e-10,-1.3887851179044488e-8,-9.918367165942512e-11,-2.020625245391624e-9,-2.285800448295748e-10,4.2930960420465556e-8,1.2655818885099987e-14,-5.7631767842180975e-11,5.020742878057018e-10,-9.563574472640586e-10,1.7503879325322224e-9,2.2431456500459115e-10,-4.412231738437345e-9,2.0321600938851232e-10,-1.0199536995580603e-9
-4.3581322523748776e-8,-8.235942684954505e-9,-1.6584505028018282e-10,-4.997478332398353e-8,3.5847128719976216e-8,-6.00944372549344e-8,4.766707734795367e-10,2.2294784395101068e-10,6.571293242612508e-8,-3.653561045111139e-10,7.003474847998327e-10,-4.96536481653283e-8,1.4575521069731358e-8,-2.0636443770485143e-9,1.568660901686939e-9,-7.745530931844e-9,-1.2680018090283536e-7,3.6701217107845573e-7,9.747929635736743e-9,1.380453474063696e-9,-9.225785381736963e-9,-8.687268606717325e-8,-4.966406301426661e-8,-2.438745961785252e-9,3.540985938226988e-9,-5.4653954485849416e-8,-3.8833886006181414e-8,1.7944078934579424e-8,1.529573094781294e-7,-1.708760247592662e-8,-4.991240231330312e-7,-4.134112709895716e-10,-9.401010750379533e-7,-1.0366876255932215e-6,-9.001115467928991e-9,-3.5891421543109345e-8,1.4673931246097306e-8,1.1463499287194923e-8,1.6840325881426457e-8,-3.6837736159487216e-8,6.485420414171889e-11,2.2205895730481287e-7,-3.0414530013693306e-10,4.3860636522032276e-8,8.792938510568847e-8,-7.040756808394814e-7,-2.0999590319946575e-12,-2.3171487226885985e-10,-2.8468246985250056e-9,-3.429459484654725e-9,-2.057081454328686e-10,4.9088116042518074e-9,1.2389910887348415e-9,6.145155452386162e-9,7.667277288052808e-9
-2.65081504750586e-11,7.140904154719918e-11,5.319844370969406e-13,-7.508832101458987e-10,1.1416032531105108e-10,-5.243914457480774e-10,-7.885264005670008e-11,-7.548725383672311e-11,-3.653561045111139e-10,6.015371963632113e-11,-8.111751782016931e-11,-1.8523083563276446e-10,7.185893167050466e-10,-8.954927535538587e-10,8.696916269657985e-11,-4.692140883029786e-11,2.95967970933632e-9,-1.3216907774067013e-9,4.916375828723677e-10,-5.8655536768397e-11,3.5348720324799884e-10,-8.140276255667867e-10,-8.592785864359229e-12,9.376175363292369e-11,-5.772678929274464e-10,8.305359778316592e-10,1.0051509148815738e-10,-1.5934542394447277e-11,-4.064260490768166e-10,3.350609124073773e-10,-3.345331688377818e-8,8.956595400430693e-10,4.333461583615773e-8,-4.935928777733757e-9,1.9384750106580005e-10,2.490946307926027e-10,-1.5084991835272803e-10,3.15288471073584e-10,-1.721863058101496e-9,4.5405484839337676e-10,-2.4926246830942424e-12,-2.2984647893141105e-9,1.3677273640425468e-11,3.2557689684627025e-11,1.2812529469296917e-12,5.918065538437018e-10,-2.313242291987831e-14,5.964995940945955e-11,-5.795832567564596e-11,1.4281341151953506e-10,-5.649933270211993e-10,6.23182474305882e-11,5.462699830802407e-10,1.8285182255917076e-10,9.340189323013527e-11
