ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,gis_c1,gis_c0,gis_f,gis_alpha_f,gis_beta_f,gis_slow_ell,gis_slow_w,gis_amp,gis_s_high,thermal_alpha,gic_a_R19,gic_b_R19,gic_T_off_R19,gic_log10_kappa_R19,gic_a_SLOWP,gic_b_SLOWP,gic_T_off_SLOWP,gic_log10_kappa_SLOWP,gic_a_FAST,gic_b_FAST,gic_T_off_FAST,gic_log10_kappa_FAST,gic_amp_R19,gic_amp_SLOWP,gic_amp_FAST,gic_u_unch,gic_delta,gic_u_pre,gic_s_r5,d2_gsic_1,d2_gsic_2,d2_steric_1,d2_steric_2,antarctic_lambda,antarctic_gamma,antarctic_kappa,ais_gmst_amp,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip0_LOG,ais_runoff_Ton,ais_c,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric
0.00039194214013800113,3.962260059216676e-5,-1.2213220918708308e-6,1.4623483950966663e-5,1.8675048238367602e-5,0.0004417345385560637,-1.0987633519965793e-6,-1.294887920430755e-6,-7.2869000225210234e-6,3.2566518998829284e-7,-4.4547831920740447e-7,3.615106867520589e-5,5.110446575830665e-6,-1.3966891505567555e-6,4.043510297327913e-5,-1.4939263741828996e-6,5.869324355949029e-6,4.464315997315814e-5,9.75457851302093e-5,-4.462000344183234e-5,-1.694904447503406e-6,4.246186233370827e-5,4.1886904691132696e-5,4.442237301863706e-6,7.332289216718568e-6,-6.988146142575163e-6,5.7478640750059315e-5,-1.0680207221127604e-5,8.048752338005277e-6,-8.025029536345353e-5,-5.80124290185094e-6,-0.0018379704266215607,2.4403586010025705e-5,0.0005964958004739901,-0.0006898286406172998,-2.380698206069702e-5,-1.820090074135854e-5,-2.1118807356407494e-5,3.897789278539045e-5,-1.5724827315088827e-7,1.740092261038826e-5,1.3340698583735447e-6,-4.882896902214158e-5,-0.0003427489943749324,-0.003567488019409088,-4.4542198108417816e-10,8.7662402057462e-6,6.0540898106493186e-5,-2.5255151738625853e-5,-0.007172271958620067,-2.8325250964785376e-6,3.1672363957538674e-7,5.806247425629935e-7,1.3372889767878603e-5,-3.932672675855107e-6,7.0567910211391144e-6,2.5627000138293765e-6,2.1813428163597816e-6
3.962260059216676e-5,6.183878482926328e-6,-9.16850018608876e-8,2.6097970369322197e-6,1.2783961297444982e-7,4.838797585871856e-5,-1.3534016547451096e-7,-1.3926707525040563e-7,-1.8381821535219895e-6,3.942258097501225e-8,-4.3380881429114423e-8,7.659753796864437e-6,5.307957879613707e-6,-3.7747786551489122e-6,2.7072307555180936e-6,-2.3443365858674822e-7,4.456735445326949e-7,5.815209589665492e-6,1.2431947381751524e-5,-6.638497768513523e-6,-5.784913718213276e-7,4.682795624778282e-6,9.12008015377334e-6,1.2888996007460013e-6,4.429957047594828e-7,1.3729274860774673e-6,7.994979946169134e-6,2.6199622197998458e-6,-1.3232676375706614e-7,-1.3766670555608756e-5,-3.2100989112182833e-6,-0.00021341196166056663,2.8822813193481276e-6,-2.0845272156917145e-5,-0.00010469041175134162,-3.2016255413616574e-6,-2.39760196421752e-6,4.0450429968656486e-7,1.606183520787056e-6,-5.285091439046015e-9,6.548946978066068e-6,8.508880292838429e-8,-1.7948396516697243e-6,-9.866290152544736e-5,-0.0006821899606936846,-8.2216949511636e-10,-2.6528515523676712e-6,-3.2641383671164824e-6,-1.7690928638870537e-7,-0.0009353276208774529,-2.824153638995573e-7,-4.1589449185935845e-8,1.5569480062184215e-7,1.7978925173240537e-6,-3.8589198192416896e-7,-5.322182666393311e-7,-1.4907855429668566e-7,1.6258393391261851e-7
-1.2213220918708308e-6,-9.16850018608876e-8,1.2697980578622868e-7,3.0223072627854737e-6,-3.7045412049928807e-7,-1.1057815248676643e-6,-7.819185112651412e-10,-6.801110747888604e-9,-1.7895465826997987e-7,-1.8361080508006018e-9,1.1671705736672433e-10,-4.824064627446135e-8,8.459637202818498e-7,-4.3494253331677246e-7,6.687484692360471e-7,-4.9767750384107894e-8,1.0626524083797475e-7,-1.3493977226987274e-6,-1.6232190190903575e-6,-1.2392646906244866e-6,1.9215492913972195e-7,-8.107537915101428e-8,-8.641401057126927e-7,-1.8094946486120712e-7,2.6075046486794052e-8,2.1318273586725104e-7,1.8855661390997327e-6,6.883652569107153e-7,8.79604740825952e-8,2.2019299740421307e-6,-4.956691964924996e-7,-2.5322656955102083e-5,3.5387911317347664e-7,-6.487599756669234e-6,2.8378120784206198e-6,-4.198052833750928e-7,-2.717619931524355e-7,-5.124397991312137e-7,3.5727012952022213e-7,9.174698549177352e-9,8.755618979274339e-7,2.133629473397515e-7,1.2455430915729779e-6,5.163681910505973e-5,0.00014244458120699855,7.148202163713563e-11,-2.1711640465683917e-7,3.5321757875079044e-6,6.620083674922582e-7,-0.00022743028577787953,6.180549554625919e-9,-3.2434940059913775e-7,-4.5366084875183546e-9,2.643961835216618e-7,5.967770571028223e-9,-3.145780682517522e-8,-8.099929694518207e-8,1.8929275697198287e-8
1.4623483950966663e-5,2.6097970369322197e-6,3.0223072627854737e-6,0.009597337332346976,-3.325768473086785e-5,5.366257456457159e-5,1.5219267835714112e-6,-4.6077231153303564e-6,0.00013696904063487762,-2.7263924735141265e-6,1.8653773451977628e-6,-0.00045486837507755667,-3.260926124566438e-5,-0.00016697068104678522,0.00024224216323463375,-4.470872517477435e-6,-1.874197110330465e-5,0.00035749689470905094,7.83192754193681e-5,0.00010202744773937213,4.128400686182309e-5,2.693033023129445e-5,-0.0005696434757536178,-0.0001725214453426034,4.11427687913369e-5,-4.772145045112628e-5,0.000123821489276507,-3.685061020933918e-5,2.469660484278843e-5,-0.0006684893425616022,6.280422064881248e-5,-0.008727869159333738,3.7124504910893917e-5,0.0014355473210619434,-0.001442823526658965,-7.0978304138032e-5,-6.744452725572656e-5,-7.508269573946457e-5,6.46883194016398e-5,3.206381294047732e-7,-0.0008821504226495672,7.469763388563959e-6,-8.069401382425997e-5,0.0010906914986241315,-0.026966995076953527,-1.5809405423596822e-8,2.7355466014984775e-6,0.0001317034988573096,-5.049443668248303e-5,0.037246396685597614,-1.2290413644926902e-5,0.0001885622884066247,9.291501364152324e-6,-4.083026140265164e-5,7.082025342222419e-7,3.4540798962805466e-5,4.653880832742788e-6,-3.0822593703300265e-5
1.8675048238367602e-5,1.2783961297444982e-7,-3.7045412049928807e-7,-3.325768473086785e-5,0.00013584860501401024,-5.331784511712891e-5,2.7805760759253967e-7,5.259549973982566e-7,2.627067412719695e-6,2.2543765237375697e-8,1.870377752661426e-8,-4.1624528897480996e-6,-1.5849205918703838e-5,-4.4685862939713586e-5,-2.3109075245988394e-5,-4.173144068059649e-7,-4.037151015489184e-6,0.00011928030159293603,3.332082532958658e-5,2.0562606489021175e-5,-7.01331222515688e-7,3.1020266092441708e-6,-2.5543421967452305e-5,-8.837917545655544e-7,-2.7043837611363183e-6,-5.795562935942805e-6,-7.979834511059745e-5,-1.9189092023232166e-5,-5.447456089573303e-6,5.56416342006128e-5,-1.092599163564745e-6,0.00012471303847456285,-2.2726294702729873e-6,0.0002709303385497639,-0.0002400682006048776,1.1275634448435677e-5,1.1684310135152746e-5,-5.552002119464389e-6,-1.5913050310868625e-5,-6.486516944473589e-7,9.413552441519442e-5,1.4091620798618191e-5,4.799082593889449e-5,0.0005773233343052799,0.003239702932743254,1.8281605911329942e-9,2.809890664878877e-6,0.0002498240892825917,3.5351189788882026e-5,-0.004854638033545635,-2.793362831496557e-6,3.9649541076154785e-6,9.785762662165526e-7,1.2758874230763284e-6,-1.2664048534766782e-6,-1.1717293579992612e-5,-2.9987815540660333e-7,1.939224332843824e-6
0.0004417345385560637,4.838797585871856e-5,-1.1057815248676643e-6,5.366257456457159e-5,-5.331784511712891e-5,0.0005697120002598408,-1.1925691065011784e-6,-2.4685758928466367e-6,-1.0146545269091891e-5,3.39266207606415e-7,-6.493638220790314e-7,3.8801178495387155e-5,2.088230154086171e-5,1.3001892759190323e-5,6.613400901546706e-5,-1.1653102034586333e-6,7.589190921301773e-6,-1.4047032793592394e-5,7.310875169592448e-5,-5.516338293573879e-5,-1.8115749098656671e-6,4.815309659001751e-5,0.00010245606618657728,6.213859356538647e-6,1.0003785310769383e-5,-3.880231815269349e-6,9.464284959423122e-5,7.499973863601402e-6,8.101440866304423e-6,-0.0001331076966353721,-6.44709605548435e-6,-0.0023969636079497537,3.2494870239801205e-5,0.00019224767169122523,-0.0007031671690453404,-3.307584907513921e-5,-2.6465546937263916e-5,-2.1746662995027475e-5,4.949027246998651e-5,-2.0303800700831685e-7,6.935112413633955e-5,-4.688168797281744e-6,-7.585724784996053e-5,-0.0008861278645628165,-0.005467076712570915,-2.517967599762986e-9,2.531679921736973e-6,-5.079909045590287e-5,-4.932846108076682e-5,-0.005932822948382523,-1.5542915652213129e-6,-6.265162751563719e-6,-7.738524478860376e-7,1.7145051653372527e-5,-3.1905168280548977e-6,8.190992280628536e-6,2.7949271208036295e-6,1.7411914770273984e-6
-1.0987633519965793e-6,-1.3534016547451096e-7,-7.819185112651412e-10,1.5219267835714112e-6,2.7805760759253967e-7,-1.1925691065011784e-6,5.983800677140055e-7,-2.3304966628227425e-7,6.73377771439877e-7,-1.348068349636166e-7,9.501085793720696e-8,-7.69985450945931e-6,-1.426863452495833e-5,1.928128290658672e-6,-5.94802028876121e-6,4.487958759974674e-8,-2.7877243288621837e-7,1.0218334558993946e-6,1.3596082814863466e-6,-1.1736859272013933e-6,-2.7326541683899348e-8,4.95567439643517e-7,-5.047807659493084e-7,-8.383631807846477e-7,-2.744952699019117e-7,1.72271868825541e-7,-1.6878660024096263e-6,-2.433240687938064e-7,8.083301828654798e-7,-8.502261742865799e-7,-4.6135623569720785e-7,1.585518567153955e-5,-3.552367783740733e-7,-1.2576288409869266e-5,-2.2129869982844914e-5,2.0747777045503572e-7,6.217899857696098e-7,8.410214204794563e-7,7.65892902311991e-8,7.435170193114578e-8,7.504602205010321e-6,2.306308934260124e-8,8.371824921086586e-8,6.715078180155785e-6,0.0003308244662160233,1.826331192546142e-10,5.648405387707174e-8,5.177892091014685e-7,-7.173205566942869e-8,9.326135921268831e-5,-2.1168189000465046e-8,4.815803945037337e-7,-9.751466315075087e-10,-1.4545672198948343e-7,-6.691644379481697e-8,-8.612689347892094e-7,-1.2454664692374986e-7,2.1578118796272913e-7
-1.294887920430755e-6,-1.3926707525040563e-7,-6.801110747888604e-9,-4.6077231153303564e-6,5.259549973982566e-7,-2.4685758928466367e-6,-2.3304966628227425e-7,1.7568056621974456e-6,1.3711068109418602e-6,2.7325189257386868e-8,8.636975731313922e-8,-1.0946660167546745e-7,1.0307354709714319e-5,-8.169374606271539e-7,-2.3123106641686406e-5,-1.1678811345507527e-7,3.42315705323829e-7,5.31708899285737e-7,-2.2067968751256963e-6,-9.870684101927322e-7,-2.2058918813334558e-7,3.7814343931407e-7,3.6396545780360373e-6,1.7813266603488242e-6,-1.4994811369519554e-7,1.5249752798728937e-7,7.182723606044321e-6,1.7728442527294984e-6,1.3281962622978916e-6,-7.899947141011076e-6,1.9108455338672117e-6,-7.178388490315924e-6,1.0354368838508568e-6,3.787121037727955e-5,-1.354635444755282e-5,1.3335039370991884e-7,-1.5936593103803383e-7,-1.5549483185554052e-7,1.4623543301269117e-7,-4.0208852045134275e-8,-8.148549308963547e-6,-2.3248989174254528e-8,1.3952425809532925e-6,-2.080741176220314e-6,0.00042118669126734853,1.9593956462776014e-10,-1.1765013406947767e-7,-1.0778536199319343e-6,4.72757227418954e-7,-9.328292614745287e-5,7.394248996712648e-8,-8.319592988685671e-7,2.4276435613970703e-7,8.980960518154979e-8,1.908042685042103e-7,2.044734697831589e-6,5.842760705829016e-8,2.5376216572953284e-7
-7.2869000225210234e-6,-1.8381821535219895e-6,-1.7895465826997987e-7,0.00013696904063487762,2.627067412719695e-6,-1.0146545269091891e-5,6.73377771439877e-7,1.3711068109418602e-6,8.442857373203894e-5,-1.1347702278129199e-7,-9.649614114752888e-7,-0.0001385604950909197,7.712688102664338e-5,1.5945447198025756e-5,-7.320349280855094e-5,8.606571109160039e-7,4.172402009318523e-6,-1.6671574093609562e-5,1.896905891687892e-5,4.629290561520569e-5,-3.2590686926397807e-6,-6.305841663347045e-7,2.7212226526870934e-5,-9.202284058461236e-6,-9.507644195977766e-7,3.0035606167319683e-7,-3.1058113480850185e-5,-3.116816321093828e-5,-1.4676702288149047e-7,9.247979264724614e-6,-6.626162824579489e-6,0.00010359062602786016,1.6151642803637167e-5,-0.00015727943539243936,-0.00023415742812999278,1.0634006051484777e-5,7.539871396551041e-6,1.8119398121165084e-5,-3.16284971087581e-6,5.754454646275278e-7,-0.00013650975969219887,-1.294495249885993e-6,1.8668272794938302e-6,6.542911866046871e-5,-0.0015039338691472542,-4.414513004326948e-10,1.1990571697203556e-6,-1.9382138951291735e-5,-1.918339178048673e-6,-0.0005272878395621918,-9.997964489645083e-7,5.976411212624956e-6,6.850526403678891e-7,-4.113477292939823e-6,3.703441457490223e-7,-5.41385370651029e-6,-9.481364297831917e-7,1.3440100528680824e-6
3.2566518998829284e-7,3.942258097501225e-8,-1.8361080508006018e-9,-2.7263924735141265e-6,2.2543765237375697e-8,3.39266207606415e-7,-1.348068349636166e-7,2.7325189257386868e-8,-1.1347702278129199e-7,6.81618580217222e-8,-7.486559347374716e-8,2.241812198172045e-6,4.639021735651139e-6,-3.2418263300705245e-7,-1.2236393250815888e-6,-6.177269851528256e-9,9.449859324207068e-8,2.838141795300514e-7,3.802506633300197e-7,2.4121597846362905e-7,5.374020855587031e-8,-3.487929810034205e-8,-1.6747649196756843e-6,-6.457334444816321e-7,5.296451592669882e-8,-9.472037518097943e-9,6.553081759948659e-8,3.1492688871093436e-7,-3.206110592842819e-7,1.6849420018003576e-6,5.05843964879776e-7,-2.930857985812438e-6,-2.5679360013009166e-7,-1.5918008394780712e-5,8.129870149927293e-6,-1.3889983794120167e-7,-1.0704012620850886e-7,1.5625330953363547e-7,-4.890601116812071e-8,-6.922328127572691e-9,-3.4688366383453297e-6,1.8968715876951356e-8,8.728410665079842e-8,-2.529896270965214e-6,2.126919339755031e-6,-7.273997311676016e-12,-1.9241713566146266e-8,2.4433702759897987e-7,-8.164002150287151e-8,-3.293969760129352e-5,1.524398743761441e-8,-1.2811658094407833e-7,-5.322627240636191e-9,1.119510162473782e-7,1.8895964066383468e-9,8.919031193481669e-8,-3.0619578682787174e-8,-1.2426823961236205e-8
