param,rhat
ais_ocean_temperature₀,1.1342633172175138
antarctic_alpha,1.2881288949560465
antarctic_nu,1.0312556185773882
antarctic_temp_threshold,1.0004084544982839
anto_alpha,1.0425765234635003
anto_beta,1.2170214226170388
gis_c1,1.071455845279818
gis_c0,1.1117153676574048
gis_f,1.1148052757455211
gis_alpha_f,1.009845713182388
gis_beta_f,1.033381386213302
gis_slow_ell,1.069732856690146
gis_slow_w,1.0035576321426274
gis_amp,1.0038151375952593
gis_s_high,1.0032022468324915
thermal_alpha,1.0003738944836729
gic_a_R19,1.0008937709493413
gic_b_R19,1.0040493783006703
gic_T_off_R19,1.0033541744314713
gic_log10_kappa_R19,1.0134774990287432
gic_a_SLOWP,1.0022689896420833
gic_b_SLOWP,1.0048796884685804
gic_T_off_SLOWP,1.002455381339325
gic_log10_kappa_SLOWP,1.0015915627096255
gic_a_FAST,1.0054683007073604
gic_b_FAST,1.0045309600282109
gic_T_off_FAST,1.0022748936268742
gic_log10_kappa_FAST,1.0015532354966303
gic_amp_R19,1.0126488955754966
gic_amp_SLOWP,1.0018897812319385
gic_amp_FAST,1.005323726233642
gic_u_unch,1.0016547824605297
gic_delta,1.0018225319863254
gic_u_pre,1.0009389078605486
gic_s_r5,1.0010363449369466
d2_gsic_1,1.0006793876823228
d2_gsic_2,1.0000705277976827
d2_steric_1,1.0007116905540383
d2_steric_2,1.000094816584934
antarctic_lambda,1.002534392830201
antarctic_gamma,1.003050713599303
antarctic_kappa,1.0273248412936218
ais_gmst_amp,1.027087485152063
ais_mu,1.0911394953993587
ais_bedheight0,1.0956097484388148
ais_slope,1.0565050938616694
ais_iceflow0,1.2665225159302294
ais_precip0_LOG,1.023366973476486
ais_runoff_Ton,1.0524106987609296
ais_c,1.1098373048623285
sd_ais,1.0011060315515379
rho_ais,1.0519201959835494
sd_gsic,1.0020023245513834
rho_gsic,1.031582366308703
sd_gis,1.0030171833512955
rho_gis,1.0052975953330465
sd_steric,1.0000348628822324
rho_steric,1.0015329245018447
