metric,cpl_med,cpl_lo,cpl_hi,ind_med,ind_lo,ind_hi,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_pulse_spec,prov_units,prov_reference_period,prov_weighting,prov_code_git_commit
total@2050,0.0002445211801607172,0.00018391650494820055,0.0003807390021535184,0.00024374558648077027,0.00018282652088430495,0.00037486714487755535,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2100,0.00036139921690647725,0.00019532095191010512,0.002343511444379942,0.0003562606704790028,0.0001927871872382525,0.002347009607277073,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2130,0.0008791161499459577,0.00017849925784219067,0.0023806832068089534,0.0008653534411564578,0.0001757489905287457,0.0023866589673104954,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2150,0.0009480564904151834,0.00016882777485704992,0.0023846792645088044,0.0009350204731788381,0.0001659074548072681,0.0023920402649650896,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2180,0.0009982432706578948,0.00015631718532915784,0.00238881336929353,0.0009872249386830845,0.00015353168556231367,0.0023945408626957487,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
total@2300,0.000989751462611821,0.0001235239189583126,0.0023590494650420624,0.000979963511611004,0.00012077183427550153,0.0023658755578708224,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
ais@2130,0.0006738032074622424,3.337391663027489e-5,0.002163693462307492,0.0006610468200527464,3.2159765650519034e-5,0.0021698765003606013,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
gsic@2130,1.5899491795146048e-5,1.045696549617503e-5,3.054911604749577e-5,1.5646948194003585e-5,1.0415428588927966e-5,2.7486687210753757e-5,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
gis@2130,3.9175855803819104e-5,1.483494918019801e-5,8.790504129052579e-5,3.861378958802675e-5,1.4456072072732695e-5,8.899723926703018e-5,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
te@2130,0.00013157325669865827,7.8978971664867e-5,0.0001990974756793662,0.00013152970189977964,7.869866202980802e-5,0.00019909008403118378,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_ch4bio1tg_nonoise_flatsolar',"+1 Tg CH4 @2030, SSP2-4.5, paired in-process per (config,draw); mode=on",SLR cm; pulse marginals are cm per 1 Tg CH4,1995-2005 mean (SLR anomalies re-referenced per draw),"COUPLED = conditional importance weighting w_{i|k} ∝ exp[c·(ℓ^FB−ℓ^B)] normalized within each FaIR config (p(config)=1/841 uniform; forcing marginal untouched); c=0.1323, achieved mean conditional ESS/N=0.600. INDEPENDENT = equal weights.",a3bde83-DIRTY
